Precinct	total_votes	votes|David H. Moore
17001	188	188
17002	168	168
17003	164	164
17004	219	219
17005	117	117
17006	152	152
17007	149	149
17008	137	137
17009	139	139
17010	221	221
17011	138	138
17012	211	211
17013	135	135
17014	133	133
17015	183	183
17016	172	172
17017	166	166
17018	229	229
17019	91	91
17020	255	255
17021	260	260
17022	153	153
17023	121	121
17024	205	205
17025	130	130
17026	191	191
17027	182	182
17028	145	145
17029	132	132
17030	128	128
17031	108	108
17032	133	133
17033	81	81
17034	115	115
17035	93	93
17036	161	161
17037	178	178
17038	186	186
17039	191	191
17040	220	220
17041	263	263
