Precinct	total_votes	votes|Stephanie D. Coleman
16001	187	187
16002	147	147
16003	128	128
16004	134	134
16005	81	81
16006	138	138
16007	138	138
16008	76	76
16009	136	136
16010	114	114
16011	116	116
16012	112	112
16013	130	130
16014	103	103
16015	134	134
16016	127	127
16017	138	138
16018	100	100
16019	143	143
16020	105	105
16021	121	121
16022	112	112
16023	131	131
16024	69	69
16025	138	138
16026	100	100
16027	109	109
16028	128	128
16029	99	99
16030	80	80
16031	151	151
16032	155	155
16033	84	84
16034	136	136
16035	179	179
16036	93	93
