Precinct	total_votes	votes|Elizabeth ''Lisa'' Hernandez
12016	15	15
22003	620	620
22004	191	191
22005	361	361
22006	384	384
22007	266	266
22009	330	330
22010	8	8
22011	323	323
22013	183	183
22015	61	61
22016	11	11
22017	413	413
22018	158	158
22020	401	401
22024	474	474
22025	386	386
