Precinct	total_votes	votes|Kam Buckner
02002	369	369
02010	348	348
02011	525	525
02013	425	425
02018	486	486
02019	321	321
02023	318	318
02027	316	316
02029	381	381
02034	374	374
02042	249	249
03002	40	40
03004	591	591
03011	245	245
03012	210	210
03019	663	663
03021	184	184
03027	410	410
03030	444	444
03031	297	297
04003	426	426
04004	671	671
04006	173	173
04007	686	686
04008	589	589
04011	402	402
04012	703	703
04015	113	113
04018	521	521
04019	408	408
04023	162	162
04024	517	517
04026	494	494
04028	483	483
04029	524	524
04030	740	740
04032	597	597
04033	530	530
04034	147	147
04035	626	626
04036	372	372
04038	411	411
05004	686	686
05005	443	443
05006	381	381
05010	411	411
05013	390	390
05014	105	105
05015	493	493
05016	478	478
05017	203	203
05021	265	265
05028	224	224
05030	216	216
05036	300	300
07001	347	347
07002	382	382
07003	382	382
07004	372	372
07010	451	451
07011	39	39
07015	384	384
07016	12	12
07017	0	0
07019	353	353
07020	294	294
07021	45	45
07023	359	359
07024	298	298
07025	235	235
07028	123	123
07030	51	51
07031	267	267
07033	4	4
08001	52	52
08002	178	178
08021	34	34
08042	490	490
10018	235	235
10027	336	336
10034	205	205
10036	4	4
20005	465	465
20009	568	568
20016	469	469
20022	538	538
20024	329	329
42001	436	436
42002	761	761
42004	1399	1399
42006	498	498
42007	649	649
42008	464	464
42011	354	354
42013	405	405
42019	239	239
42024	509	509
42026	950	950
42028	569	569
42029	674	674
42030	402	402
42031	685	685
42034	410	410
42035	733	733
42040	734	734
43035	546	546
