Precinct	total_votes	votes|Will Guzzardi
01002	173	173
01007	416	416
01009	409	409
01013	304	304
01016	663	663
01017	63	63
01019	722	722
01023	787	787
01034	493	493
01041	335	335
01042	110	110
01043	377	377
26007	386	386
26034	416	416
26037	26	26
30001	512	512
30004	427	427
30007	491	491
30009	271	271
30017	482	482
30018	235	235
30019	127	127
30020	524	524
30023	549	549
30024	145	145
30025	387	387
30026	281	281
30027	342	342
30031	305	305
31001	296	296
31002	277	277
31005	325	325
31006	236	236
31007	482	482
31008	283	283
31009	355	355
31010	385	385
31011	256	256
31012	273	273
31013	349	349
31014	228	228
31017	306	306
31018	315	315
31020	270	270
31021	245	245
31023	342	342
31024	335	335
31026	323	323
31027	346	346
31028	292	292
31029	300	300
31030	260	260
31032	261	261
31033	316	316
31034	317	317
31035	403	403
31036	330	330
31037	311	311
31038	297	297
31040	380	380
31041	292	292
32003	317	317
32011	557	557
32012	425	425
32014	655	655
32020	577	577
32022	742	742
32026	313	313
32028	347	347
32043	29	29
35002	49	49
35010	629	629
35011	606	606
35015	649	649
35017	546	546
35025	563	563
35028	512	512
36009	0	0
36014	463	463
36016	444	444
36017	524	524
36018	361	361
36020	483	483
38023	446	446
38034	425	425
38035	442	442
38039	165	165
45008	465	465
45009	471	471
45010	481	481
45011	386	386
