Precinct	total_votes	votes|Heather A. Steans
33018	244	244
39013	26	26
39022	457	457
39030	185	185
40001	456	456
40002	540	540
40003	696	696
40004	52	52
40005	587	587
40006	653	653
40007	541	541
40008	737	737
40009	419	419
40010	125	125
40011	567	567
40012	499	499
40013	823	823
40014	487	487
40015	515	515
40016	754	754
40017	432	432
40018	445	445
40019	643	643
40020	555	555
40021	645	645
40022	676	676
40023	669	669
40024	475	475
40025	653	653
40026	601	601
40027	701	701
40028	571	571
40029	532	532
40030	416	416
40031	624	624
40032	608	608
40033	544	544
40034	450	450
40035	375	375
40036	475	475
40037	564	564
40038	674	674
40039	88	88
46001	443	443
46002	590	590
46004	577	577
46006	537	537
46008	424	424
46012	664	664
46014	652	652
46016	674	674
46020	505	505
46021	452	452
46022	433	433
46023	554	554
46025	574	574
46026	566	566
46029	55	55
46032	581	581
46037	489	489
46040	506	506
47005	502	502
47010	749	749
47015	758	758
47019	1003	1003
47020	644	644
47022	670	670
47023	712	712
47026	862	862
47028	527	527
47030	800	800
47031	667	667
47032	759	759
47034	631	631
47036	715	715
47037	598	598
47038	638	638
47039	25	25
47041	584	584
47042	597	597
47045	580	580
48001	588	588
48002	260	260
48003	676	676
48004	587	587
48005	323	323
48006	695	695
48007	630	630
48008	284	284
48009	363	363
48010	843	843
48011	501	501
48012	737	737
48013	732	732
48014	252	252
48015	383	383
48016	642	642
48017	499	499
48018	389	389
48019	414	414
48020	628	628
48021	772	772
48022	436	436
48023	534	534
48024	632	632
48025	487	487
48026	283	283
48027	577	577
48028	638	638
48029	256	256
48030	499	499
48031	835	835
48032	644	644
48033	305	305
48034	508	508
48035	351	351
48036	313	313
48037	630	630
48038	595	595
48039	431	431
48040	522	522
48041	765	765
48042	667	667
48043	678	678
48044	752	752
48045	448	448
48046	368	368
49001	375	375
49002	387	387
49003	728	728
49004	762	762
49005	545	545
49006	512	512
49007	474	474
49008	516	516
49009	605	605
49010	665	665
49011	768	768
49012	718	718
49013	675	675
49014	467	467
49015	438	438
49016	535	535
49017	462	462
49018	747	747
49019	574	574
49020	889	889
49021	355	355
49022	606	606
49023	766	766
49024	479	479
49025	756	756
49026	672	672
49027	683	683
49028	842	842
49029	708	708
49030	620	620
49031	437	437
49032	558	558
49033	466	466
50008	361	361
50028	0	0
