Precinct	total_votes	votes|Curtis J. Tarver Ii
04001	806	806
04005	560	560
04009	568	568
04010	707	707
04015	486	486
04022	515	515
04023	530	530
04027	743	743
04031	466	466
04034	348	348
05001	420	420
05003	521	521
05007	497	497
05008	522	522
05009	620	620
05011	492	492
05014	289	289
05017	170	170
05018	479	479
05019	452	452
05020	537	537
05021	260	260
05022	592	592
05023	888	888
05024	637	637
05025	455	455
05026	457	457
05027	506	506
05028	262	262
05029	492	492
05031	344	344
05032	541	541
05033	496	496
05034	537	537
05035	659	659
05037	529	529
05038	426	426
05039	395	395
05040	358	358
05041	234	234
07005	327	327
07006	477	477
07007	336	336
07008	301	301
07009	609	609
07011	359	359
07012	332	332
07013	216	216
07014	403	403
07016	338	338
07017	279	279
07018	351	351
07021	236	236
07022	309	309
07025	55	55
07032	265	265
07033	451	451
07034	470	470
07035	397	397
07037	359	359
07046	112	112
10001	277	277
10004	266	266
10006	298	298
10007	280	280
10008	179	179
10010	389	389
10011	482	482
10012	260	260
10014	437	437
10019	362	362
10020	377	377
10021	369	369
10022	210	210
10023	299	299
10025	116	116
10026	286	286
10028	424	424
10029	403	403
10030	343	343
10031	309	309
10032	365	365
10033	303	303
10034	48	48
10035	374	374
10036	90	90
20024	199	199
20026	364	364
20034	509	509
