Precinct	total_votes	votes|Mike Quigley	votes|Tommy Hanson	votes|Thomas J. Wilda
39009	546	404	125	17
39010	275	227	33	15
39011	559	402	141	16
39012	545	448	79	18
39013	530	381	130	19
39014	574	427	116	31
39015	686	393	275	18
39016	580	429	130	21
39017	595	429	150	16
39018	577	422	138	17
39019	570	415	127	28
39020	720	424	281	15
39021	574	330	219	25
39022	599	454	121	24
39023	578	355	208	15
39024	725	424	286	15
39025	500	400	78	22
39026	563	345	199	19
39027	93	65	28	0
39028	350	281	58	11
39029	334	264	54	16
39030	693	567	97	29
39032	542	328	202	12
39033	625	472	130	23
39034	692	520	127	45
39035	602	453	118	31
39036	142	106	31	5
39037	551	382	161	8
39038	306	230	74	2
39039	361	258	88	15
39040	611	391	207	13
39041	603	397	193	13
39042	613	361	238	14
39043	606	368	222	16
39044	471	300	164	7
39045	523	342	173	8
40001	590	428	140	22
40002	645	509	107	29
40003	786	682	80	24
40005	700	578	109	13
40006	748	640	71	37
40007	619	542	66	11
40008	839	735	79	25
40010	160	121	32	7
40011	646	543	76	27
40012	580	496	67	17
40013	926	815	68	43
40014	630	452	152	26
40015	651	494	129	28
40016	840	743	70	27
40017	532	426	91	15
40019	787	615	137	35
40020	681	537	114	30
40021	711	617	69	25
40023	747	654	63	30
40024	609	432	151	26
40025	611	543	53	15
40029	645	504	121	20
40030	545	390	135	20
40031	106	96	9	1
40032	693	605	75	13
40034	596	419	150	27
40038	780	651	100	29
41003	595	342	236	17
41006	684	413	257	14
41009	604	363	230	11
41011	185	107	75	3
41012	665	341	312	12
41014	661	423	226	12
41016	583	333	243	7
41017	448	254	185	9
41019	677	442	212	23
41021	600	347	246	7
41022	674	361	293	20
41023	308	141	163	4
41024	593	276	309	8
41026	537	300	231	6
41027	608	277	316	15
41030	596	341	242	13
41032	518	272	232	14
41033	495	265	223	7
41035	747	409	320	18
41038	610	333	262	15
41039	663	362	289	12
41045	257	141	110	6
41046	609	340	256	13
41047	685	397	271	17
43002	786	592	177	17
43003	721	529	177	15
43004	942	671	253	18
43005	556	423	124	9
43006	567	442	106	19
43007	485	376	104	5
43008	562	434	118	10
43009	632	489	135	8
43010	901	689	200	12
43011	686	473	204	9
43012	474	365	97	12
43013	693	556	124	13
43014	708	556	142	10
43015	760	554	196	10
43016	1063	810	237	16
43017	575	410	156	9
43018	853	633	207	13
43019	735	563	160	12
43020	904	717	169	18
43021	842	641	176	25
43022	533	416	107	10
43023	514	382	120	12
43024	563	414	139	10
43025	598	474	113	11
43026	438	355	76	7
43027	670	503	156	11
43028	914	693	209	12
43029	1039	789	233	17
43030	754	580	159	15
43031	701	527	155	19
43032	757	611	139	7
43034	467	369	94	4
43036	485	379	100	6
43037	829	671	132	26
43038	552	391	156	5
43039	584	431	143	10
43040	541	430	91	20
43041	876	674	178	24
43042	702	563	125	14
43043	760	542	214	4
43044	737	570	154	13
43046	468	371	86	11
44001	1128	964	130	34
44002	823	644	160	19
44005	758	646	91	21
44006	1012	835	143	34
44008	1049	895	127	27
44009	802	632	148	22
44010	841	666	156	19
44011	870	689	161	20
44012	803	676	118	9
44013	684	536	135	13
44014	731	599	119	13
44015	725	586	120	19
44016	899	713	155	31
44017	998	861	108	29
44018	876	700	153	23
44019	924	778	130	16
44020	935	763	147	25
44021	898	776	94	28
44022	714	615	87	12
44023	727	626	87	14
44025	799	678	110	11
44026	938	808	109	21
44027	894	717	150	27
44028	798	689	94	15
44029	918	747	151	20
44030	938	765	156	17
44031	692	543	129	20
44032	894	724	152	18
44033	802	714	68	20
44034	800	706	72	22
44036	862	730	121	11
44037	854	753	87	14
44038	984	749	207	28
44039	833	680	139	14
44040	774	600	152	22
44041	1016	844	138	34
45003	553	455	79	19
45004	710	546	133	31
45005	623	491	114	18
45006	796	631	137	28
45007	847	650	167	30
45008	49	36	12	1
45011	466	341	110	15
45012	571	411	133	27
45013	494	378	96	20
45014	840	638	156	46
45015	692	551	121	20
45016	493	357	122	14
45017	677	472	187	18
45018	669	455	193	21
45019	356	235	104	17
45020	431	299	111	21
45021	546	349	188	9
45022	583	391	180	12
45023	566	367	193	6
45024	471	283	178	10
45025	386	240	136	10
45026	343	188	149	6
45027	595	364	224	7
45028	507	325	160	22
45029	395	242	142	11
45030	566	429	121	16
45031	485	356	110	19
45032	555	395	144	16
45033	421	315	98	8
45034	605	422	164	19
45035	639	441	172	26
45036	627	428	186	13
45037	583	361	195	27
45038	587	400	166	21
45039	595	384	196	15
45040	540	338	188	14
45041	548	327	198	23
45042	535	319	199	17
45043	603	326	254	23
45044	564	332	221	11
45045	402	206	188	8
45046	456	267	179	10
45047	432	255	166	11
45048	500	250	243	7
46003	816	685	104	27
46005	915	761	126	28
46010	1221	1042	150	29
46012	122	110	5	7
46016	333	296	28	9
46019	497	402	85	10
46024	253	223	27	3
46028	659	554	94	11
46030	757	658	79	20
46031	732	655	62	15
46033	772	661	92	19
46036	669	532	120	17
46038	690	609	60	21
46039	685	553	118	14
47001	503	416	74	13
47002	734	608	110	16
47003	663	557	93	13
47004	865	722	125	18
47005	767	648	87	32
47006	873	746	107	20
47007	694	575	109	10
47008	717	602	105	10
47009	723	586	117	20
47010	863	750	79	34
47011	761	613	133	15
47012	781	677	84	20
47013	688	577	79	32
47014	657	546	94	17
47016	701	583	92	26
47017	722	574	121	27
47018	710	581	107	22
47020	720	628	77	15
47021	686	589	75	22
47022	762	645	91	26
47024	787	682	85	20
47025	895	760	112	23
47026	944	858	66	20
47027	639	526	98	15
47028	672	563	85	24
47029	831	683	122	26
47030	368	330	27	11
47031	749	654	70	25
47032	853	764	63	26
47033	753	620	109	24
47034	733	618	86	29
47035	733	596	120	17
47036	810	705	76	29
47037	690	584	78	28
47038	731	617	81	33
47039	721	622	75	24
47040	679	579	70	30
47041	783	690	73	20
47042	676	588	62	26
47043	673	545	116	12
47044	699	573	110	16
47045	648	561	59	28
47046	766	600	150	16
47047	889	744	127	18
47048	54	38	11	5
50024	468	191	271	6
50025	101	21	80	0
