Precinct	Register Voters	Ballots Cast	Turnout %
01001	1002	827	82.53
01002	858	656	76.46
01003	987	881	89.26
01004	1054	848	80.46
01005	944	801	84.85
01006	899	673	74.86
01007	625	516	82.56
01008	855	704	82.34
01009	673	527	78.31
01010	1118	932	83.36
01011	952	854	89.71
01012	1122	905	80.66
01013	444	365	82.21
01014	823	736	89.43
01015	866	661	76.33
01016	921	793	86.10
01017	838	635	75.78
01018	949	708	74.60
01019	1070	839	78.41
01020	707	546	77.23
01021	1284	1095	85.28
01022	622	495	79.58
01023	1098	923	84.06
01024	982	660	67.21
01025	906	705	77.81
01026	740	492	66.49
01027	985	808	82.03
01028	381	265	69.55
01029	1092	945	86.54
01030	1029	812	78.91
01031	893	678	75.92
01032	842	701	83.25
01033	1051	838	79.73
01034	666	570	85.59
01035	1149	911	79.29
01036	983	840	85.45
01037	889	763	85.83
01038	892	723	81.05
01039	824	618	75.00
01040	878	706	80.41
01041	518	415	80.12
01042	273	234	85.71
01043	576	465	80.73
01044	757	662	87.45
02001	1023	855	83.58
02002	616	538	87.34
02003	996	850	85.34
02004	860	753	87.56
02005	1089	890	81.73
02006	899	785	87.32
02007	1291	703	54.45
02008	1194	945	79.15
02009	865	751	86.82
02010	660	555	84.09
02011	864	741	85.76
02012	800	634	79.25
02013	686	600	87.46
02014	897	759	84.62
02015	898	710	79.06
02016	841	710	84.42
02017	982	833	84.83
02018	797	675	84.69
02019	586	493	84.13
02020	1167	1011	86.63
02021	920	777	84.46
02022	899	804	89.43
02023	549	477	86.89
02024	817	696	85.19
02025	942	844	89.60
02026	856	675	78.86
02027	777	662	85.20
02028	954	877	91.93
02029	959	834	86.97
02030	682	618	90.62
02031	930	829	89.14
02032	665	626	94.14
02033	1107	1017	91.87
02034	619	531	85.78
02035	1151	991	86.10
02036	936	836	89.32
02037	671	617	91.95
02038	739	667	90.26
02039	672	509	75.74
02040	1250	1039	83.12
02041	1051	889	84.59
02042	925	820	88.65
02043	1147	1000	87.18
02044	482	432	89.63
02045	1145	866	75.63
02046	510	423	82.94
03001	1238	848	68.50
03002	820	660	80.49
03003	891	588	65.99
03004	855	673	78.71
03005	631	366	58.00
03006	1067	984	92.22
03007	525	413	78.67
03008	747	513	68.67
03009	935	685	73.26
03010	550	326	59.27
03011	844	668	79.15
03012	706	589	83.43
03013	897	790	88.07
03014	924	778	84.20
03015	863	588	68.13
03016	773	495	64.04
03017	1182	966	81.73
03018	1391	905	65.06
03019	967	842	87.07
03020	912	659	72.26
03021	877	741	84.49
03022	1137	959	84.34
03023	796	550	69.10
03024	805	536	66.58
03025	1474	1235	83.79
03026	870	776	89.20
03027	1078	875	81.17
03028	585	394	67.35
03029	1070	688	64.30
03030	733	539	73.53
03031	933	723	77.49
03032	1342	1106	82.41
03033	998	870	87.17
03034	1235	1044	84.53
03035	1130	325	28.76
03036	573	305	53.23
03037	794	539	67.88
03038	597	454	76.05
03039	1611	1350	83.80
03040	917	693	75.57
03041	754	535	70.95
04001	1050	971	92.48
04002	1024	914	89.26
04003	740	546	73.78
04004	1100	840	76.36
04005	768	657	85.55
04006	929	756	81.38
04007	1010	797	78.91
04008	877	707	80.62
04009	804	679	84.45
04010	935	792	84.71
04011	908	650	71.59
04012	1064	792	74.44
04013	1056	969	91.76
04014	772	650	84.20
04015	870	714	82.07
04016	1446	1227	84.85
04017	909	822	90.43
04018	830	621	74.82
04019	820	543	66.22
04020	718	579	80.64
04021	861	798	92.68
04022	778	644	82.78
04023	958	824	86.01
04024	768	619	80.60
04025	977	897	91.81
04026	778	596	76.61
04027	1040	882	84.81
04028	709	586	82.65
04029	842	614	72.92
04030	1178	881	74.79
04031	672	605	90.03
04032	924	702	75.97
04033	773	615	79.56
04034	773	584	75.55
04035	923	731	79.20
04036	963	779	80.89
04037	1498	1293	86.32
04038	825	691	83.76
05001	804	592	73.63
05002	647	456	70.48
05003	711	670	94.23
05004	872	804	92.20
05005	782	564	72.12
05006	677	487	71.94
05007	639	629	98.44
05008	745	664	89.13
05009	800	727	90.88
05010	745	507	68.05
05011	701	616	87.87
05012	632	384	60.76
05013	779	526	67.52
05014	596	463	77.68
05015	693	619	89.32
05016	846	573	67.73
05017	774	501	64.73
05018	688	574	83.43
05019	658	584	88.75
05020	747	661	88.49
05021	680	622	91.47
05022	782	714	91.30
05023	1199	1072	89.41
05024	880	759	86.25
05025	717	543	75.73
05026	793	577	72.76
05027	657	667	101.52
05028	820	606	73.90
05029	833	621	74.55
05030	639	396	61.97
05031	685	455	66.42
05032	777	646	83.14
05033	845	638	75.50
05034	743	680	91.52
05035	870	785	90.23
05036	643	390	60.65
05037	750	643	85.73
05038	808	576	71.29
05039	584	536	91.78
05040	611	459	75.12
05041	314	289	92.04
06001	659	522	79.21
06002	681	481	70.63
06003	682	521	76.39
06004	607	376	61.94
06005	619	344	55.57
06006	733	556	75.85
06007	750	491	65.47
06008	659	481	72.99
06009	760	488	64.21
06010	640	374	58.44
06011	681	415	60.94
06012	654	385	58.87
06013	568	364	64.08
06014	705	452	64.11
06015	824	454	55.10
06016	691	508	73.52
06017	660	357	54.09
06018	679	389	57.29
06019	682	422	61.88
06020	622	315	50.64
06021	541	255	47.13
06022	567	315	55.56
06023	531	284	53.48
06024	523	273	52.20
06025	511	265	51.86
06026	616	385	62.50
06027	572	298	52.10
06028	519	252	48.55
06029	642	496	77.26
06030	669	407	60.84
06031	667	473	70.91
06032	670	450	67.16
06033	656	470	71.65
06034	644	485	75.31
06035	603	439	72.80
06036	659	519	78.76
06037	647	492	76.04
06038	668	508	76.05
06039	670	414	61.79
06040	678	426	62.83
06041	672	479	71.28
06042	741	484	65.32
06043	711	452	63.57
06044	795	555	69.81
06045	670	477	71.19
06046	541	361	66.73
06047	536	353	65.86
06048	698	474	67.91
07001	730	494	67.67
07002	788	496	62.94
07003	622	455	73.15
07004	653	447	68.45
07005	650	447	68.77
07006	763	593	77.72
07007	806	478	59.31
07008	621	376	60.55
07009	1002	779	77.74
07010	755	530	70.20
07011	792	535	67.55
07012	766	481	62.79
07013	465	317	68.17
07014	860	544	63.26
07015	630	447	70.95
07016	783	459	58.62
07017	646	372	57.59
07018	667	460	68.97
07019	646	436	67.49
07020	690	371	53.77
07021	578	356	61.59
07022	691	409	59.19
07023	592	421	71.11
07024	617	390	63.21
07025	716	391	54.61
07026	528	367	69.51
07027	600	366	61.00
07028	574	364	63.41
07029	637	410	64.36
07030	635	363	57.17
07031	573	341	59.51
07032	740	554	74.86
07033	725	552	76.14
07034	816	549	67.28
07035	738	483	65.45
07036	734	538	73.30
07037	652	468	71.78
07038	666	389	58.41
07039	621	407	65.54
07040	602	388	64.45
07041	694	423	60.95
07042	634	402	63.41
07043	673	431	64.04
07044	651	396	60.83
07045	854	481	56.32
07046	258	181	70.16
08001	732	423	57.79
08002	774	453	58.53
08003	667	517	77.51
08004	659	514	78.00
08005	673	489	72.66
08006	679	455	67.01
08007	705	519	73.62
08008	601	460	76.54
08009	460	415	90.22
08010	709	565	79.69
08011	581	388	66.78
08012	620	414	66.77
08013	831	542	65.22
08014	679	420	61.86
08015	724	451	62.29
08016	255	153	60.00
08017	557	402	72.17
08018	795	462	58.11
08019	682	502	73.61
08020	732	540	73.77
08021	914	608	66.52
08022	626	437	69.81
08023	712	382	53.65
08024	358	267	74.58
08025	711	480	67.51
08026	693	432	62.34
08027	707	516	72.98
08028	710	472	66.48
08029	771	530	68.74
08030	731	519	71.00
08031	566	371	65.55
08032	524	371	70.80
08033	678	397	58.55
08034	647	440	68.01
08035	721	547	75.87
08036	693	474	68.40
08037	484	368	76.03
08038	548	355	64.78
08039	627	456	72.73
08040	546	395	72.34
08041	733	516	70.40
08042	857	606	70.71
08043	432	274	63.43
08044	504	355	70.44
08045	774	425	54.91
08046	550	376	68.36
08047	604	399	66.06
08048	700	440	62.86
08049	632	431	68.20
08050	676	469	69.38
08051	644	473	73.45
08052	795	569	71.57
08053	376	280	74.47
08054	677	405	59.82
08055	534	371	69.48
08056	664	486	73.19
09001	691	456	65.99
09002	584	361	61.82
09003	774	343	44.32
09004	524	348	66.41
09005	661	434	65.66
09006	648	418	64.51
09007	657	352	53.58
09008	780	479	61.41
09009	712	515	72.33
09010	606	352	58.09
09011	536	325	60.63
09012	707	517	73.13
09013	703	493	70.13
09014	722	498	68.98
09015	1297	585	45.10
09016	636	423	66.51
09017	630	348	55.24
09018	508	318	62.60
09019	655	442	67.48
09020	676	419	61.98
09021	678	428	63.13
09022	654	484	74.01
09023	739	505	68.34
09024	638	445	69.75
09025	633	432	68.25
09026	1000	566	56.60
09027	584	373	63.87
09028	640	290	45.31
09029	768	403	52.47
09030	616	384	62.34
09031	681	370	54.33
09032	680	454	66.76
09033	642	350	54.52
09034	663	376	56.71
09035	606	410	67.66
09036	634	392	61.83
09037	896	676	75.45
09038	682	437	64.08
09039	689	462	67.05
09040	747	485	64.93
09041	549	371	67.58
09042	653	462	70.75
09043	727	418	57.50
09044	589	381	64.69
09045	595	373	62.69
09046	708	420	59.32
09047	679	458	67.45
09048	682	468	68.62
09049	697	487	69.87
09050	827	608	73.52
09051	593	427	72.01
10001	644	395	61.34
10002	727	498	68.50
10003	897	536	59.75
10004	739	396	53.59
10005	699	417	59.66
10006	692	438	63.29
10007	654	371	56.73
10008	540	274	50.74
10009	728	484	66.48
10010	781	537	68.76
10011	1086	628	57.83
10012	580	356	61.38
