Precinct	total_votes	votes|Harry Osterman
48001	346	346
48002	162	162
48003	352	352
48004	295	295
48005	200	200
48006	378	378
48007	353	353
48008	164	164
48009	211	211
48010	498	498
48011	310	310
48012	430	430
48013	357	357
48014	137	137
48015	164	164
48016	326	326
48017	264	264
48018	195	195
48019	281	281
48020	373	373
48021	386	386
48022	213	213
48023	309	309
48024	300	300
48025	301	301
48026	133	133
48027	279	279
48028	298	298
48029	79	79
48030	331	331
48031	350	350
48032	310	310
48033	163	163
48034	288	288
48035	181	181
48036	185	185
48037	345	345
48038	406	406
48039	203	203
48040	310	310
48041	387	387
48042	398	398
48043	361	361
48044	406	406
48045	244	244
48046	167	167
