Precinct	total_votes	votes|Will Guzzardi
01002	108	108
01007	223	223
01009	233	233
01013	138	138
01016	270	270
01017	15	15
01019	410	410
01023	485	485
01034	278	278
01041	185	185
01042	87	87
01043	215	215
26007	216	216
26034	234	234
26037	13	13
30001	279	279
30004	248	248
30007	265	265
30009	137	137
30017	247	247
30018	143	143
30019	59	59
30020	244	244
30023	272	272
30024	84	84
30025	190	190
30026	130	130
30027	153	153
30031	161	161
31001	152	152
31002	149	149
31005	196	196
31006	146	146
31007	286	286
31008	118	118
31009	209	209
31010	167	167
31011	144	144
31012	156	156
31013	200	200
31014	129	129
31017	158	158
31018	161	161
31020	153	153
31021	152	152
31023	152	152
31024	206	206
31026	198	198
31027	144	144
31028	162	162
31029	176	176
31030	138	138
31032	152	152
31033	144	144
31034	166	166
31035	189	189
31036	177	177
31037	160	160
31038	189	189
31040	193	193
31041	175	175
32003	189	189
32011	353	353
32012	276	276
32014	368	368
32020	368	368
32022	439	439
32026	200	200
32028	200	200
32043	24	24
35002	27	27
35010	457	457
35011	316	316
35015	344	344
35017	306	306
35025	377	377
35028	287	287
36009	0	0
36014	230	230
36016	228	228
36017	278	278
36018	156	156
36020	220	220
38023	257	257
38034	209	209
38035	257	257
38039	76	76
45008	247	247
45009	289	289
45010	288	288
45011	216	216
