Precinct	total_votes	votes|No Candidate
Bremen 12	0	0
Bremen 13	0	0
Bremen 15	0	0
Bremen 16	0	0
Bremen 18	0	0
Bremen 20	0	0
Bremen 21	0	0
Bremen 22	0	0
Bremen 24	0	0
Bremen 25	0	0
Bremen 27	0	0
Bremen 28	0	0
Bremen 30	0	0
Bremen 33	0	0
Bremen 34	0	0
Bremen 36	0	0
Bremen 41	0	0
Bremen 42	0	0
Bremen 43	0	0
Bremen 46	0	0
Bremen 50	0	0
Bremen 52	0	0
Bremen 53	0	0
Bremen 54	0	0
Bremen 57	0	0
Bremen 58	0	0
Bremen 59	0	0
Bremen 60	0	0
Bremen 61	0	0
Bremen 62	0	0
Bremen 64	0	0
Bremen 67	0	0
Bremen 68	0	0
Bremen 69	0	0
Bremen 72	0	0
Bremen 73	0	0
Bremen 74	0	0
Bremen 76	0	0
Bremen 77	0	0
Bremen 79	0	0
Cicero 1	0	0
Cicero 2	0	0
Cicero 4	0	0
Cicero 5	0	0
Cicero 6	0	0
Cicero 7	0	0
Cicero 8	0	0
Cicero 9	0	0
Cicero 10	0	0
Cicero 11	0	0
Cicero 12	0	0
Cicero 13	0	0
Cicero 14	0	0
Cicero 19	0	0
Cicero 20	0	0
Cicero 22	0	0
Cicero 25	0	0
Cicero 26	0	0
Cicero 28	0	0
Cicero 29	0	0
Cicero 32	0	0
Elk Grove 1	0	0
Elk Grove 2	0	0
Elk Grove 3	0	0
Elk Grove 4	0	0
Elk Grove 5	0	0
Elk Grove 6	0	0
Elk Grove 7	0	0
Elk Grove 8	0	0
Elk Grove 9	0	0
Elk Grove 10	0	0
Elk Grove 11	0	0
Elk Grove 12	0	0
Elk Grove 13	0	0
Elk Grove 14	0	0
Elk Grove 15	0	0
Elk Grove 16	0	0
Elk Grove 17	0	0
Elk Grove 18	0	0
Elk Grove 19	0	0
Elk Grove 20	0	0
Elk Grove 21	0	0
Elk Grove 22	0	0
Elk Grove 23	0	0
Elk Grove 24	0	0
Elk Grove 25	0	0
Elk Grove 26	0	0
Elk Grove 27	0	0
Elk Grove 28	0	0
Elk Grove 29	0	0
Elk Grove 30	0	0
Elk Grove 31	0	0
Elk Grove 32	0	0
Elk Grove 33	0	0
