Precinct	total_votes	votes|Luis Arroyo
36001	282	282
36002	242	242
36003	221	221
36004	271	271
36005	266	266
36006	187	187
36007	234	234
36008	216	216
36009	220	220
36010	269	269
36011	192	192
36012	180	180
36013	180	180
36014	212	212
36015	243	243
36016	204	204
36017	261	261
36018	197	197
36019	301	301
36020	220	220
36021	239	239
36022	203	203
36023	236	236
36024	211	211
36025	258	258
36026	182	182
36027	210	210
36028	184	184
36029	270	270
36030	220	220
