Precinct	total_votes	votes|Jason C. Ervin
28001	243	243
28002	222	222
28003	201	201
28004	131	131
28005	147	147
28006	108	108
28007	279	279
28008	117	117
28009	223	223
28010	243	243
28011	369	369
28012	251	251
28013	220	220
28014	218	218
28015	85	85
28016	161	161
28017	230	230
28018	177	177
28019	192	192
28020	215	215
28021	199	199
28022	199	199
28023	300	300
28024	237	237
28025	340	340
28026	263	263
28027	187	187
28028	212	212
28029	113	113
28030	36	36
28031	299	299
28032	238	238
28033	298	298
28034	450	450
28035	257	257
28036	139	139
28037	347	347
28038	122	122
28039	202	202
28040	319	319
28041	199	199
28042	275	275
28043	325	325
28044	163	163
28045	152	152
28046	319	319
