Precinct	total_votes	votes|John F Morrow	votes|Robin Kelly
Rich 42	626	15	611
Rich 43	793	40	753
Rich 44	526	14	512
Rich 45	820	93	727
Rich 46	992	30	962
Rich 47	1,055	63	992
Rich 48	723	26	697
Rich 49	694	109	585
Rich 50	399	189	210
Rich 51	680	42	638
Thornton 1	320	19	301
Thornton 2	294	26	268
Thornton 3	620	64	556
Thornton 4	754	33	721
Thornton 5	536	49	487
Thornton 6	722	31	691
Thornton 7	521	17	504
Thornton 8	696	31	665
Thornton 9	318	9	309
Thornton 10	597	75	522
Thornton 11	383	42	341
Thornton 12	473	49	424
Thornton 13	547	152	395
Thornton 14	599	124	475
Thornton 15	544	29	515
Thornton 16	594	192	402
Thornton 17	697	145	552
Thornton 18	915	358	557
Thornton 19	779	184	595
Thornton 20	437	189	248
Thornton 21	803	113	690
Thornton 22	591	16	575
Thornton 23	537	70	467
Thornton 24	682	202	480
Thornton 25	595	203	392
Thornton 26	608	139	469
Thornton 27	757	69	688
Thornton 28	510	46	464
Thornton 29	368	4	364
Thornton 30	397	17	380
Thornton 32	526	14	512
Thornton 33	586	31	555
Thornton 34	866	37	829
Thornton 35	777	60	717
Thornton 36	371	19	352
Thornton 37	749	227	522
Thornton 38	839	68	771
Thornton 39	443	16	427
Thornton 40	442	16	426
Thornton 41	401	47	354
Thornton 42	398	9	389
Thornton 43	497	210	287
Thornton 44	438	21	417
Thornton 45	497	9	488
Thornton 46	674	32	642
Thornton 47	476	154	322
Thornton 48	540	17	523
Thornton 49	330	7	323
Thornton 50	496	87	409
Thornton 51	493	188	305
Thornton 52	621	20	601
Thornton 53	403	14	389
Thornton 54	840	90	750
Thornton 55	397	32	365
Thornton 56	620	112	508
Thornton 57	449	205	244
Thornton 58	683	93	590
Thornton 59	484	40	444
Thornton 60	380	14	366
Thornton 61	400	44	356
Thornton 62	219	73	146
Thornton 63	361	47	314
Thornton 64	483	14	469
Thornton 65	779	275	504
Thornton 66	845	81	764
Thornton 67	753	250	503
Thornton 68	651	201	450
Thornton 69	460	12	448
Thornton 70	334	12	322
Thornton 71	361	9	352
Thornton 72	582	13	569
Thornton 73	879	95	784
Thornton 74	678	23	655
Thornton 75	569	25	544
Thornton 76	659	69	590
Thornton 77	930	27	903
Thornton 78	639	24	615
Thornton 79	821	102	719
Thornton 80	509	56	453
Thornton 81	548	34	514
Thornton 82	574	270	304
Thornton 83	800	28	772
Thornton 84	765	33	732
Thornton 85	488	20	468
Thornton 86	450	22	428
Thornton 87	800	19	781
Thornton 88	562	20	542
Thornton 89	810	54	756
Thornton 90	593	65	528
Thornton 91	566	69	497
Thornton 92	682	85	597
Thornton 93	411	10	401
Thornton 94	672	60	612
Thornton 95	488	22	466
Thornton 96	515	23	492
Thornton 98	246	15	231
Thornton 99	522	44	478
Thornton 100	412	21	391
Thornton 101	540	17	523
Thornton 102	390	13	377
Thornton 103	373	17	356
Thornton 104	279	11	268
Thornton 105	536	18	518
Thornton 106	456	18	438
Thornton 107	769	45	724
Thornton 108	383	22	361
Thornton 109	522	29	493
Thornton 110	417	11	406
Thornton 111	453	12	441
Thornton 112	376	39	337
Thornton 113	341	16	325
Thornton 114	596	142	454
Thornton 115	571	25	546
Thornton 116	701	65	636
Thornton 117	680	203	477
Thornton 118	570	143	427
Thornton 119	667	30	637
Thornton 120	886	55	831
Thornton 121	483	30	453
Thornton 122	811	129	682
Thornton 123	416	44	372
