Precinct	total_votes	votes|Camille Lilly
29001	529	529
29004	508	508
29005	423	423
29007	414	414
29009	428	428
29010	498	498
29012	546	546
29013	501	501
29015	512	512
29017	453	453
29023	294	294
29024	408	408
29025	520	520
29026	442	442
29027	403	403
29030	216	216
29033	301	301
29035	343	343
29036	70	70
29037	422	422
29040	524	524
29041	389	389
29043	524	524
29044	550	550
37018	388	388
37029	244	244
37035	439	439
37037	479	479
Leyden 3	547	547
Leyden 5	452	452
Leyden 6	576	576
Leyden 7	248	248
Leyden 8	534	534
Leyden 9	527	527
Leyden 10	583	583
Leyden 11	473	473
Leyden 13	501	501
Leyden 14	347	347
Leyden 16	525	525
Leyden 19	475	475
Leyden 20	251	251
Leyden 22	316	316
Leyden 26	680	680
Leyden 30	533	533
Leyden 34	202	202
Leyden 36	457	457
Leyden 39	326	326
Leyden 46	413	413
Leyden 50	582	582
Oak Park 1	564	564
Oak Park 2	799	799
Oak Park 3	896	896
Oak Park 4	748	748
Oak Park 5	750	750
Oak Park 6	874	874
Oak Park 7	516	516
Oak Park 8	707	707
Oak Park 9	480	480
Oak Park 10	677	677
Oak Park 11	660	660
Oak Park 12	356	356
Oak Park 13	718	718
Oak Park 14	713	713
Oak Park 15	913	913
Oak Park 18	556	556
Oak Park 19	703	703
Oak Park 20	941	941
Oak Park 21	550	550
Oak Park 22	479	479
Oak Park 23	651	651
Oak Park 24	478	478
Oak Park 26	610	610
Oak Park 28	918	918
Oak Park 30	829	829
Oak Park 32	511	511
Oak Park 34	616	616
Oak Park 35	831	831
Oak Park 36	412	412
Oak Park 37	461	461
