Precinct	total_votes	votes|Herb Schumann	votes|Martin J. Durkan	votes|Christopher Anthony
07029	384	10	354	20
07030	382	16	333	33
07031	299	6	278	15
07032	572	16	515	41
07033	512	12	469	31
07034	491	11	430	50
07035	455	11	413	31
07036	518	16	471	31
07037	459	7	426	26
07038	409	9	378	22
07039	396	6	370	20
07040	391	8	360	23
07041	425	11	386	28
07042	401	11	368	22
07043	411	8	379	24
07044	395	6	365	24
07045	486	16	445	25
07046	159	1	147	11
08001	380	10	351	19
08002	460	12	422	26
08003	456	4	420	32
08004	472	10	432	30
08005	465	11	413	41
08006	468	11	439	18
08007	502	8	468	26
08008	398	9	360	29
08009	310	4	295	11
08010	520	10	467	43
08011	417	10	375	32
08012	400	10	362	28
08013	523	12	490	21
08014	444	16	405	23
08015	460	9	421	30
08016	176	7	154	15
08017	376	6	357	13
08018	494	7	464	23
08019	478	17	436	25
08020	489	11	441	37
08021	612	2	583	27
08022	423	10	392	21
08023	424	9	394	21
08024	283	4	259	20
08025	471	10	431	30
08026	471	10	438	23
08027	485	16	436	33
08028	484	9	445	30
08029	537	9	496	32
08030	495	13	439	43
08031	363	15	331	17
08032	380	5	366	9
08033	425	9	391	25
08034	404	8	379	17
08035	470	9	429	32
08036	476	8	439	29
08037	360	13	316	31
08038	303	4	274	25
08039	468	9	443	16
08040	354	6	332	16
08041	482	11	443	28
08042	609	11	563	35
08043	252	7	230	15
08044	317	6	292	19
08045	500	10	462	28
08046	387	10	353	24
08047	391	11	365	15
08048	449	9	413	27
08049	416	2	393	21
08050	453	5	407	41
08051	488	14	449	25
08052	561	9	516	36
08053	257	6	230	21
08054	455	10	425	20
08055	349	3	323	23
08056	466	10	426	30
09001	462	11	424	27
09002	425	4	399	22
09003	437	7	413	17
09004	358	6	336	16
09005	385	10	355	20
09006	434	8	393	33
09007	349	7	319	23
09008	498	8	459	31
09009	483	9	439	35
09010	380	5	349	26
09011	364	10	338	16
09012	501	14	452	35
09013	462	7	433	22
09014	527	14	491	22
09015	554	6	532	16
09016	398	11	363	24
09017	412	7	392	13
09018	332	2	317	13
09019	416	8	397	11
09020	438	5	412	21
09021	405	7	377	21
09022	462	12	415	35
09023	463	9	429	25
09024	423	5	397	21
09025	449	11	408	30
09026	644	5	619	20
09027	419	9	389	21
09028	338	19	302	17
09029	437	11	409	17
09030	377	15	348	14
09031	365	12	337	16
09032	427	10	394	23
09033	374	7	346	21
09034	404	10	376	18
09035	424	8	384	32
09036	406	7	377	22
09037	539	69	394	76
09038	460	9	422	29
09039	479	5	454	20
09040	455	9	417	29
09041	377	5	350	22
09042	434	8	398	28
09043	458	8	433	17
09044	369	7	346	16
09045	407	4	382	21
09046	466	21	409	36
09047	464	12	418	34
09048	469	11	426	32
09049	462	11	426	25
09050	549	13	496	40
09051	437	6	395	36
10001	390	18	343	29
10002	401	118	244	39
10003	400	102	260	38
10004	404	25	332	47
10005	356	102	217	37
10006	360	47	288	25
10007	326	34	260	32
10008	367	5	332	30
10009	408	120	246	42
10010	435	85	308	42
10011	524	62	417	45
10012	313	70	213	30
10013	491	31	430	30
10014	555	99	403	53
10015	830	8	787	35
10016	339	71	230	38
10017	542	158	308	76
10018	306	12	270	24
10019	460	94	308	58
10020	436	85	307	44
10021	447	54	348	45
10022	282	22	231	29
10023	407	31	340	36
10024	453	163	248	42
10025	145	9	126	10
10026	362	31	296	35
10027	484	21	427	36
10028	488	67	375	46
10029	423	57	331	35
10030	419	36	347	36
10031	344	34	279	31
10032	414	64	304	46
10033	329	30	269	30
10034	329	16	297	16
10035	440	123	271	46
10036	100	7	86	7
11001	490	109	292	89
11002	74	14	53	7
11003	453	43	288	122
11004	417	72	285	60
11005	632	82	417	133
11006	693	169	424	100
11007	836	137	613	86
11008	452	81	306	65
11009	414	91	264	59
11010	410	86	265	59
11011	534	138	307	89
11012	635	161	418	56
11013	592	152	383	57
11014	240	72	140	28
11015	174	29	120	25
11016	340	101	193	46
11017	556	99	351	106
11018	382	78	270	34
11019	614	106	393	115
11020	329	62	232	35
11021	604	121	419	64
11022	596	136	369	91
11023	268	60	174	34
11024	556	101	407	48
11025	555	137	345	73
11026	548	106	356	86
11027	180	36	121	23
11028	239	57	150	32
11029	537	148	327	62
11030	236	64	142	30
11031	478	124	307	47
11032	244	66	155	23
11033	567	138	340	89
11034	150	42	90	18
11035	100	23	70	7
11036	215	39	157	19
11037	127	25	86	16
11038	237	27	154	56
12001	467	59	342	66
12002	370	43	291	36
12003	552	85	374	93
12004	452	61	320	71
12005	380	79	241	60
12006	436	57	334	45
12007	474	32	361	81
12008	447	52	326	69
12009	379	48	283	48
12010	513	26	413	74
12011	460	43	360	57
12012	467	50	363	54
12013	470	50	361	59
12014	413	21	344	48
12015	391	24	302	65
12016	421	29	339	53
12017	497	59	368	70
12018	400	34	316	50
12019	435	57	325	53
12020	559	55	441	63
12021	475	62	358	55
12022	423	15	338	70
12023	452	66	314	72
13001	330	77	222	31
13002	319	91	194	34
13003	314	41	234	39
