Precinct	total_votes	votes|Jeffrey A. Leef	votes|Danny K. Davis
01012	682	137	545
01014	173	27	146
01015	122	16	106
01032	167	41	126
02002	505	167	338
02009	572	235	337
02010	549	224	325
02011	638	262	376
02012	327	31	296
02013	581	182	399
02014	539	106	433
02017	696	137	559
02018	630	206	424
02019	438	166	272
02020	359	112	247
02021	16	3	13
02023	426	176	250
02027	597	236	361
02028	309	133	176
02029	699	262	437
02032	578	201	377
02034	523	196	327
02035	837	324	513
02036	511	168	343
02038	466	208	258
02039	446	199	247
02040	755	265	490
02041	684	265	419
02042	714	238	476
02043	883	344	539
02045	603	164	439
02046	382	146	236
03001	699	16	683
03002	610	16	594
03003	508	51	457
03004	322	7	315
03005	436	15	421
03006	726	219	507
03008	589	14	575
03009	578	16	562
03010	336	9	327
03011	598	18	580
03012	494	8	486
03013	710	189	521
03014	650	135	515
03015	621	15	606
03016	577	17	560
03017	741	108	633
03018	601	31	570
03019	702	231	471
03020	613	18	595
03021	667	155	512
03022	834	199	635
03023	446	14	432
03024	528	24	504
03025	989	306	683
03026	699	167	532
03027	765	223	542
03028	358	11	347
03029	672	23	649
03030	304	10	294
03031	706	14	692
03032	713	142	571
03033	750	182	568
03034	767	161	606
03035	24	1	23
03036	371	5	366
03037	538	13	525
03039	812	204	608
03040	676	74	602
04002	759	198	561
04004	731	18	713
04005	572	23	549
04006	685	44	641
04007	690	18	672
04008	162	0	162
04010	656	33	623
04011	413	11	402
04013	700	122	578
04014	104	2	102
04015	186	14	172
04016	895	191	704
04017	813	147	666
04020	532	121	411
04021	836	156	680
04022	74	6	68
04025	705	166	539
04028	390	21	369
04029	214	3	211
04030	107	2	105
04034	545	14	531
04035	701	20	681
04036	354	9	345
04037	974	201	773
06021	294	2	292
11002	78	12	66
11006	752	187	565
11007	890	139	751
11014	258	88	170
11030	261	86	175
11033	615	173	442
11034	159	57	102
11035	107	30	77
11036	231	54	177
11037	151	33	118
12010	84	3	81
12015	239	23	216
12018	163	15	148
15002	331	7	324
15003	333	12	321
15007	359	7	352
15013	55	7	48
15014	63	4	59
15016	14	0	14
15017	346	13	333
15018	361	11	350
15020	303	4	299
15021	306	4	302
15022	385	7	378
15023	398	7	391
15024	386	10	376
16002	435	9	426
16003	371	10	361
16004	402	15	387
16005	352	8	344
16006	396	8	388
16007	367	18	349
16008	301	16	285
16009	31	1	30
16010	383	19	364
16011	411	20	391
16012	366	12	354
16013	454	31	423
16014	377	15	362
16015	428	15	413
16016	391	7	384
