Precinct	total_votes	votes|Kelly M. Cassidy	votes|Arthur Noah Siegel
40028	606	502	104
40037	10	10	0
48001	530	417	113
48002	272	217	55
48003	704	598	106
48005	302	248	54
48006	709	587	122
48007	582	495	87
48008	307	229	78
48009	403	313	90
48010	773	653	120
48011	457	397	60
48012	666	554	112
48013	717	568	149
48014	288	229	59
48015	400	336	64
48016	586	483	103
48018	399	332	67
48019	384	312	72
48020	176	143	33
48021	11	9	2
48022	469	378	91
48025	509	414	95
48026	321	260	61
48027	1102	902	200
48028	659	525	134
48029	251	202	49
48030	505	411	94
48031	833	700	133
48032	620	507	113
48033	317	258	59
48034	517	430	87
48036	332	276	56
48037	602	507	95
48038	516	424	92
48039	452	360	92
48040	503	401	102
48041	738	606	132
48042	697	603	94
48043	598	455	143
48044	694	588	106
48045	449	370	79
48046	371	295	76
49001	429	383	46
49002	394	331	63
49003	637	547	90
49004	724	623	101
49005	568	495	73
49006	563	473	90
49007	639	515	124
49008	491	415	76
49009	617	500	117
49010	560	478	82
49011	701	608	93
49012	839	684	155
49013	696	598	98
49014	483	391	92
49015	482	409	73
49016	528	433	95
49017	368	294	74
49018	754	634	120
49019	562	494	68
49020	872	738	134
49021	368	324	44
49022	602	510	92
49023	706	597	109
49024	522	435	87
49025	795	651	144
49026	663	520	143
49027	726	610	116
49028	778	656	122
49029	684	575	109
49030	664	555	109
49031	486	412	74
49032	616	542	74
49033	514	447	67
50008	396	335	61
50028	2	2	0
