Precinct	total_votes	votes|Ann M. Williams
01028	78	78
01042	5	5
02020	36	36
02022	222	222
02024	197	197
02026	192	192
32001	263	263
32005	9	9
32007	234	234
32008	250	250
32009	259	259
32010	209	209
32013	228	228
32015	239	239
32016	240	240
32018	194	194
32019	253	253
32021	280	280
32023	226	226
32024	139	139
32025	237	237
32027	191	191
32029	71	71
32030	159	159
32033	113	113
32034	33	33
32036	13	13
32037	128	128
32038	209	209
32039	184	184
32040	291	291
32041	251	251
32042	237	237
33003	114	114
33005	108	108
33008	446	446
33010	282	282
33020	35	35
33023	318	318
33024	434	434
43002	207	207
43006	139	139
43009	253	253
43016	227	227
43017	149	149
43018	233	233
43020	263	263
43021	237	237
43022	140	140
43024	150	150
43029	184	184
43030	307	307
43031	242	242
43037	298	298
43039	283	283
43040	177	177
43041	332	332
43044	211	211
43046	112	112
44002	264	264
44009	198	198
44011	181	181
44016	284	284
44025	242	242
44030	292	292
47001	178	178
47002	303	303
47003	304	304
47004	300	300
47005	83	83
47006	320	320
47007	295	295
47008	297	297
47009	239	239
47011	276	276
47012	319	319
47013	341	341
47014	257	257
47016	309	309
47017	298	298
47018	289	289
47021	272	272
47024	281	281
47025	342	342
47027	255	255
47028	8	8
47029	317	317
47033	273	273
47035	280	280
47039	312	312
47040	301	301
47041	48	48
47043	265	265
47044	246	246
47046	270	270
47047	336	336
47048	32	32
