Precinct	total_votes	votes|Luis V. Gutierrez	votes|Javier Salas
Berwyn Ward 1 Precinct 5	222	166	56
Berwyn Ward 2 Precinct 1	183	134	49
Berwyn Ward 2 Precinct 4	487	360	127
Berwyn Ward 3 Precinct 1	296	220	76
Berwyn Ward 3 Precinct 2	213	164	49
Berwyn Ward 3 Precinct 3	210	154	56
Berwyn Ward 3 Precinct 4	313	232	81
Berwyn Ward 3 Precinct 5	362	270	92
Berwyn Ward 4 Precinct 1	232	171	61
Berwyn Ward 4 Precinct 2	317	250	67
Berwyn Ward 4 Precinct 3	420	312	108
Berwyn Ward 4 Precinct 4	225	171	54
Berwyn Ward 5 Precinct 1	563	419	144
Berwyn Ward 5 Precinct 2	308	245	63
Berwyn Ward 5 Precinct 3	266	198	68
Berwyn Ward 6 Precinct 1	187	152	35
Berwyn Ward 6 Precinct 3	174	137	37
Berwyn Ward 6 Precinct 4	254	194	60
Berwyn Ward 8 Precinct 2	331	233	98
Berwyn Ward 8 Precinct 3	233	183	50
Cicero 1	484	364	120
Cicero 2	218	166	52
Cicero 3	339	255	84
Cicero 4	357	283	74
Cicero 6	127	97	30
Cicero 7	249	186	63
Cicero 8	219	182	37
Cicero 9	454	343	111
Cicero 10	432	343	89
Cicero 12	288	207	81
Cicero 14	329	230	99
Cicero 15	386	275	111
Cicero 16	292	217	75
Cicero 17	450	327	123
Cicero 18	275	219	56
Cicero 19	464	354	110
Cicero 21	366	284	82
Cicero 22	322	240	82
Cicero 23	472	345	127
Cicero 24	420	330	90
Cicero 25	336	247	89
Cicero 26	261	204	57
Cicero 27	378	278	100
Cicero 28	399	301	98
Cicero 29	353	274	79
Cicero 30	369	271	98
Cicero 31	272	190	82
Cicero 32	265	204	61
Leyden 26	307	236	71
Oak Park 33	5	4	1
Proviso 3	247	195	52
Proviso 6	168	126	42
Proviso 7	63	46	17
Proviso 10	290	248	42
Proviso 11	302	235	67
Proviso 12	406	310	96
Proviso 13	300	228	72
Proviso 14	250	194	56
Proviso 15	322	243	79
Proviso 16	295	235	60
Proviso 25	123	93	30
Proviso 27	306	231	75
Proviso 28	266	207	59
Proviso 29	361	285	76
Proviso 30	3	3	0
Proviso 32	325	250	75
Proviso 54	415	314	101
Proviso 63	314	232	82
Proviso 71	326	247	79
Proviso 75	318	246	72
Proviso 78	138	100	38
Proviso 80	249	199	50
Proviso 85	199	162	37
Proviso 87	345	264	81
