Precinct	total_votes	votes|Juliana Stratton
02027	111	111
02029	193	193
02032	438	438
02036	409	409
02038	253	253
02039	315	315
02040	601	601
02041	416	416
02042	315	315
02043	686	686
02045	474	474
03001	482	482
03002	541	541
03003	10	10
03006	580	580
03007	367	367
03008	509	509
03009	530	530
03011	297	297
03012	299	299
03014	562	562
03015	559	559
03016	523	523
03017	641	641
03018	291	291
03020	549	549
03021	379	379
03022	725	725
03023	486	486
03024	481	481
03025	799	799
03027	284	284
03028	318	318
03029	522	522
03031	316	316
03032	616	616
03033	620	620
03034	647	647
03035	265	265
03036	180	180
03037	484	484
03038	426	426
03039	684	684
03040	589	589
03041	119	119
04002	635	635
04006	440	440
04011	125	125
04014	553	553
04016	601	601
04021	243	243
04025	587	587
04036	247	247
04038	157	157
05002	447	447
05012	405	405
05013	23	23
05030	66	66
06007	7	7
07001	89	89
07003	4	4
08001	336	336
08002	109	109
08009	292	292
08013	489	489
08016	163	163
08020	457	457
08021	581	581
08026	217	217
08028	458	458
08043	27	27
08054	248	248
08055	323	323
20001	464	464
20003	356	356
20007	450	450
20008	318	318
20010	366	366
20011	550	550
20012	375	375
20014	226	226
20018	346	346
20019	445	445
20023	504	504
20027	1	1
20030	220	220
20031	505	505
20033	298	298
20035	397	397
20037	155	155
20039	15	15
27038	161	161
42010	413	413
42014	426	426
42015	105	105
42019	363	363
42020	567	567
42022	273	273
42023	515	515
42025	544	544
42027	357	357
42032	546	546
42033	615	615
42039	604	604
42040	166	166
42042	881	881
