Precinct	total_votes	votes|Raymond A. Lopez
15001	250	250
15002	181	181
15003	183	183
15004	274	274
15005	280	280
15006	258	258
15007	216	216
15008	262	262
15009	336	336
15010	376	376
15011	354	354
15012	318	318
15013	248	248
15014	241	241
15015	252	252
15016	267	267
15017	175	175
15018	214	214
15019	206	206
15020	170	170
15021	216	216
15022	193	193
15023	221	221
15024	189	189
