Precinct	total_votes	votes|Thaddeus Jones
09003	371	371
09004	202	202
09007	283	283
09011	330	330
09015	482	482
09016	377	377
09018	312	312
09026	587	587
09028	273	273
09031	17	17
09033	349	349
09041	359	359
09044	288	288
09045	387	387
Bloom 6	9	9
Bloom 7	511	511
Bloom 8	457	457
Bloom 9	308	308
Bloom 10	296	296
Bloom 11	301	301
Bloom 21	186	186
Bloom 24	809	809
Bloom 26	145	145
Bloom 29	286	286
Bloom 33	468	468
Bloom 34	318	318
Bloom 37	337	337
Bloom 45	784	784
Bloom 48	391	391
Bloom 49	570	570
Bloom 60	488	488
Thornton 6	689	689
Thornton 7	507	507
Thornton 8	648	648
Thornton 20	311	311
Thornton 21	735	735
Thornton 22	564	564
Thornton 23	482	482
Thornton 27	701	701
Thornton 34	818	818
Thornton 37	618	618
Thornton 40	415	415
Thornton 41	366	366
Thornton 45	469	469
Thornton 48	506	506
Thornton 53	355	355
Thornton 54	781	781
Thornton 55	373	373
Thornton 64	453	453
Thornton 66	773	773
Thornton 72	555	555
Thornton 73	818	818
Thornton 74	641	641
Thornton 75	536	536
Thornton 76	612	612
Thornton 80	464	464
Thornton 81	525	525
Thornton 82	408	408
Thornton 83	764	764
Thornton 84	721	721
Thornton 86	430	430
Thornton 87	764	764
Thornton 88	533	533
Thornton 89	765	765
Thornton 90	554	554
Thornton 91	524	524
Thornton 92	622	622
Thornton 100	386	386
Thornton 105	511	511
Thornton 112	4	4
Thornton 115	541	541
Thornton 121	457	457
Thornton 122	731	731
Thornton 123	398	398
