Precinct	total_votes	votes|John G. Mulroe
29029	288	288
29031	147	147
29032	354	354
38001	346	346
38002	323	323
38003	380	380
38005	372	372
38006	379	379
38007	345	345
38009	393	393
38011	358	358
38012	304	304
38013	363	363
38014	416	416
38015	357	357
38017	403	403
38018	383	383
38019	419	419
38020	367	367
38021	322	322
38022	356	356
38024	413	413
38025	322	322
38026	374	374
38027	381	381
38028	432	432
38029	362	362
38030	345	345
38031	402	402
38032	389	389
38033	386	386
38036	357	357
38038	357	357
38040	374	374
38041	387	387
39020	468	468
39021	380	380
39023	400	400
39024	443	443
39041	4	4
41001	377	377
41002	411	411
41003	374	374
41004	448	448
41005	488	488
41007	471	471
41008	402	402
41010	456	456
41011	438	438
41012	416	416
41013	430	430
41015	516	516
41016	395	395
41017	412	412
41018	352	352
41020	310	310
41021	409	409
41022	414	414
41023	374	374
41024	358	358
41025	359	359
41026	383	383
41027	330	330
41030	395	395
41031	423	423
41033	359	359
41034	334	334
41035	461	461
41036	378	378
41037	457	457
41038	363	363
41040	437	437
41041	396	396
41042	413	413
41043	419	419
41044	433	433
41045	368	368
41046	409	409
45012	395	395
45013	361	361
45014	564	564
45015	536	536
45016	347	347
45017	468	468
45018	434	434
45019	218	218
45020	308	308
45021	345	345
45022	373	373
45023	380	380
45024	312	312
45025	251	251
45026	207	207
45027	383	383
45028	330	330
45029	259	259
45030	412	412
45031	321	321
45032	263	263
45033	274	274
45034	439	439
45035	413	413
45036	400	400
45037	380	380
45038	355	355
45039	379	379
45040	401	401
45041	365	365
45042	399	399
45043	390	390
45044	381	381
45045	256	256
45046	304	304
45047	299	299
45048	317	317
Leyden 1	332	332
Leyden 2	268	268
Leyden 12	370	370
Leyden 17	406	406
Leyden 18	311	311
Leyden 25	315	315
Leyden 27	116	116
Leyden 37	348	348
Leyden 38	164	164
Leyden 42	443	443
Leyden 44	438	438
Leyden 45	395	395
Leyden 49	665	665
Maine 5	373	373
Maine 23	452	452
Maine 27	308	308
Maine 28	314	314
Maine 29	619	619
Maine 30	891	891
Maine 39	512	512
Maine 41	399	399
Maine 43	305	305
Maine 45	243	243
Maine 49	472	472
Maine 55	376	376
Maine 57	366	366
Maine 59	440	440
Maine 60	613	613
Maine 66	138	138
Maine 70	574	574
Maine 82	383	383
Maine 85	215	215
Maine 88	242	242
Maine 91	614	614
Maine 92	369	369
Niles 9	329	329
Niles 13	246	246
Norwood Park 1	532	532
Norwood Park 2	534	534
Norwood Park 4	542	542
Norwood Park 5	390	390
Norwood Park 6	594	594
Norwood Park 7	368	368
Norwood Park 8	320	320
Norwood Park 9	331	331
Norwood Park 10	279	279
Norwood Park 12	379	379
Norwood Park 13	402	402
Norwood Park 15	375	375
Norwood Park 16	339	339
Norwood Park 17	458	458
