Precinct	total_votes	votes|Anthony A. Beale
09001	315	315
09002	258	258
09003	206	206
09004	226	226
09005	259	259
09006	274	274
09007	184	184
09008	288	288
09009	306	306
09010	266	266
09011	200	200
09012	322	322
09013	315	315
09014	383	383
09015	259	259
09016	264	264
09017	222	222
09018	196	196
09019	298	298
09020	307	307
09021	250	250
09022	296	296
09023	322	322
09024	313	313
09025	289	289
09026	250	250
09027	264	264
09028	181	181
09029	218	218
09030	248	248
09031	214	214
09032	259	259
09033	222	222
09034	216	216
09035	275	275
09036	250	250
09037	308	308
09038	281	281
09039	305	305
09040	317	317
09041	228	228
09042	309	309
09043	249	249
09044	246	246
09045	225	225
09046	270	270
09047	305	305
09048	317	317
09049	321	321
09050	353	353
09051	289	289
