Precinct	total_votes	votes|Laura Murphy
41028	189	189
41029	134	134
41042	6	6
Elk Grove 2	159	159
Elk Grove 3	219	219
Elk Grove 4	209	209
Elk Grove 9	141	141
Elk Grove 12	94	94
Elk Grove 13	188	188
Elk Grove 15	140	140
Elk Grove 17	170	170
Elk Grove 18	253	253
Elk Grove 20	192	192
Elk Grove 24	142	142
Elk Grove 29	157	157
Elk Grove 31	134	134
Elk Grove 32	128	128
Elk Grove 33	109	109
Elk Grove 36	143	143
Elk Grove 37	126	126
Elk Grove 38	174	174
Elk Grove 40	166	166
Elk Grove 42	169	169
Elk Grove 43	143	143
Elk Grove 45	159	159
Elk Grove 47	203	203
Elk Grove 49	208	208
Elk Grove 51	207	207
Leyden 23	249	249
Maine 3	121	121
Maine 6	307	307
Maine 7	152	152
Maine 8	174	174
Maine 9	306	306
Maine 10	207	207
Maine 11	110	110
Maine 12	145	145
Maine 13	185	185
Maine 14	264	264
Maine 16	135	135
Maine 17	200	200
Maine 18	186	186
Maine 20	112	112
Maine 21	222	222
Maine 22	245	245
Maine 24	222	222
Maine 25	230	230
Maine 26	160	160
Maine 34	224	224
Maine 35	193	193
Maine 36	165	165
Maine 37	147	147
Maine 38	123	123
Maine 42	267	267
Maine 47	208	208
Maine 48	248	248
Maine 50	135	135
Maine 53	201	201
Maine 54	182	182
Maine 56	249	249
Maine 61	93	93
Maine 65	101	101
Maine 67	183	183
Maine 68	152	152
Maine 79	217	217
Maine 80	151	151
Maine 86	181	181
Maine 87	92	92
Norwood Park 3	214	214
Norwood Park 11	260	260
Norwood Park 14	159	159
Palatine 11	148	148
Palatine 62	150	150
Schaumburg 2	371	371
Schaumburg 3	179	179
Schaumburg 5	82	82
Schaumburg 6	174	174
Schaumburg 7	169	169
Schaumburg 8	158	158
Schaumburg 9	170	170
Schaumburg 11	148	148
Schaumburg 12	9	9
Schaumburg 13	131	131
Schaumburg 14	180	180
Schaumburg 16	208	208
Schaumburg 17	172	172
Schaumburg 21	242	242
Schaumburg 22	116	116
Schaumburg 23	221	221
Schaumburg 24	213	213
Schaumburg 25	166	166
Schaumburg 26	214	214
Schaumburg 29	203	203
Schaumburg 30	159	159
Schaumburg 32	269	269
Schaumburg 33	152	152
Schaumburg 37	127	127
Schaumburg 39	285	285
Schaumburg 40	149	149
Schaumburg 41	148	148
Schaumburg 46	147	147
Schaumburg 47	154	154
Schaumburg 48	140	140
Schaumburg 50	106	106
Schaumburg 52	205	205
Schaumburg 53	193	193
Schaumburg 54	185	185
Schaumburg 55	146	146
Schaumburg 56	192	192
Schaumburg 57	202	202
Schaumburg 59	174	174
Schaumburg 61	254	254
Schaumburg 62	232	232
Schaumburg 63	144	144
Schaumburg 64	160	160
Schaumburg 65	160	160
Schaumburg 66	146	146
Schaumburg 67	161	161
Schaumburg 68	127	127
Schaumburg 69	145	145
Schaumburg 70	119	119
Schaumburg 72	162	162
Schaumburg 73	201	201
Schaumburg 74	143	143
Schaumburg 75	141	141
Schaumburg 76	154	154
