Precinct	total_votes	votes|Michael J. Madigan	votes|Jason Gonzales	votes|Joe G. Barboza	votes|Grasiela Rodriguez
13001	274	192	66	0	16
13002	287	226	56	1	4
13003	264	168	73	3	20
13004	304	199	91	4	10
13005	403	296	82	8	17
13006	314	220	85	2	7
13007	280	201	49	7	23
13008	235	166	59	4	6
13009	317	191	101	4	21
13010	230	150	69	4	7
13011	335	249	63	10	13
13012	307	231	61	2	13
13013	362	267	82	1	12
13014	317	218	71	8	20
13015	555	426	104	6	19
13016	271	188	68	5	10
13017	279	180	82	8	9
13018	226	152	60	5	9
13019	453	297	108	5	43
13020	180	131	37	7	5
13021	325	228	80	8	9
13022	333	252	71	5	5
13023	276	178	82	3	13
13024	313	238	61	1	13
13025	345	245	75	8	17
13026	374	301	51	6	16
13027	324	239	67	7	11
13028	288	199	70	2	17
13029	270	180	69	5	16
13030	265	208	44	5	8
13031	325	229	80	10	6
13032	269	184	70	5	10
13033	273	178	81	4	10
13034	442	364	57	5	16
13035	305	250	42	3	10
13036	194	141	40	3	10
13037	374	262	90	7	15
13038	235	159	64	3	9
13039	333	236	84	3	10
13040	288	229	48	4	7
13041	350	232	94	7	17
13042	275	166	98	5	6
13043	351	269	64	3	15
13044	476	443	26	1	6
13045	406	347	48	3	8
13046	421	288	107	5	21
13047	369	287	64	5	13
13048	288	219	61	0	8
14003	389	200	123	16	50
14006	39	20	16	0	3
14010	0	0	0	0	0
14011	224	127	62	5	30
14015	419	217	136	12	54
14018	106	42	47	2	15
14022	279	148	92	13	26
14023	72	32	32	5	3
18015	342	206	107	6	23
18043	243	112	94	9	28
18046	226	134	77	4	11
23001	201	129	58	5	9
23002	268	151	102	5	10
23004	337	226	88	10	13
23005	343	185	121	8	29
23006	275	149	87	10	29
23007	313	180	100	9	24
23008	340	190	118	8	24
23009	296	176	76	8	36
23010	392	234	125	2	31
23011	409	270	113	7	19
23013	268	127	102	8	31
23014	9	8	1	0	0
23015	296	141	109	12	34
23017	94	36	42	3	13
23018	249	152	77	8	12
23020	223	91	101	7	24
23022	198	98	73	11	16
23023	290	168	113	4	5
23024	108	59	35	5	9
23025	51	26	17	0	8
23026	238	130	80	7	21
23028	287	164	102	3	18
23029	234	148	68	5	13
23030	389	197	148	14	30
23032	364	201	132	5	26
23033	354	189	125	4	36
23034	315	172	93	10	40
23035	185	85	85	5	10
23038	240	143	84	7	6
23039	320	154	135	5	26
Stickney 3	513	316	139	17	41
Stickney 20	302	123	134	14	31
