Precinct	total_votes	votes|John S. Arena
45001	223	223
45002	259	259
45003	257	257
45004	319	319
45005	251	251
45006	304	304
45007	363	363
45008	256	256
45009	283	283
45010	268	268
45011	231	231
45012	241	241
45013	252	252
45014	338	338
45015	350	350
45016	209	209
45017	268	268
45018	241	241
45019	120	120
45020	153	153
45021	207	207
45022	204	204
45023	205	205
45024	168	168
45025	155	155
45026	118	118
45027	208	208
45028	176	176
45029	129	129
45030	235	235
45031	201	201
45032	196	196
45033	171	171
45034	256	256
45035	247	247
45036	258	258
45037	216	216
45038	196	196
45039	207	207
45040	217	217
45041	193	193
45042	195	195
45043	204	204
45044	192	192
45045	127	127
45046	147	147
45047	150	150
45048	117	117
