Precinct	total_votes	votes|André Thapedi
06004	345	345
06005	309	309
06006	387	387
06007	413	413
06009	442	442
06011	371	371
06012	350	350
06015	238	238
06018	267	267
06019	214	214
06021	283	283
06022	49	49
06023	262	262
06024	235	235
06026	232	232
06028	164	164
06030	370	370
06032	408	408
06033	413	413
06040	353	353
06047	309	309
06048	415	415
08026	3	3
15007	151	151
15022	273	273
16006	196	196
16016	306	306
16024	199	199
16029	303	303
16030	241	241
16033	278	278
17001	144	144
17003	401	401
17008	159	159
17011	64	64
17013	320	320
17017	329	329
17019	261	261
17030	214	214
17031	269	269
17032	93	93
17033	275	275
17034	96	96
17035	327	327
17036	371	371
17037	59	59
18001	369	369
18002	377	377
18003	315	315
18005	285	285
18006	132	132
18011	318	318
18012	118	118
18015	16	16
18017	405	405
18021	329	329
18023	384	384
18024	358	358
18025	380	380
18027	322	322
18028	347	347
18029	418	418
18030	401	401
18031	434	434
18033	268	268
18039	357	357
18040	438	438
18042	373	373
18043	41	41
18044	299	299
18045	397	397
18046	160	160
18047	326	326
18048	333	333
18049	277	277
18050	192	192
20008	79	79
20028	255	255
Lyons 13	223	223
Lyons 38	210	210
Lyons 70	488	488
Lyons 74	259	259
Lyons 77	341	341
Palos 6	281	281
Palos 17	535	535
Palos 18	456	456
Palos 20	468	468
Palos 25	326	326
Palos 27	474	474
Stickney 5	585	585
Stickney 9	223	223
Stickney 11	510	510
Stickney 12	264	264
Stickney 14	574	574
Stickney 15	568	568
Worth 1	1	1
Worth 74	225	225
Worth 86	443	443
