Precinct	total_votes	votes|Ira I. Silverstein
33002	310	310
33007	107	107
35030	4	4
39001	363	363
39002	312	312
39004	338	338
39005	421	421
39006	400	400
39007	369	369
39008	427	427
39009	400	400
39010	217	217
39011	361	361
39012	232	232
39013	339	339
39014	371	371
39015	411	411
39016	378	378
39017	409	409
39018	412	412
39019	375	375
39024	5	5
39025	52	52
39026	370	370
39027	67	67
39029	252	252
39030	380	380
39031	49	49
39032	363	363
39033	524	524
39035	392	392
39036	137	137
39037	369	369
39038	217	217
39039	239	239
39040	331	331
39041	410	410
39042	363	363
39043	390	390
39044	277	277
39045	332	332
40004	220	220
40010	390	390
40029	35	35
40035	3	3
40039	113	113
41006	411	411
41009	372	372
41014	423	423
41019	395	395
41032	313	313
41039	396	396
41047	378	378
45032	84	84
50001	419	419
50002	283	283
50003	364	364
50004	440	440
50005	304	304
50006	472	472
50007	463	463
50008	73	73
50009	338	338
50010	459	459
50011	325	325
50012	185	185
50013	520	520
50014	132	132
50015	445	445
50016	135	135
50017	415	415
50018	101	101
50019	275	275
50020	442	442
50021	360	360
50022	359	359
50023	279	279
50024	364	364
50025	387	387
50026	469	469
50027	115	115
50028	463	463
50029	472	472
50030	314	314
50031	519	519
50032	521	521
50033	355	355
50034	542	542
50035	515	515
50036	360	360
50037	431	431
50038	182	182
50039	326	326
50040	455	455
Maine 1	390	390
Maine 2	431	431
Maine 5	299	299
Maine 15	290	290
Maine 31	459	459
Maine 32	267	267
Maine 33	456	456
Maine 40	471	471
Maine 44	302	302
Maine 46	466	466
Maine 51	484	484
Maine 52	404	404
Maine 58	504	504
Maine 60	66	66
Maine 62	269	269
Maine 63	343	343
Maine 69	467	467
Maine 71	249	249
Maine 72	338	338
Maine 73	165	165
Maine 74	360	360
Maine 75	423	423
Maine 76	229	229
Maine 78	462	462
Maine 81	332	332
Maine 83	275	275
Maine 84	262	262
Maine 89	337	337
Maine 90	243	243
Niles 1	488	488
Niles 2	601	601
Niles 3	77	77
Niles 4	471	471
Niles 5	340	340
Niles 6	430	430
Niles 10	553	553
Niles 11	278	278
Niles 12	411	411
Niles 13	291	291
Niles 15	617	617
Niles 16	760	760
Niles 17	631	631
Niles 20	461	461
Niles 24	650	650
Niles 25	346	346
Niles 26	622	622
Niles 27	538	538
Niles 29	376	376
Niles 30	427	427
Niles 33	391	391
Niles 34	572	572
Niles 35	595	595
Niles 38	844	844
Niles 39	623	623
Niles 40	269	269
Niles 41	622	622
Niles 42	540	540
Niles 43	654	654
Niles 44	632	632
Niles 46	611	611
Niles 50	586	586
Niles 51	311	311
Niles 52	426	426
Niles 53	739	739
Niles 54	341	341
Niles 55	349	349
Niles 56	644	644
Niles 57	621	621
Niles 58	564	564
Niles 61	763	763
Niles 63	655	655
