Precinct	total_votes	votes|Kimberly A. Lightford
28001	333	333
28012	410	410
28014	347	347
28031	506	506
28039	320	320
28041	317	317
28042	291	291
28043	518	518
29002	654	654
29003	541	541
29006	394	394
29008	459	459
29011	282	282
29014	441	441
29016	512	512
29018	475	475
29019	513	513
29020	569	569
29021	610	610
29022	347	347
29028	577	577
29034	268	268
29042	511	511
37001	344	344
37005	421	421
37006	427	427
37009	458	458
37010	492	492
37011	346	346
37014	447	447
37015	440	440
37016	464	464
37017	387	387
37020	346	346
37022	156	156
37023	406	406
37024	438	438
37025	393	393
37026	454	454
37027	425	425
37029	175	175
37030	239	239
37031	430	430
37032	383	383
37033	492	492
37034	402	402
37036	422	422
37038	435	435
37039	392	392
37040	449	449
37041	399	399
Berwyn Ward 7 Precinct 1	450	450
Berwyn Ward 7 Precinct 2	435	435
Berwyn Ward 7 Precinct 4	586	586
Berwyn Ward 8 Precinct 1	772	772
Berwyn Ward 8 Precinct 3	313	313
Lyons 9	568	568
Lyons 11	328	328
Lyons 15	488	488
Lyons 16	804	804
Lyons 18	392	392
Lyons 21	43	43
Oak Park 16	976	976
Oak Park 17	957	957
Oak Park 25	641	641
Oak Park 27	222	222
Oak Park 29	616	616
Oak Park 31	1061	1061
Oak Park 33	655	655
Oak Park 36	381	381
Proviso 1	465	465
Proviso 3	594	594
Proviso 4	654	654
Proviso 5	604	604
Proviso 6	350	350
Proviso 7	109	109
Proviso 8	361	361
Proviso 9	495	495
Proviso 16	481	481
Proviso 17	379	379
Proviso 18	753	753
Proviso 19	656	656
Proviso 20	507	507
Proviso 21	391	391
Proviso 22	463	463
Proviso 23	190	190
Proviso 24	634	634
Proviso 25	557	557
Proviso 26	558	558
Proviso 28	503	503
Proviso 30	574	574
Proviso 31	353	353
Proviso 32	581	581
Proviso 33	652	652
Proviso 34	944	944
Proviso 35	516	516
Proviso 36	634	634
Proviso 37	412	412
Proviso 38	553	553
Proviso 39	670	670
Proviso 40	572	572
Proviso 41	513	513
Proviso 42	384	384
Proviso 43	403	403
Proviso 44	439	439
Proviso 45	597	597
Proviso 46	117	117
Proviso 47	354	354
Proviso 48	356	356
Proviso 49	416	416
Proviso 50	797	797
Proviso 51	547	547
Proviso 52	470	470
Proviso 53	631	631
Proviso 54	747	747
Proviso 55	421	421
Proviso 56	422	422
Proviso 57	412	412
Proviso 58	384	384
Proviso 59	437	437
Proviso 60	404	404
Proviso 61	621	621
Proviso 62	620	620
Proviso 63	544	544
Proviso 64	574	574
Proviso 65	446	446
Proviso 66	622	622
Proviso 67	730	730
Proviso 68	314	314
Proviso 69	517	517
Proviso 70	367	367
Proviso 71	850	850
Proviso 72	465	465
Proviso 73	481	481
Proviso 74	500	500
Proviso 75	129	129
Proviso 76	605	605
Proviso 77	320	320
Proviso 79	470	470
Proviso 81	421	421
Proviso 82	799	799
Proviso 83	694	694
Proviso 84	280	280
Proviso 85	555	555
Proviso 86	606	606
Proviso 91	445	445
Proviso 92	609	609
Proviso 93	374	374
Proviso 94	484	484
Proviso 95	206	206
Proviso 96	302	302
Proviso 97	627	627
Proviso 99	597	597
Proviso 101	449	449
Proviso 102	601	601
River Forest 1	675	675
River Forest 2	426	426
River Forest 3	541	541
River Forest 4	622	622
River Forest 5	399	399
River Forest 6	359	359
River Forest 7	549	549
River Forest 8	712	712
Riverside 6	410	410
Riverside 7	344	344
Riverside 11	45	45
Riverside 12	355	355
Riverside 13	561	561
