Precinct	total_votes	votes|Kelly M. Burke
17018	8	8
18009	229	229
18019	23	23
18026	120	120
18032	407	407
18034	469	469
19003	298	298
19005	444	444
19009	313	313
19012	290	290
19016	62	62
19018	26	26
19024	276	276
19030	29	29
19033	107	107
19055	312	312
19056	333	333
21007	430	430
21009	447	447
21013	375	375
21015	94	94
21026	29	29
21029	276	276
Lyons 23	12	12
Lyons 46	372	372
Palos 2	308	308
Palos 7	484	484
Palos 10	453	453
Palos 11	417	417
Palos 12	434	434
Palos 13	212	212
Palos 14	283	283
Palos 21	307	307
Palos 22	73	73
Palos 26	304	304
Palos 30	89	89
Palos 32	238	238
Palos 34	337	337
Palos 35	647	647
Palos 36	545	545
Palos 37	509	509
Palos 39	521	521
Worth 3	521	521
Worth 4	788	788
Worth 5	566	566
Worth 6	559	559
Worth 10	653	653
Worth 11	548	548
Worth 13	637	637
Worth 25	437	437
Worth 26	99	99
Worth 27	398	398
Worth 28	356	356
Worth 29	462	462
Worth 31	720	720
Worth 32	379	379
Worth 33	437	437
Worth 35	570	570
Worth 36	559	559
Worth 37	466	466
Worth 38	552	552
Worth 39	535	535
Worth 40	500	500
Worth 41	286	286
Worth 45	465	465
Worth 46	632	632
Worth 48	373	373
Worth 49	327	327
Worth 52	368	368
Worth 54	623	623
Worth 56	524	524
Worth 57	563	563
Worth 58	294	294
Worth 60	331	331
Worth 61	453	453
Worth 62	301	301
Worth 63	558	558
Worth 69	653	653
Worth 70	601	601
Worth 71	390	390
Worth 72	648	648
Worth 75	624	624
Worth 77	549	549
Worth 78	646	646
Worth 80	644	644
Worth 83	46	46
Worth 84	521	521
Worth 85	510	510
Worth 90	565	565
Worth 91	305	305
Worth 92	542	542
Worth 93	329	329
Worth 96	667	667
Worth 98	466	466
Worth 100	559	559
