Precinct	total_votes	votes|Dan Patlak	votes|Marty Stack
Worth 15	873	334	539
Worth 16	840	432	408
Worth 17	693	185	508
Worth 18	505	360	145
Worth 19	625	242	383
Worth 20	430	133	297
Worth 21	888	375	513
Worth 22	479	233	246
Worth 23	660	399	261
Worth 24	138	31	107
Worth 25	741	348	393
Worth 26	491	214	277
Worth 27	515	290	225
Worth 28	409	154	255
Worth 29	512	133	379
Worth 30	668	335	333
Worth 31	790	290	500
Worth 32	425	218	207
Worth 33	605	258	347
Worth 34	605	170	435
Worth 35	699	387	312
Worth 36	649	284	365
Worth 37	488	112	376
Worth 38	616	216	400
Worth 39	599	285	314
Worth 40	691	260	431
Worth 41	333	154	179
Worth 42	550	241	309
Worth 44	430	206	224
Worth 45	506	246	260
Worth 46	745	376	369
Worth 47	347	165	182
Worth 48	449	226	223
Worth 49	381	191	190
Worth 50	693	364	329
Worth 51	458	258	200
Worth 52	400	218	182
Worth 53	634	301	333
Worth 54	681	252	429
Worth 55	379	137	242
Worth 56	652	393	259
Worth 57	656	290	366
Worth 58	706	336	370
Worth 59	772	148	624
Worth 60	399	242	157
Worth 61	548	297	251
Worth 62	369	209	160
Worth 63	627	229	398
Worth 64	875	563	312
Worth 65	918	599	319
Worth 66	444	243	201
Worth 67	421	250	171
Worth 68	476	101	375
Worth 69	721	239	482
Worth 70	738	379	359
Worth 71	494	234	260
Worth 72	693	273	420
Worth 73	376	151	225
Worth 74	320	146	174
Worth 75	762	366	396
Worth 76	311	128	183
Worth 77	637	295	342
Worth 78	749	344	405
Worth 79	433	278	155
Worth 80	695	186	509
Worth 81	463	282	181
Worth 82	606	320	286
Worth 83	292	84	208
Worth 84	640	325	315
Worth 85	617	328	289
Worth 86	628	248	380
Worth 87	551	265	286
Worth 88	377	161	216
Worth 89	807	523	284
Worth 90	672	269	403
Worth 91	356	177	179
Worth 92	662	355	307
Worth 93	375	185	190
Worth 94	720	348	372
Worth 95	648	460	188
Worth 96	738	245	493
Worth 97	493	106	387
Worth 98	726	396	330
Worth 99	421	244	177
Worth 100	661	322	339
