Precinct	total_votes	votes|Dan Patlak	votes|Marty Stack
Hanover 6	574	242	332
Hanover 7	671	301	370
Hanover 8	588	295	293
Hanover 9	640	388	252
Hanover 10	387	149	238
Hanover 11	642	230	412
Hanover 12	505	156	349
Hanover 13	462	192	270
Hanover 14	791	383	408
Hanover 15	537	177	360
Hanover 16	844	452	392
Hanover 17	511	224	287
Hanover 18	616	217	399
Hanover 19	559	332	227
Hanover 20	1,009	507	502
Hanover 21	433	237	196
Hanover 22	604	277	327
Hanover 23	651	323	328
Hanover 24	653	194	459
Hanover 25	546	286	260
Hanover 26	898	451	447
Hanover 27	1,814	954	860
Hanover 28	856	412	444
Hanover 29	439	114	325
Hanover 30	699	315	384
Hanover 31	524	339	185
Hanover 32	490	153	337
Hanover 33	659	263	396
Hanover 34	790	309	481
Hanover 35	683	225	458
Hanover 36	472	213	259
Hanover 37	900	387	513
Hanover 38	729	370	359
Hanover 39	757	314	443
Hanover 40	744	355	389
Hanover 41	949	469	480
Hanover 42	648	355	293
Hanover 43	711	333	378
Hanover 44	828	456	372
Lemont 1	717	532	185
Lemont 2	507	372	135
Lemont 3	765	555	210
Lemont 4	675	481	194
Lemont 5	657	388	269
Lemont 6	721	478	243
Lemont 7	529	339	190
Lemont 8	733	463	270
Lemont 9	475	383	92
Lemont 10	480	277	203
Lemont 11	931	674	257
Lemont 12	1,106	793	313
Lemont 13	902	661	241
Lemont 14	662	506	156
Leyden 1	417	173	244
Leyden 2	353	152	201
Leyden 3	734	353	381
Leyden 4	560	200	360
Leyden 5	580	236	344
Leyden 6	739	281	458
Leyden 7	321	126	195
Leyden 8	695	304	391
Leyden 9	799	481	318
Leyden 10	753	329	424
Leyden 11	633	324	309
Leyden 12	706	583	123
Leyden 13	636	250	386
Leyden 14	484	232	252
Leyden 15	656	294	362
Leyden 16	689	280	409
Leyden 17	532	260	272
Leyden 18	395	168	227
Leyden 19	608	274	334
Leyden 20	329	163	166
Leyden 21	431	90	341
Leyden 22	465	308	157
Leyden 23	994	618	376
Leyden 24	717	240	477
Leyden 25	421	198	223
Leyden 26	921	494	427
Leyden 27	164	74	90
Leyden 28	307	109	198
Leyden 29	414	124	290
Leyden 30	717	385	332
Leyden 31	655	232	423
Leyden 32	682	294	388
Leyden 33	670	267	403
Leyden 34	466	205	261
Leyden 35	298	115	183
Leyden 36	593	229	364
Leyden 37	432	197	235
Leyden 38	237	142	95
Leyden 39	426	214	212
Leyden 40	585	215	370
Leyden 41	330	97	233
Leyden 43	447	183	264
Leyden 44	549	276	273
Leyden 45	522	249	273
Leyden 46	517	223	294
Leyden 47	592	254	338
Leyden 48	700	262	438
Leyden 49	872	423	449
Leyden 50	752	350	402
Lyons 1	74	43	31
Lyons 2	515	228	287
Lyons 3	563	230	333
Lyons 4	895	370	525
Lyons 5	662	316	346
Lyons 6	415	200	215
Lyons 7	556	130	426
Lyons 9	725	355	370
Lyons 10	524	258	266
Lyons 11	450	251	199
Lyons 12	436	335	101
Lyons 14	768	481	287
Lyons 15	686	406	280
Lyons 16	1,016	534	482
Lyons 17	410	266	144
Lyons 18	537	319	218
Lyons 19	672	234	438
Lyons 20	991	639	352
Lyons 21	991	634	357
Lyons 22	424	151	273
Lyons 23	731	450	281
Lyons 24	535	335	200
Lyons 25	606	333	273
Lyons 26	401	269	132
Lyons 27	575	444	131
Lyons 28	754	477	277
Lyons 29	547	294	253
Lyons 30	117	57	60
Lyons 31	624	415	209
Lyons 32	265	151	114
Lyons 33	239	113	126
Lyons 34	308	168	140
Lyons 35	603	351	252
Lyons 36	636	468	168
Lyons 37	456	175	281
Lyons 39	618	391	227
Lyons 40	503	320	183
Lyons 41	431	290	141
Lyons 42	602	403	199
Lyons 43	528	331	197
Lyons 44	989	681	308
Lyons 45	869	381	488
Lyons 46	525	325	200
Lyons 47	613	378	235
Lyons 48	271	108	163
Lyons 49	409	254	155
Lyons 50	695	363	332
Lyons 51	334	156	178
Lyons 52	660	366	294
Lyons 53	625	388	237
Lyons 54	335	169	166
Lyons 55	681	477	204
Lyons 59	554	220	334
Lyons 61	632	414	218
Lyons 62	311	248	63
Lyons 63	908	628	280
Lyons 64	603	235	368
Lyons 66	409	141	268
Lyons 67	681	269	412
Lyons 68	456	195	261
Lyons 69	818	510	308
Lyons 71	322	114	208
Lyons 72	776	472	304
Lyons 73	576	326	250
Lyons 74	343	161	182
Lyons 76	459	222	237
Lyons 78	429	276	153
Maine 1	497	216	281
Maine 2	532	202	330
Maine 3	327	160	167
Maine 4	604	354	250
Maine 5	847	303	544
Maine 6	881	412	469
Maine 7	456	219	237
Maine 8	697	401	296
Maine 9	944	391	553
Maine 10	435	222	213
Maine 11	423	235	188
