Precinct	total_votes	votes|Arthur Turner
02009	146	146
02012	230	230
02020	5	5
02041	14	14
02046	117	117
11002	37	37
11006	296	296
11007	471	471
11033	235	235
12010	50	50
22019	146	146
22021	360	360
24001	272	272
24002	276	276
24003	258	258
24004	245	245
24005	158	158
24006	295	295
24007	143	143
24008	134	134
24009	283	283
24010	162	162
24011	281	281
24012	176	176
24013	137	137
24014	228	228
24015	171	171
24016	35	35
24017	154	154
24018	290	290
24020	43	43
24021	147	147
24022	349	349
24023	233	233
24024	336	336
24025	234	234
24026	350	350
24027	281	281
24028	197	197
24029	212	212
24030	132	132
24031	337	337
24033	158	158
24034	231	231
24035	259	259
24036	356	356
24037	161	161
24038	205	205
24039	287	287
24040	245	245
25003	257	257
25004	251	251
25010	247	247
25016	209	209
25020	201	201
25025	228	228
25027	124	124
25029	205	205
25031	235	235
27002	240	240
27006	174	174
27009	80	80
27010	131	131
27011	55	55
27014	35	35
27016	103	103
27018	210	210
27020	231	231
27021	152	152
27025	57	57
27028	116	116
27033	65	65
27037	207	207
27038	153	153
27041	243	243
27042	126	126
27045	264	264
27047	172	172
27048	243	243
28004	158	158
28005	154	154
28006	119	119
28008	126	126
28010	258	258
28011	400	400
28018	196	196
28019	183	183
28027	215	215
28028	238	238
28029	107	107
28032	0	0
28034	457	457
28035	284	284
28045	157	157
28046	353	353
42003	253	253
42009	1	1
42012	64	64
42016	223	223
42018	0	0
42021	54	54
42036	74	74
42041	67	67
43001	127	127
43003	209	209
43005	87	87
43045	137	137
