Precinct	total_votes	votes|Christian L. Mitchell
02002	354	354
02010	342	342
02011	448	448
02013	401	401
02018	476	476
02019	293	293
02023	278	278
02027	315	315
02029	330	330
02034	375	375
02042	246	246
03002	37	37
03004	545	545
03011	231	231
03012	179	179
03019	544	544
03021	163	163
03027	335	335
03030	491	491
03031	340	340
04003	493	493
04004	709	709
04006	174	174
04007	622	622
04008	590	590
04011	436	436
04012	576	576
04015	119	119
04018	457	457
04019	509	509
04023	165	165
04024	489	489
04026	502	502
04028	496	496
04029	532	532
04030	717	717
04032	589	589
04033	566	566
04034	201	201
04035	623	623
04036	358	358
04038	389	389
05004	600	600
05005	464	464
05006	440	440
05010	444	444
05013	413	413
05014	108	108
05015	475	475
05016	508	508
05017	250	250
05021	228	228
05028	244	244
05030	330	330
05036	320	320
07001	319	319
07002	453	453
07003	393	393
07004	392	392
07010	460	460
07011	49	49
07015	420	420
07016	40	40
07017	13	13
07019	411	411
07020	331	331
07021	74	74
07023	407	407
07024	353	353
07025	283	283
07028	62	62
07030	68	68
07031	288	288
07033	6	6
08001	27	27
08002	315	315
08021	4	4
08042	575	575
10018	280	280
10027	409	409
10034	263	263
10036	2	2
20005	433	433
20009	562	562
20016	450	450
20022	450	450
20024	143	143
42001	421	421
42002	576	576
42004	915	915
42006	463	463
42007	575	575
42008	449	449
42011	297	297
42013	401	401
42019	236	236
42024	457	457
42026	602	602
42028	556	556
42029	529	529
42030	359	359
42031	617	617
42034	405	405
42035	715	715
42040	568	568
43035	516	516
