Precinct	total_votes	votes|Melissa Conyears
01008	158	158
01011	47	47
01012	281	281
01021	8	8
01032	64	64
01033	24	24
01037	59	59
02001	182	182
02006	292	292
02007	219	219
02008	264	264
02015	205	205
02017	148	148
02020	171	171
02025	239	239
24017	46	46
24019	284	284
24020	139	139
24032	130	130
24041	162	162
26004	47	47
26017	141	141
26019	50	50
26028	186	186
26046	115	115
27001	186	186
27003	147	147
27004	153	153
27005	172	172
27008	203	203
27010	151	151
27011	109	109
27013	221	221
27014	110	110
27015	166	166
27016	57	57
27017	262	262
27019	162	162
27022	157	157
27023	212	212
27024	175	175
27025	146	146
27026	196	196
27027	253	253
27029	199	199
27030	154	154
27031	209	209
27032	187	187
27033	135	135
27034	256	256
27035	183	183
27036	205	205
27037	29	29
27039	212	212
27040	143	143
27043	223	223
27044	210	210
27045	3	3
27049	194	194
27050	222	222
28001	1	1
28002	218	218
28003	193	193
28007	256	256
28009	205	205
28013	211	211
28015	80	80
28016	160	160
28017	211	211
28020	198	198
28021	187	187
28022	190	190
28023	286	286
28024	216	216
28025	326	326
28026	251	251
28030	33	33
28032	235	235
28033	262	262
28036	139	139
28037	333	333
28038	118	118
28040	326	326
28042	91	91
28044	160	160
29006	5	5
32002	217	217
32004	239	239
32005	211	211
32006	230	230
32029	234	234
32031	246	246
32032	229	229
32033	93	93
32034	210	210
32035	212	212
32036	229	229
32037	91	91
37002	164	164
37003	214	214
37004	217	217
37007	176	176
37008	173	173
37011	0	0
37012	147	147
37013	195	195
37014	3	3
37019	194	194
37020	0	0
37021	207	207
37022	0	0
37027	1	1
37028	209	209
37030	98	98
43005	95	95
43007	160	160
43010	221	221
43011	152	152
43023	148	148
