Precinct	total_votes	votes|Bobby L. Rush	votes|O. Patrick Brutus	votes|Howard B. Brookins, Jr.
20008	346	299	7	40
20009	423	343	15	65
20010	292	247	12	33
20011	228	192	6	30
20012	247	210	7	30
20013	408	360	14	34
20014	215	192	8	15
20016	376	308	18	50
20018	281	227	17	37
20019	392	338	15	39
20022	447	347	17	83
20023	375	305	15	55
20024	320	245	16	59
20026	373	273	27	73
20027	38	32	2	4
20028	251	200	16	35
20029	400	312	17	71
20030	60	49	3	8
20031	238	198	13	27
20033	216	180	12	24
20034	449	319	44	86
20035	337	280	23	34
20037	141	126	2	13
21001	393	254	13	126
21002	281	211	4	66
21003	397	281	14	102
21004	393	272	14	107
21005	411	290	26	95
21006	328	249	8	71
21007	391	289	13	89
21008	372	246	16	110
21009	396	264	17	115
21010	336	215	29	92
21011	377	261	22	94
21012	358	243	12	103
21013	336	251	8	77
21014	446	267	18	161
21015	344	241	20	83
21016	365	259	22	84
21017	347	249	12	86
21018	438	272	13	153
21019	380	229	14	137
21020	339	239	7	93
21021	334	244	18	72
21022	345	230	24	91
21023	333	224	15	94
21024	340	231	5	104
21025	332	237	8	87
21026	360	262	13	85
21027	364	256	19	89
21028	433	327	19	87
21029	395	289	11	95
21030	309	239	14	56
21031	265	172	16	77
21032	350	245	17	88
21033	377	278	12	87
21034	365	271	15	79
21035	386	289	11	86
21036	388	262	21	105
21037	305	212	7	86
21038	372	283	10	79
21039	294	210	9	75
21040	317	220	7	90
21041	371	241	14	116
21042	392	261	21	110
21043	400	276	13	111
21044	342	221	15	106
21045	350	245	13	92
21046	381	255	16	110
21047	340	245	18	77
21048	325	214	22	89
21049	392	261	8	123
21050	324	237	16	71
21051	364	269	9	86
21052	387	266	14	107
21053	282	177	10	95
21054	342	249	8	85
34001	408	322	6	80
34002	261	211	9	41
34003	387	306	14	67
34005	312	253	3	56
34006	422	323	6	93
34007	393	288	17	88
34008	323	261	14	48
34009	301	242	14	45
34010	362	281	12	69
34011	313	255	9	49
34012	400	311	15	74
34013	371	285	8	78
34014	309	251	11	47
34015	315	253	13	49
34016	300	239	14	47
34017	443	308	10	125
34019	437	339	17	81
34020	429	310	10	109
34021	447	320	13	114
34022	88	68	4	16
34025	405	297	14	94
34026	391	297	12	82
34029	305	236	10	59
34030	131	101	3	27
34031	326	275	16	35
34032	363	281	12	70
34033	309	243	11	55
34034	411	307	17	87
34035	401	309	23	69
34040	410	318	8	84
34041	39	25	2	12
34042	359	275	14	70
34043	343	258	8	77
34044	378	286	14	78
34045	397	299	13	85
34046	246	175	7	64
34047	349	253	15	81
34048	398	308	4	86
34049	439	286	19	134
34050	309	247	12	50
34051	374	279	15	80
34052	302	200	11	91
Bremen 1	391	312	17	62
Bremen 2	219	102	74	43
Bremen 3	163	91	38	34
Bremen 4	192	111	51	30
Bremen 5	180	108	37	35
Bremen 6	163	107	35	21
Bremen 9	169	89	46	34
Bremen 10	225	105	65	55
Bremen 11	224	138	60	26
Bremen 12	331	279	12	40
Bremen 13	227	156	43	28
Bremen 14	195	125	43	27
Bremen 15	213	146	37	30
Bremen 16	182	115	41	26
Bremen 17	361	316	12	33
Bremen 18	290	162	87	41
Bremen 19	156	136	7	13
Bremen 20	151	86	45	20
Bremen 21	390	305	44	41
Bremen 22	163	93	40	30
Bremen 23	180	161	3	16
Bremen 24	149	71	40	38
Bremen 25	278	148	81	49
Bremen 27	278	168	61	49
Bremen 28	157	92	38	27
Bremen 30	184	103	49	32
Bremen 33	161	76	54	31
Bremen 34	215	92	68	55
Bremen 36	121	76	28	17
Bremen 37	236	187	20	29
Bremen 40	142	117	7	18
Bremen 41	130	81	34	15
Bremen 42	225	122	51	52
Bremen 43	240	164	41	35
Bremen 45	86	59	12	15
Bremen 46	174	79	60	35
Bremen 50	188	96	50	42
Bremen 52	164	91	49	24
Bremen 53	139	72	41	26
Bremen 54	158	74	60	24
Bremen 55	250	173	49	28
Bremen 57	192	90	70	32
Bremen 58	246	116	67	63
Bremen 59	161	82	38	41
Bremen 60	152	92	36	24
Bremen 61	171	96	53	22
Bremen 62	214	143	45	26
Bremen 64	243	136	67	40
Bremen 65	194	181	5	8
Bremen 67	229	129	64	36
Bremen 68	106	60	31	15
Bremen 69	224	150	28	46
Bremen 72	128	77	30	21
Bremen 73	198	131	34	33
Bremen 74	278	166	71	41
Bremen 76	146	78	44	24
Bremen 77	269	162	65	42
Bremen 79	182	84	58	40
Calumet 1	399	328	39	32
Calumet 2	320	221	51	48
Calumet 3	405	342	13	50
Calumet 5	348	280	11	57
Calumet 6	549	437	45	67
Calumet 7	431	341	44	46
Calumet 8	253	196	29	28
Calumet 9	335	290	6	39
Calumet 10	487	422	12	53
Calumet 11	612	516	25	71
Calumet 12	334	279	8	47
Orland 3	146	99	25	22
Orland 5	117	58	35	24
Orland 6	144	70	50	24
Orland 7	115	57	44	14
Orland 10	177	96	49	32
Orland 11	120	66	30	24
Orland 13	280	148	73	59
Orland 14	188	90	56	42
Orland 17	159	98	42	19
Orland 19	136	65	46	25
Orland 21	195	83	58	54
Orland 24	151	73	52	26
Orland 25	278	163	69	46
Orland 27	110	69	20	21
Orland 28	103	52	27	24
Orland 30	119	70	29	20
Orland 31	125	68	33	24
Orland 32	113	51	38	24
Orland 33	124	64	33	27
Orland 34	189	99	48	42
Orland 35	203	96	53	54
