Precinct	total_votes	votes|Antonio ''Tony'' Munoz
11001	426	426
11003	425	425
11004	379	379
11005	576	576
11008	408	408
11009	360	360
11010	380	380
11011	461	461
11014	200	200
11015	156	156
11016	279	279
11017	499	499
11018	357	357
11019	556	556
11020	283	283
11022	529	529
11023	232	232
11025	497	497
11026	476	476
11027	163	163
11030	203	203
11036	197	197
11037	117	117
11038	224	224
12001	433	433
12003	528	528
12004	424	424
12005	354	354
12006	12	12
12008	432	432
12009	340	340
12013	343	343
12017	187	187
12019	423	423
12020	3	3
12021	455	455
12023	426	426
14001	352	352
14002	504	504
14004	333	333
14005	589	589
14006	175	175
14007	516	516
14008	462	462
14009	410	410
14010	265	265
14012	420	420
14013	338	338
14014	420	420
14016	278	278
14017	347	347
14018	36	36
14019	423	423
14020	283	283
14021	404	404
14022	134	134
14023	208	208
14024	407	407
14025	266	266
14026	318	318
14027	401	401
14028	307	307
14029	372	372
14030	252	252
14031	239	239
15003	40	40
15004	405	405
15005	321	321
15008	373	373
15009	456	456
15010	245	245
15011	296	296
15012	444	444
15013	312	312
15014	338	338
15015	356	356
15016	436	436
15019	354	354
16001	441	441
16002	79	79
16007	335	335
16011	367	367
16013	406	406
16017	297	297
16023	392	392
16032	441	441
16035	431	431
17001	228	228
17007	389	389
17012	518	518
17014	426	426
17016	365	365
17030	114	114
20020	0	0
22001	239	239
22002	434	434
22008	499	499
22012	344	344
22023	489	489
23003	302	302
23006	142	142
23012	22	22
23014	258	258
23017	179	179
23019	349	349
23020	18	18
23022	78	78
23024	212	212
23025	316	316
23026	159	159
23031	313	313
23037	103	103
25001	396	396
25002	465	465
25005	484	484
25006	121	121
25007	434	434
25008	530	530
25009	509	509
25011	497	497
25012	439	439
25013	511	511
25014	248	248
25015	409	409
25017	471	471
25018	247	247
25019	458	458
25022	475	475
25023	523	523
25024	489	489
25026	445	445
25027	33	33
25028	489	489
25030	456	456
25032	391	391
28019	2	2
