Precinct	total_votes	votes|Michael Scott, Jr.
24001	259	259
24002	257	257
24003	255	255
24004	244	244
24005	140	140
24006	258	258
24007	138	138
24008	114	114
24009	259	259
24010	145	145
24011	274	274
24012	157	157
24013	124	124
24014	222	222
24015	154	154
24016	271	271
24017	196	196
24018	299	299
24019	304	304
24020	191	191
24021	143	143
24022	343	343
24023	234	234
24024	312	312
24025	234	234
24026	332	332
24027	265	265
24028	196	196
24029	188	188
24030	142	142
24031	302	302
24032	139	139
24033	156	156
24034	205	205
24035	250	250
24036	324	324
24037	157	157
24038	187	187
24039	257	257
24040	235	235
24041	192	192
