Precinct	total_votes	votes|Donne E. Trotter
06001	350	350
06002	304	304
06003	321	321
06008	344	344
06013	247	247
06014	290	290
06016	327	327
06019	48	48
06029	343	343
06031	319	319
06034	327	327
06035	296	296
06036	341	341
06037	337	337
06038	336	336
06039	291	291
06041	346	346
06042	322	322
06043	260	260
06044	311	311
06045	351	351
06046	213	213
07026	279	279
07027	263	263
07028	148	148
07029	259	259
07030	134	134
07032	188	188
07036	372	372
07037	42	42
07038	263	263
07039	286	286
07040	265	265
07041	291	291
07042	275	275
07043	265	265
07044	275	275
07045	287	287
08003	361	361
08004	365	365
08005	356	356
08006	348	348
08007	389	389
08008	319	319
08010	399	399
08011	284	284
08012	297	297
08014	261	261
08015	307	307
08017	290	290
08018	293	293
08019	382	382
08022	282	282
08023	265	265
08024	200	200
08025	314	314
08026	138	138
08027	359	359
08029	381	381
08030	365	365
08031	254	254
08032	248	248
08033	292	292
08034	277	277
08035	337	337
08036	345	345
08037	279	279
08038	207	207
08039	340	340
08040	266	266
08041	315	315
08043	120	120
08044	224	224
08045	324	324
08046	261	261
08047	267	267
08048	310	310
08049	298	298
08050	342	342
08051	359	359
08052	416	416
08053	184	184
08054	147	147
08056	327	327
09001	34	34
09007	12	12
09008	304	304
09009	253	253
09012	323	323
09013	240	240
09023	340	340
09024	319	319
09025	285	285
09028	68	68
09031	28	28
09036	287	287
09037	308	308
09038	215	215
09042	333	333
09043	100	100
09046	294	294
09047	330	330
09048	330	330
09049	334	334
09050	388	388
09051	315	315
10002	183	183
10003	186	186
10005	151	151
10009	184	184
10013	278	278
10014	5	5
10015	561	561
10016	175	175
10017	250	250
10021	3	3
10023	5	5
10024	199	199
10027	7	7
10033	2	2
17021	311	311
21031	226	226
21053	104	104
