Precinct	total_votes	votes|Emil Jones Iii
09001	311	311
09002	282	282
09004	237	237
09005	285	285
09006	305	305
09009	65	65
09010	278	278
09013	85	85
09014	391	391
09017	246	246
09019	325	325
09020	342	342
09021	266	266
09022	321	321
09027	289	289
09029	247	247
09030	267	267
09031	189	189
09032	270	270
09034	259	259
09035	302	302
09038	82	82
09039	328	328
09040	337	337
09043	157	157
09044	52	52
19014	302	302
19020	273	273
19031	195	195
19040	269	269
19042	211	211
19043	418	418
19047	447	447
19048	379	379
19049	380	380
21002	136	136
21005	362	362
21006	270	270
21010	274	274
21011	278	278
21012	277	277
21017	241	241
21019	324	324
21020	80	80
21021	277	277
21022	176	176
21023	274	274
21024	277	277
21025	278	278
21027	309	309
21033	315	315
21034	130	130
21035	325	325
21036	248	248
21037	241	241
21038	314	314
21039	242	242
21040	263	263
21041	313	313
21042	181	181
21043	2	2
21044	196	196
21045	272	272
21046	304	304
21048	190	190
21049	324	324
21050	268	268
21052	36	36
34001	356	356
34002	271	271
34003	347	347
34004	273	273
34005	283	283
34006	376	376
34007	345	345
34008	271	271
34009	254	254
34010	316	316
34011	261	261
34012	358	358
34013	319	319
34014	256	256
34015	262	262
34016	254	254
34017	382	382
34018	247	247
34019	359	359
34020	380	380
34021	396	396
34022	305	305
34023	261	261
34024	325	325
34025	360	360
34026	333	333
34027	268	268
34028	253	253
34029	254	254
34030	324	324
34031	268	268
34032	319	319
34033	270	270
34034	355	355
34035	347	347
34036	305	305
34037	227	227
34038	181	181
34039	267	267
34040	361	361
34041	249	249
34042	321	321
34043	285	285
34044	315	315
34045	339	339
34046	221	221
34047	313	313
34048	332	332
34049	388	388
34050	267	267
34051	333	333
34052	266	266
34053	244	244
