Precinct	total_votes	votes|Frances Ann Hurley
19001	246	246
19002	376	376
19004	251	251
19006	234	234
19007	244	244
19008	241	241
19010	331	331
19011	216	216
19013	360	360
19015	254	254
19016	208	208
19017	221	221
19018	211	211
19019	339	339
19021	184	184
19022	254	254
19023	256	256
19024	10	10
19025	253	253
19026	237	237
19027	305	305
19028	347	347
19029	199	199
19030	191	191
19032	221	221
19033	175	175
19034	250	250
19035	247	247
19036	354	354
19037	311	311
19038	262	262
19039	120	120
19041	209	209
19044	266	266
19045	252	252
19046	252	252
19050	210	210
19051	328	328
19052	243	243
19053	223	223
19054	157	157
19056	72	72
19057	230	230
21001	271	271
21003	272	272
21008	253	253
21014	313	313
21016	239	239
21018	307	307
21022	78	78
21029	61	61
21032	243	243
21036	51	51
21042	115	115
21048	70	70
34049	5	5
