Precinct	total_votes	votes|Kelly M. Cassidy
40028	361	361
40037	16	16
48001	288	288
48002	149	149
48003	403	403
48005	173	173
48006	390	390
48007	333	333
48008	147	147
48009	194	194
48010	477	477
48011	282	282
48012	396	396
48013	372	372
48014	86	86
48015	207	207
48016	290	290
48018	256	256
48019	237	237
48020	147	147
48021	0	0
48022	271	271
48025	330	330
48026	153	153
48027	425	425
48028	317	317
48029	163	163
48030	318	318
48031	435	435
48032	352	352
48033	189	189
48034	283	283
48036	194	194
48037	335	335
48038	253	253
48039	245	245
48040	318	318
48041	416	416
48042	418	418
48043	349	349
48044	422	422
48045	299	299
48046	218	218
49001	233	233
49002	236	236
49003	369	369
49004	440	440
49005	334	334
49006	315	315
49007	358	358
49008	250	250
49009	351	351
49010	333	333
49011	412	412
49012	473	473
49013	390	390
49014	284	284
49015	258	258
49016	342	342
49017	227	227
49018	449	449
49019	295	295
49020	527	527
49021	205	205
49022	353	353
49023	454	454
49024	270	270
49025	488	488
49026	386	386
49027	397	397
49028	441	441
49029	436	436
49030	363	363
49031	265	265
49032	369	369
49033	321	321
50008	210	210
50028	12	12
Evanston Ward 8 Precinct 3	291	291
Evanston Ward 8 Precinct 5	443	443
