Precinct	total_votes	votes|Robert ''Bob'' Rita
09001	244	244
09002	324	324
09004	135	135
09005	371	371
09006	383	383
09009	98	98
09013	101	101
09014	499	499
09017	312	312
09019	375	375
09022	423	423
09029	372	372
09031	261	261
09032	404	404
09034	370	370
09035	395	395
09038	122	122
09039	436	436
09040	423	423
09043	215	215
09044	65	65
34002	155	155
34003	446	446
34004	350	350
34006	475	475
34009	344	344
34011	367	367
34014	345	345
34015	178	178
34016	355	355
34018	324	324
34020	303	303
34022	375	375
34023	334	334
34024	398	398
34026	457	457
34027	366	366
34028	321	321
34030	355	355
34031	314	314
34033	384	384
34036	368	368
34037	303	303
34038	239	239
34039	325	325
34041	296	296
34042	391	391
34050	392	392
34051	221	221
34053	316	316
Bremen 1	9	9
Bremen 11	526	526
Bremen 13	511	511
Bremen 16	428	428
Bremen 17	448	448
Bremen 19	177	177
Bremen 20	343	343
Bremen 23	228	228
Bremen 25	303	303
Bremen 27	519	519
Bremen 30	465	465
Bremen 36	289	289
Bremen 46	424	424
Bremen 50	476	476
Bremen 53	302	302
Bremen 54	354	354
Bremen 58	561	561
Bremen 59	119	119
Bremen 60	383	383
Bremen 64	447	447
Bremen 65	258	258
Bremen 72	280	280
Bremen 76	354	354
Bremen 79	429	429
Calumet 1	595	595
Calumet 2	129	129
Calumet 3	557	557
Calumet 4	533	533
Calumet 5	459	459
Calumet 6	420	420
Calumet 7	611	611
Calumet 8	409	409
Calumet 9	443	443
Calumet 10	600	600
Calumet 11	799	799
Calumet 12	412	412
Orland 6	300	300
Orland 12	8	8
Orland 13	602	602
Orland 17	334	334
Orland 19	329	329
Orland 23	360	360
Orland 24	393	393
Orland 27	307	307
Orland 30	277	277
Orland 34	496	496
Orland 41	408	408
Orland 46	55	55
Orland 49	360	360
Orland 50	407	407
Orland 52	420	420
Orland 62	482	482
Orland 74	309	309
Thornton 31	107	107
Worth 24	342	342
Worth 43	169	169
