Precinct	total_votes	votes|Leslie Geissler Munger	votes|Susana Mendoza	votes|Claire Ball	votes|Tim Curtin
06032	471	20	430	10	11
06033	485	30	431	15	9
06034	511	29	451	24	7
06035	434	24	392	6	12
06036	494	23	449	10	12
06037	462	35	401	16	10
06038	496	30	448	7	11
06039	463	22	418	13	10
06040	430	16	400	7	7
06041	489	34	435	9	11
06042	541	32	487	16	6
06043	443	23	399	15	6
06044	530	34	470	16	10
06045	544	35	481	16	12
06046	349	23	303	10	13
06047	404	17	369	7	11
06048	490	23	441	20	6
07001	479	29	433	4	13
07002	515	20	475	10	10
07003	450	34	393	17	6
07004	426	26	378	10	12
07005	422	23	370	13	16
07006	608	32	530	23	23
07007	523	24	475	7	17
07008	383	30	324	13	16
07009	763	49	671	27	16
07010	496	33	440	10	13
07011	570	24	501	22	23
07012	488	19	441	12	16
07013	302	17	264	11	10
07014	538	36	466	21	15
07015	472	36	408	19	9
07016	439	23	391	18	7
07017	420	26	369	14	11
07018	465	32	408	10	15
07019	450	27	397	14	12
07020	377	21	334	16	6
07021	405	24	356	18	7
07022	427	39	355	20	13
07023	438	18	400	11	9
07024	402	12	374	8	8
07025	465	34	408	15	8
07026	375	19	328	19	9
07027	395	21	354	11	9
07028	372	19	333	13	7
07029	399	35	348	10	6
07030	406	30	356	13	7
07031	318	14	288	10	6
07032	590	50	516	17	7
07033	532	38	480	10	4
07034	506	32	432	21	21
07035	476	26	414	18	18
07036	547	41	476	23	7
07037	485	29	440	10	6
07038	424	25	381	10	8
07039	416	22	366	15	13
07040	413	21	372	15	5
07041	446	29	390	9	18
07042	424	20	379	11	14
07043	440	14	406	13	7
07044	425	18	392	11	4
07045	518	34	461	8	15
07046	186	8	167	8	3
08001	405	21	354	18	12
08002	486	24	443	9	10
08003	474	32	415	11	16
08004	486	32	440	9	5
08005	481	36	425	7	13
08006	473	24	428	14	7
08007	528	31	468	18	11
08008	429	31	383	8	7
08009	323	24	286	7	6
08010	539	34	471	18	16
08011	435	31	378	11	15
08012	432	27	374	14	17
08013	538	23	492	11	12
08014	465	20	414	16	15
08015	481	19	440	10	12
08016	179	12	157	6	4
08017	385	25	349	5	6
08018	532	22	478	21	11
08019	489	24	440	13	12
08020	506	22	459	10	15
08021	636	19	584	21	12
08022	436	26	384	8	18
08023	431	12	393	13	13
08024	292	14	267	6	5
08025	497	34	439	12	12
08026	497	30	445	14	8
08027	499	39	445	8	7
08028	495	27	455	9	4
08029	556	40	493	14	9
08030	522	33	457	15	17
08031	377	24	336	10	7
08032	397	16	370	6	5
08033	457	23	408	15	11
08034	428	14	398	8	8
08035	488	37	431	12	8
08036	502	14	469	8	11
08037	373	32	320	11	10
08038	313	12	287	4	10
08039	487	21	446	10	10
