Precinct	total_votes	votes|Leslie Geissler Munger	votes|Susana Mendoza	votes|Claire Ball	votes|Tim Curtin
26030	325	26	265	18	16
26031	207	26	168	5	8
26032	513	114	345	33	21
26033	413	39	334	14	26
26034	465	39	377	17	32
26035	374	40	284	16	34
26036	428	61	324	16	27
26037	452	35	374	18	25
26038	242	16	210	3	13
26039	456	81	333	20	22
26040	278	20	232	14	12
26041	489	42	410	15	22
26042	328	38	258	11	21
26043	259	15	225	11	8
26044	253	23	213	11	6
26045	224	23	190	4	7
26046	302	76	199	11	16
26047	305	29	255	15	6
26048	403	56	294	26	27
26049	242	27	202	5	8
27001	730	231	441	36	22
27002	567	139	385	27	16
27003	315	18	287	7	3
27004	293	26	234	13	20
27005	379	20	338	14	7
27006	510	98	372	22	18
27007	716	117	523	36	40
27008	435	22	391	13	9
27009	277	101	162	10	4
27010	513	31	452	14	16
27011	610	217	361	22	10
27012	373	149	198	10	16
27013	577	59	477	19	22
27014	315	16	279	9	11
27015	357	11	329	7	10
27016	638	213	387	27	11
27017	526	49	436	24	17
27018	387	24	340	14	9
27019	338	26	291	12	9
27020	466	16	420	16	14
27021	547	180	336	20	11
27022	292	13	257	11	11
27023	385	7	364	10	4
27024	402	20	361	11	10
27025	464	45	369	32	18
27026	390	26	332	13	19
27027	634	66	539	18	11
27028	258	51	183	17	7
27029	396	16	346	15	19
27030	262	14	234	9	5
27031	412	21	361	11	19
27032	422	43	344	15	20
27033	532	118	379	20	15
27034	462	15	428	11	8
27035	577	197	335	28	17
27036	380	33	310	16	21
27037	582	149	399	18	16
27038	753	170	529	24	30
27039	334	23	291	12	8
27040	698	158	484	33	23
27041	443	25	396	9	13
27042	357	105	223	17	12
27043	413	19	368	13	13
27044	394	11	359	9	15
27045	993	322	607	40	24
27046	376	157	196	17	6
27047	367	44	304	11	8
27048	855	162	661	21	11
27049	374	25	330	11	8
27050	484	25	439	8	12
28001	417	20	371	15	11
28002	420	23	373	13	11
28003	388	18	354	7	9
28004	392	100	260	14	18
28005	223	18	190	8	7
28006	226	43	169	6	8
28007	498	15	472	8	3
28008	487	150	302	19	16
28009	436	24	388	16	8
28010	567	117	413	20	17
28011	874	101	703	29	41
28012	465	27	421	9	8
28013	417	20	373	10	14
28014	417	13	385	9	10
28015	150	9	133	8	0
28016	319	15	297	5	2
28017	411	15	374	12	10
28018	337	20	302	12	3
28019	403	53	313	23	14
28020	441	26	385	14	16
28021	370	22	325	13	10
28022	397	23	346	12	16
28023	581	30	536	6	9
28024	407	13	373	10	11
28025	543	27	484	13	19
28026	538	22	493	16	7
28027	461	137	292	17	15
28028	516	143	328	20	25
28029	246	15	212	13	6
28030	71	4	59	6	2
28031	571	34	512	15	10
28032	455	18	422	9	6
28033	536	24	485	11	16
28034	877	43	789	26	19
28035	535	20	491	12	12
28036	259	10	237	4	8
28037	601	25	553	12	11
28038	217	6	198	5	8
28039	363	17	334	5	7
28040	573	23	525	15	10
28041	354	13	325	9	7
28042	519	11	484	12	12
28043	585	18	540	15	12
28044	330	20	300	7	3
28045	509	152	322	26	9
28046	807	164	566	32	45
29001	618	132	447	25	14
29002	738	28	680	15	15
29003	613	35	546	13	19
29004	578	29	524	14	11
29005	486	25	431	13	17
29006	459	28	403	16	12
29007	479	68	381	10	20
29008	500	20	457	8	15
29009	550	144	374	16	16
29010	599	113	443	23	20
29011	322	17	284	12	9
29012	598	42	530	17	9
29013	569	32	508	20	9
29014	496	20	460	10	6
29015	581	36	516	21	8
29016	559	24	518	8	9
29017	490	15	454	13	8
29018	527	23	478	19	7
29019	566	28	519	10	9
29020	667	31	599	19	18
29021	697	31	637	13	16
29022	412	41	348	14	9
29023	540	150	348	20	22
29024	488	23	447	13	5
29025	576	24	530	15	7
29026	504	50	429	11	14
29027	456	23	412	12	9
29028	648	28	588	15	17
29029	515	192	283	20	20
29030	579	107	442	11	19
29031	501	191	274	19	17
29032	498	184	261	28	25
29033	352	19	317	12	4
29034	320	42	256	14	8
29035	398	16	353	13	16
29036	431	26	387	11	7
29037	477	29	424	14	10
29038	501	108	348	21	24
29039	466	123	313	15	15
29040	578	22	521	23	12
29041	452	26	412	7	7
29042	575	26	526	14	9
29043	590	82	467	17	24
29044	636	45	558	15	18
30001	561	110	414	19	18
30002	503	123	352	9	19
30003	382	67	276	14	25
30004	494	129	325	17	23
30005	414	60	321	21	12
30006	396	61	303	19	13
30007	535	111	369	21	34
30008	550	88	385	36	41
30009	428	101	291	18	18
30010	566	119	416	23	8
30011	476	49	398	12	17
30012	500	91	373	21	15
30013	450	94	318	21	17
30014	332	48	267	9	8
30015	412	117	246	20	29
30016	257	42	198	12	5
30017	500	121	339	17	23
30018	577	59	464	21	33
30019	499	57	406	14	22
30020	531	107	380	27	17
30021	382	90	268	9	15
30022	650	103	482	31	34
30023	570	92	432	24	22
30024	609	96	454	28	31
30025	658	113	468	35	42
30026	335	61	246	16	12
30027	332	60	247	13	12
30028	549	92	395	34	28
30029	343	50	277	10	6
30030	238	25	191	14	8
30031	329	72	232	13	12
30032	392	63	287	23	19
31001	337	35	284	14	4
31002	281	34	224	15	8
31003	340	60	254	9	17
31004	449	56	333	30	30
31005	360	62	270	12	16
31006	295	30	243	11	11
31007	528	49	422	27	30
31008	267	36	204	14	13
31009	387	57	310	13	7
31010	348	43	291	9	5
31011	315	63	231	12	9
31012	322	67	223	10	22
31013	374	35	312	13	14
31014	336	58	251	6	21
31015	298	61	216	17	4
31016	425	44	341	18	22
31017	331	71	237	11	12
31018	307	53	236	14	4
31019	301	46	239	7	9
31020	336	43	271	12	10
31021	345	48	270	15	12
31022	338	41	273	12	12
31023	334	56	254	8	16
31024	349	51	279	12	7
31025	333	74	238	14	7
31026	372	74	281	7	10
31027	368	64	280	13	11
31028	331	46	255	14	16
31029	342	51	266	14	11
31030	279	33	227	6	13
31031	329	71	241	8	9
31032	317	55	240	13	9
31033	335	71	240	8	16
31034	370	75	269	16	10
31035	371	65	283	15	8
31036	349	50	274	10	15
31037	322	42	253	15	12
31038	374	28	323	10	13
31039	377	39	305	16	17
31040	377	47	298	9	23
31041	335	33	277	13	12
32001	750	208	491	33	18
32002	716	246	423	30	17
32003	668	118	466	39	45
32004	608	182	378	23	25
32005	648	156	425	34	33
32006	708	195	454	34	25
32007	678	217	404	32	25
32008	770	285	427	32	26
32009	660	190	416	33	21
32010	675	235	395	33	12
32011	563	54	445	19	45
32012	451	55	337	20	39
32013	673	249	380	28	16
32014	641	109	471	36	25
32015	612	190	378	17	27
32016	618	156	407	33	22
32017	611	73	470	37	31
32018	593	264	300	22	7
32019	612	159	410	18	25
32020	615	64	477	27	47
32021	655	199	410	31	15
32022	808	118	612	30	48
32023	642	243	346	29	24
32024	532	219	275	29	9
32025	621	185	380	34	22
32026	645	109	488	26	22
32027	623	250	344	16	13
32028	610	77	474	28	31
32029	679	159	457	33	30
32030	648	278	334	24	12
32031	674	235	380	35	24
32032	631	187	385	34	25
32033	652	222	396	21	13
32034	681	185	441	32	23
32035	654	197	393	44	20
32036	667	214	408	19	26
32037	630	168	404	33	25
32038	628	190	394	25	19
32039	717	307	370	26	14
32040	674	212	413	26	23
32041	661	236	381	26	18
32042	576	176	357	26	17
32043	548	86	407	29	26
33001	655	95	502	25	33
33002	802	136	601	30	35
33003	721	112	528	28	53
33004	834	132	601	44	57
33005	574	104	412	24	34
33006	577	81	437	31	28
33007	691	108	518	34	31
33008	778	170	557	24	27
33009	723	160	496	35	32
33010	573	144	383	26	20
33011	693	140	488	30	35
33012	660	108	482	29	41
33013	617	86	474	29	28
33014	332	48	248	18	18
33015	700	99	534	34	33
33016	857	166	620	30	41
33017	714	142	514	20	38
33018	810	121	614	35	40
33019	684	157	460	32	35
33020	732	100	549	37	46
33021	680	105	506	35	34
33022	595	115	431	20	29
33023	681	125	489	30	37
33024	776	187	533	27	29
33025	774	139	564	25	46
33026	511	80	375	21	35
33027	691	113	512	32	34
33028	597	67	461	29	40
34001	494	26	448	13	7
34002	358	18	317	11	12
34003	531	21	470	22	18
34004	408	26	358	10	14
34005	428	21	387	10	10
34006	534	38	467	15	14
34007	512	21	465	17	9
34008	406	19	374	10	3
34009	435	27	391	13	4
34010	460	19	422	11	8
34011	428	21	386	16	5
34012	506	21	452	16	17
34013	496	15	452	11	18
34014	411	22	372	9	8
34015	472	20	426	15	11
34016	434	22	384	17	11
34017	597	28	533	24	12
34018	380	15	349	12	4
34019	601	27	543	17	14
34020	511	20	473	10	8
34021	518	26	466	16	10
34022	425	27	382	9	7
34023	391	14	361	11	5
34024	445	29	396	14	6
34025	504	24	454	15	11
34026	510	24	467	11	8
34027	431	29	387	8	7
34028	356	14	331	4	7
34029	397	17	361	8	11
34030	409	25	368	11	5
34031	420	20	376	13	11
34032	465	22	423	11	9
34033	451	19	414	12	6
34034	500	13	467	14	6
34035	529	29	476	13	11
34036	425	26	375	16	8
34037	348	14	317	10	7
34038	286	13	258	6	9
34039	370	11	338	16	5
34040	531	28	477	15	11
34041	349	16	319	9	5
34042	435	16	401	12	6
34043	411	16	373	13	9
34044	456	16	412	20	8
34045	481	29	430	12	10
34046	304	16	280	6	2
34047	496	20	454	9	13
34048	480	22	428	12	18
34049	566	35	509	10	12
34050	427	19	387	12	9
34051	488	30	432	17	9
34052	345	16	321	4	4
34053	363	13	327	13	10
35001	549	84	422	22	21
35002	535	92	397	15	31
35003	516	46	427	21	22
35004	527	98	382	18	29
35005	496	46	402	18	30
35006	510	80	374	22	34
35007	540	44	436	27	33
35008	564	53	456	20	35
35009	552	116	392	19	25
35010	705	67	561	32	45
35011	585	81	437	27	40
35012	381	34	320	13	14
35013	406	50	328	15	13
35014	432	46	342	20	24
35015	626	78	486	29	33
35016	377	33	320	13	11
35017	615	68	485	28	34
35018	424	40	355	11	18
35019	339	29	296	5	9
35020	514	68	396	21	29
35021	500	55	395	19	31
35022	628	95	473	21	39
35023	542	91	390	32	29
35024	502	80	369	32	21
35025	661	76	512	33	40
35026	471	92	330	24	25
35027	508	74	388	20	26
35028	519	84	377	25	33
35029	532	66	419	16	31
35030	555	80	423	29	23
35031	586	98	427	23	38
36001	526	99	408	9	10
36002	497	66	404	12	15
36003	434	62	343	15	14
36004	499	51	428	13	7
36005	471	63	378	13	17
36006	431	58	341	21	11
36007	546	216	286	19	25
36008	413	35	346	15	17
36009	455	45	386	15	9
36010	549	112	392	18	27
36011	401	45	323	14	19
36012	320	24	282	8	6
36013	340	33	292	6	9
36014	511	120	343	28	20
36015	521	142	338	15	26
36016	488	120	336	15	17
36017	496	138	323	14	21
36018	470	138	303	17	12
36019	594	112	435	18	29
36020	480	119	305	39	17
36021	458	45	392	10	11
36022	436	53	352	13	18
36023	444	48	377	12	7
36024	502	146	314	21	21
36025	491	53	406	20	12
36026	445	150	258	19	18
36027	467	97	331	19	20
36028	461	159	266	19	17
36029	522	152	330	21	19
36030	487	119	328	19	21
37001	388	23	337	12	16
37002	385	22	349	6	8
37003	394	15	357	13	9
37004	427	24	382	12	9
37005	482	31	431	12	8
37006	489	31	431	15	12
37007	340	20	305	9	6
37008	390	14	355	13	8
37009	533	28	487	9	9
37010	556	38	489	19	10
37011	399	19	357	10	13
37012	390	35	328	13	14
37013	378	16	342	15	5
37014	505	27	454	13	11
37015	508	20	461	14	13
37016	518	22	470	14	12
37017	446	12	407	13	14
37018	455	23	414	10	8
37019	431	16	394	13	8
37020	417	19	383	8	7
37021	444	38	383	13	10
37022	447	24	401	13	9
37023	466	24	417	14	11
37024	502	23	447	15	17
37025	450	17	410	10	13
37026	566	37	508	10	11
37027	497	33	445	9	10
37028	438	19	401	8	10
37029	480	25	425	21	9
37030	464	17	425	11	11
37031	503	34	450	12	7
37032	450	24	396	19	11
37033	564	33	505	13	13
37034	470	24	425	12	9
37035	492	15	457	16	4
37036	488	15	447	15	11
37037	564	18	508	15	23
37038	508	37	449	12	10
37039	470	23	419	20	8
37040	506	33	456	7	10
37041	459	29	411	11	8
38001	445	123	282	18	22
38002	522	317	192	5	8
38003	526	194	295	18	19
38004	478	179	256	22	21
38005	517	202	276	14	25
38006	525	189	304	13	19
38007	477	200	246	7	24
38008	479	163	273	22	21
38009	553	245	264	24	20
38010	462	156	262	17	27
38011	464	151	281	14	18
38012	498	258	210	21	9
38013	538	236	268	22	12
38014	531	180	318	12	21
38015	465	152	281	19	13
38016	514	196	273	22	23
38017	583	282	254	16	31
38018	516	215	254	22	25
38019	554	203	316	10	25
38020	517	216	250	33	18
38021	432	167	235	16	14
38022	470	149	266	27	28
38023	530	169	319	20	22
38024	545	231	281	17	16
38025	427	152	246	14	15
38026	508	194	266	18	30
38027	536	198	296	26	16
38028	597	284	278	17	18
38029	473	157	271	13	32
38030	493	221	241	14	17
38031	515	165	310	18	22
38032	484	151	281	27	25
38033	508	153	317	22	16
38034	490	122	312	30	26
38035	507	155	311	17	24
38036	452	137	282	19	14
38037	511	151	311	14	35
38038	453	175	227	26	25
38039	548	166	334	21	27
38040	503	184	277	18	24
38041	467	120	307	21	19
39001	502	237	229	18	18
39002	419	148	248	13	10
39003	551	154	358	18	21
39004	478	212	237	14	15
39005	539	174	324	19	22
39006	512	132	338	22	20
39007	443	115	295	14	19
39008	580	115	429	16	20
39009	522	144	332	16	30
39010	250	38	189	13	10
39011	484	131	313	22	18
39012	693	120	505	31	37
39013	478	144	293	17	24
39014	496	146	301	20	29
39015	587	302	253	15	17
39016	486	95	355	23	13
39017	531	164	317	25	25
39018	496	132	317	18	29
39019	508	153	302	28	25
39020	620	252	319	26	23
39021	494	229	232	13	20
39022	479	114	336	13	16
39023	525	230	243	25	27
39024	640	310	288	21	21
39025	459	90	321	15	33
39026	507	197	270	19	21
39027	91	43	44	2	2
39028	605	120	433	22	30
39029	294	36	226	13	19
39030	653	147	451	16	39
39031	477	96	345	20	16
39032	470	178	256	23	13
39033	627	154	423	21	29
39034	574	141	377	25	31
39035	508	133	344	13	18
39036	164	32	118	9	5
39037	504	255	227	8	14
39038	286	110	156	9	11
39039	331	125	185	7	14
39040	469	181	259	13	16
39041	563	240	282	15	26
39042	558	301	239	8	10
39043	550	237	275	22	16
39044	407	222	167	11	7
39045	474	227	216	16	15
40001	534	106	378	25	25
40002	538	103	388	16	31
40003	702	123	511	33	35
40004	329	62	241	11	15
40005	585	114	425	16	30
40006	680	103	500	24	53
40007	572	126	395	21	30
40008	702	116	520	27	39
40009	500	95	371	18	16
40010	641	129	471	15	26
40011	586	110	422	21	33
40012	469	110	316	24	19
40013	859	102	679	38	40
40014	514	125	349	15	25
40015	514	118	351	19	26
40016	711	131	518	26	36
40017	499	120	337	21	21
40018	523	58	429	20	16
40019	712	166	483	30	33
40020	581	100	436	17	28
40021	655	124	485	23	23
40022	570	82	441	23	24
40023	650	109	494	23	24
40024	532	128	354	22	28
40025	689	99	535	26	29
40026	569	87	447	15	20
40027	754	107	577	31	39
40028	638	68	519	16	35
40029	551	142	362	18	29
40030	494	162	304	11	17
40031	647	110	495	11	31
40032	632	111	464	30	27
40033	569	105	418	22	24
40034	509	128	344	15	22
40035	444	77	317	30	20
40036	536	89	408	20	19
40037	611	102	463	13	33
40038	708	140	506	23	39
40039	205	20	171	3	11
41001	500	255	207	23	15
41002	556	286	232	18	20
41003	493	191	265	20	17
41004	539	272	232	18	17
41005	620	296	275	28	21
41006	613	356	233	12	12
41007	597	303	250	24	20
41008	536	260	242	20	14
41009	553	252	260	17	24
41010	566	301	240	14	11
41011	604	293	275	15	21
41012	556	229	289	18	20
41013	646	326	277	17	26
41014	617	313	266	20	18
41015	674	318	307	24	25
41016	528	241	260	16	11
41017	544	271	242	17	14
41018	490	245	218	14	13
41019	600	333	226	18	23
41020	424	200	201	13	10
41021	511	226	251	19	15
41022	564	283	248	17	16
41023	585	348	212	10	15
41024	503	265	201	20	17
41025	529	176	301	27	25
41026	521	242	241	27	11
41027	500	223	238	17	22
41028	633	205	370	37	21
41029	483	175	279	11	18
41030	545	242	250	30	23
41031	570	268	269	16	17
41032	457	222	205	16	14
41033	525	259	238	15	13
41034	460	210	222	19	9
41035	617	314	263	18	22
41036	535	260	244	14	17
41037	585	278	275	15	17
41038	498	232	242	12	12
41039	586	292	261	15	18
41040	592	332	224	19	17
41041	552	283	239	10	20
41042	556	284	229	30	13
41043	587	286	272	12	17
41044	568	329	212	16	11
41045	527	224	261	24	18
41046	542	274	229	16	23
41047	545	237	272	15	21
42001	608	277	318	9	4
42002	754	277	433	26	18
42003	713	232	432	27	22
42004	1214	480	671	39	24
42005	548	215	306	23	4
42006	639	229	368	19	23
42007	782	352	400	17	13
42008	600	214	354	16	16
42009	751	206	474	43	28
42010	853	286	508	34	25
42011	463	241	208	10	4
42012	553	243	289	16	5
42013	549	236	282	22	9
42014	850	386	420	32	12
42015	604	279	295	19	11
42016	700	235	393	42	30
42017	961	416	499	36	10
42018	868	343	484	33	8
42019	854	393	421	28	12
42020	739	317	382	26	14
42021	696	256	409	23	8
42022	388	183	184	16	5
42023	734	350	352	23	9
42024	674	283	363	18	10
42025	746	313	384	25	24
42026	809	316	442	33	18
42027	479	164	275	23	17
42028	763	299	427	22	15
42029	733	308	382	27	16
42030	555	288	248	11	8
42031	864	346	466	34	18
42032	737	351	346	29	11
42033	751	201	485	41	24
42034	601	316	276	6	3
42035	914	297	562	39	16
42036	1107	411	628	52	16
42037	521	226	280	11	4
42038	644	247	350	28	19
42039	783	300	451	24	8
42040	929	330	547	36	16
42041	704	232	425	32	15
42042	1073	324	675	54	20
43001	357	118	221	10	8
43002	672	279	358	23	12
43003	645	289	330	17	9
43004	881	382	462	25	12
43005	595	267	296	29	3
43006	506	199	282	21	4
43007	425	157	240	15	13
43008	524	198	303	15	8
43009	682	290	360	19	13
43010	764	331	405	16	12
43011	637	308	297	22	10
43012	462	168	266	20	8
43013	641	190	410	25	16
43014	632	270	320	27	15
43015	724	295	391	17	21
43016	775	283	436	31	25
43017	552	262	264	18	8
43018	729	330	368	17	14
43019	716	279	390	32	15
43020	708	260	406	28	14
43021	684	267	375	23	19
43022	471	166	271	19	15
43023	471	162	284	15	10
43024	541	208	298	17	18
43025	518	168	325	18	7
43026	420	154	243	7	16
43027	631	252	340	20	19
43028	821	299	482	23	17
43029	665	259	374	22	10
43030	828	288	493	22	25
43031	644	223	386	20	15
43032	730	260	424	29	17
43033	675	328	328	9	10
43034	471	181	262	23	5
43035	745	353	364	20	8
43036	392	143	221	23	5
43037	777	217	495	40	25
43038	564	289	248	15	12
43039	728	236	448	21	23
43040	512	163	306	22	21
43041	850	310	489	22	29
43042	625	193	388	38	6
43043	689	340	323	15	11
43044	630	262	332	24	12
43045	393	163	223	5	2
43046	384	149	213	15	7
44001	1082	274	729	42	37
44002	695	222	433	22	18
44003	422	150	264	3	5
44004	639	174	433	23	9
44005	753	186	532	15	20
44006	873	210	603	30	30
44007	493	205	255	19	14
44008	894	253	577	33	31
44009	652	231	374	29	18
44010	699	242	405	28	24
44011	755	255	438	39	23
44012	742	201	506	19	16
44013	600	240	328	20	12
44014	647	183	426	24	14
44015	638	167	425	24	22
44016	765	257	459	32	17
44017	880	208	615	32	25
44018	703	223	439	23	18
44019	815	205	552	35	23
44020	719	185	475	34	25
44021	811	197	550	40	24
44022	725	224	460	27	14
44023	700	161	487	31	21
44024	508	164	321	14	9
44025	701	227	425	32	17
44026	783	197	530	33	23
44027	780	235	494	29	22
44028	703	152	487	31	33
44029	794	268	473	42	11
44030	792	277	488	22	5
44031	628	176	396	37	19
44032	812	255	500	34	23
44033	705	119	554	22	10
44034	726	170	502	25	29
44035	802	263	492	31	16
44036	726	197	488	21	20
44037	755	189	517	24	25
44038	713	243	407	41	22
44039	705	260	400	29	16
44040	687	276	365	25	21
44041	894	215	609	45	25
45001	442	82	309	25	26
45002	451	84	321	25	21
45003	482	128	313	23	18
45004	629	173	404	27	25
45005	516	154	322	17	23
45006	637	188	396	23	30
45007	736	224	464	22	26
45008	534	128	356	24	26
45009	552	145	358	25	24
45010	564	164	353	18	29
45011	418	84	296	29	9
45012	510	131	324	27	28
45013	447	138	262	26	21
45014	686	180	447	16	43
45015	626	172	396	24	34
45016	445	145	262	16	22
45017	584	205	317	29	33
45018	567	208	319	19	21
45019	301	78	194	9	20
45020	401	115	233	31	22
45021	470	177	254	22	17
45022	500	177	285	18	20
45023	511	200	271	26	14
45024	414	158	218	22	16
45025	338	140	167	11	20
45026	296	144	132	12	8
45027	491	189	268	16	18
45028	441	162	243	16	20
45029	345	120	190	18	17
45030	502	138	325	18	21
45031	419	131	253	15	20
45032	447	132	280	23	12
45033	349	102	220	11	16
45034	542	155	336	24	27
45035	523	196	300	11	16
45036	520	195	283	19	23
45037	488	165	292	13	18
45038	449	138	281	15	15
45039	510	174	306	13	17
45040	511	193	272	20	26
45041	495	193	262	22	18
45042	500	196	257	22	25
45043	529	240	248	23	18
45044	517	224	251	25	17
45045	358	169	154	20	15
45046	422	177	204	26	15
45047	393	169	202	10	12
45048	434	216	191	19	8
46001	483	90	345	25	23
46002	547	77	411	28	31
46003	753	188	517	27	21
46004	582	84	445	18	35
46005	794	201	531	35	27
46006	579	59	473	19	28
46007	679	182	455	24	18
46008	469	58	367	24	20
46009	678	119	476	37	46
46010	1046	242	728	45	31
46011	641	166	436	19	20
46012	675	96	520	31	28
46013	632	153	429	27	23
46014	719	71	605	21	22
46015	682	160	465	35	22
46016	697	104	520	38	35
46017	706	160	489	34	23
46018	704	164	497	27	16
46019	438	109	293	21	15
46020	531	77	412	15	27
46021	462	85	325	26	26
46022	493	80	354	28	31
46023	476	64	369	13	30
46024	691	158	490	30	13
46025	610	92	450	31	37
46026	637	79	500	34	24
46027	796	156	570	41	29
46028	621	176	414	20	11
46029	558	116	405	12	25
46030	672	89	539	21	23
46031	682	133	495	27	27
46032	633	82	510	21	20
46033	735	190	499	29	17
46034	745	121	551	46	27
46035	770	119	598	27	26
46036	609	160	405	27	17
46037	451	50	378	10	13
46038	690	125	533	20	12
46039	619	143	434	21	21
46040	539	95	387	21	36
47001	414	118	269	19	8
47002	642	210	382	23	27
47003	617	175	395	26	21
47004	660	208	417	15	20
47005	688	136	491	30	31
47006	742	209	481	39	13
47007	591	153	396	14	28
47008	657	190	404	26	37
47009	586	176	354	30	26
47010	798	129	604	37	28
47011	656	192	415	33	16
47012	680	175	452	21	32
47013	586	110	437	15	24
47014	574	165	371	19	19
47015	758	98	581	29	50
47016	610	143	423	21	23
47017	611	172	390	19	30
47018	662	160	454	23	25
47019	799	95	640	26	38
47020	596	138	403	25	30
47021	582	120	414	26	22
47022	701	160	491	26	24
47023	670	79	531	21	39
47024	669	166	457	25	21
47025	738	178	500	36	24
47026	865	154	636	43	32
47027	585	162	368	38	17
47028	597	136	413	26	22
47029	672	171	448	22	31
47030	785	128	577	36	44
47031	626	126	442	32	26
47032	744	140	548	27	29
47033	649	190	414	21	24
47034	671	156	464	27	24
47035	643	174	415	26	28
47036	734	139	523	40	32
47037	690	151	490	23	26
47038	642	141	449	18	34
47039	645	148	443	23	31
47040	613	133	436	21	23
47041	734	157	516	30	31
47042	628	93	470	24	41
47043	643	185	410	25	23
47044	641	179	424	24	14
47045	613	132	417	33	31
47046	578	197	344	16	21
47047	776	237	471	31	37
47048	62	13	43	2	4
48001	557	84	431	12	30
48002	287	77	190	7	13
48003	732	85	584	35	28
48004	595	70	479	23	23
48005	324	67	228	9	20
48006	767	118	591	26	32
48007	614	70	489	23	32
48008	339	90	225	10	14
48009	436	114	290	13	19
48010	818	121	635	25	37
48011	482	90	360	16	16
48012	704	103	552	17	32
48013	759	166	538	22	33
48014	342	93	229	11	9
48015	423	80	311	14	18
48016	639	73	506	23	37
48017	568	86	436	25	21
48018	432	55	337	15	25
48019	400	79	285	16	20
48020	663	100	497	25	41
48021	785	103	625	33	24
48022	504	133	335	14	22
48023	670	185	452	19	14
48024	733	192	475	30	36
48025	530	102	389	11	28
48026	342	65	248	11	18
48027	1184	195	877	56	56
48028	758	190	515	28	25
48029	278	61	196	9	12
48030	520	76	411	11	22
48031	898	105	701	44	48
48032	672	70	538	31	33
48033	342	95	230	4	13
48034	534	84	400	19	31
48035	383	72	276	14	21
48036	357	80	253	12	12
48037	637	86	502	18	31
48038	594	121	424	27	22
48039	491	122	342	15	12
48040	529	86	391	26	26
48041	778	87	615	34	42
48042	717	81	587	16	33
48043	630	104	458	27	41
48044	726	104	564	30	28
48045	465	75	356	11	23
48046	396	78	286	14	18
49001	458	41	386	13	18
49002	411	51	323	8	29
49003	670	68	546	19	37
49004	770	89	615	18	48
49005	600	66	488	18	28
49006	589	78	462	18	31
49007	676	127	490	27	32
49008	530	81	412	17	20
49009	654	95	501	25	33
49010	600	81	467	27	25
49011	734	78	597	25	34
49012	884	119	679	23	63
49013	747	109	588	22	28
49014	517	76	388	18	35
49015	505	51	403	23	28
49016	582	98	429	20	35
49017	417	89	286	21	21
49018	791	86	616	28	61
49019	593	42	499	13	39
49020	908	97	722	33	56
49021	396	60	309	17	10
49022	631	74	505	26	26
49023	739	79	585	28	47
49024	562	63	455	21	23
49025	837	108	627	43	59
49026	725	127	535	24	39
49027	765	94	609	20	42
49028	827	89	659	28	51
49029	725	71	575	23	56
49030	713	106	532	32	43
49031	515	73	408	18	16
49032	658	79	530	22	27
49033	546	50	452	19	25
50001	469	223	217	11	18
50002	324	135	173	8	8
50003	410	186	198	14	12
50004	527	136	356	15	20
50005	356	186	154	4	12
50006	543	137	370	16	20
50007	564	131	398	14	21
50008	535	72	424	18	21
50009	400	92	282	13	13
50010	537	178	325	11	23
50011	345	217	112	11	5
50012	224	89	119	8	8
50013	619	87	477	21	34
50014	169	89	70	4	6
50015	531	129	352	20	30
50016	168	67	91	6	4
50017	479	128	328	13	10
50018	97	58	39	0	0
50019	353	59	266	14	14
50020	532	113	366	17	36
50021	440	116	302	8	14
50022	454	172	247	14	21
50023	342	90	228	10	14
50024	414	224	169	13	8
50025	441	220	195	9	17
50026	588	128	424	10	26
50027	153	57	89	3	4
50028	552	70	442	16	24
50029	543	55	451	14	23
50030	383	63	297	5	18
50031	623	81	488	31	23
50032	630	71	506	22	31
50033	388	223	151	6	8
50034	628	191	401	19	17
50035	614	120	448	13	33
50036	439	110	299	8	22
50037	501	96	360	18	27
50038	201	71	111	4	15
50039	381	112	251	11	7
50040	480	289	171	6	14
Barrington 1	694	465	185	24	20
Barrington 2	672	356	285	20	11
Barrington 3	829	627	176	13	13
Barrington 4	1052	719	296	26	11
Barrington 5	773	595	157	12	9
Barrington 6	883	544	302	22	15
Barrington 7	260	185	59	14	2
Barrington 8	1107	751	321	21	14
Barrington 9	535	353	159	13	10
Barrington 10	1019	568	390	39	22
Barrington 11	593	422	151	13	7
Berwyn Ward 1 Precinct 1	436	131	271	15	19
Berwyn Ward 1 Precinct 2	541	131	362	24	24
Berwyn Ward 1 Precinct 3	756	202	502	29	23
Berwyn Ward 1 Precinct 4	447	122	281	17	27
Berwyn Ward 1 Precinct 5	448	124	285	16	23
Berwyn Ward 2 Precinct 1	338	80	217	14	27
Berwyn Ward 2 Precinct 2	568	129	406	16	17
Berwyn Ward 2 Precinct 3	728	192	479	28	29
Berwyn Ward 2 Precinct 4	958	229	646	38	45
Berwyn Ward 3 Precinct 1	598	149	400	26	23
Berwyn Ward 3 Precinct 2	416	135	256	11	14
Berwyn Ward 3 Precinct 3	459	135	291	19	14
Berwyn Ward 3 Precinct 4	608	154	410	21	23
Berwyn Ward 3 Precinct 5	733	218	434	40	41
Berwyn Ward 4 Precinct 1	393	98	269	16	10
Berwyn Ward 4 Precinct 2	634	149	438	22	25
Berwyn Ward 4 Precinct 3	784	148	566	43	27
Berwyn Ward 4 Precinct 4	407	86	281	21	19
Berwyn Ward 5 Precinct 1	921	136	716	28	41
