Precinct	total_votes	votes|Carrie M. Austin
34001	348	348
34002	230	230
34003	310	310
34004	225	225
34005	263	263
34006	366	366
34007	327	327
34008	266	266
34009	233	233
34010	287	287
34011	237	237
34012	325	325
34013	286	286
34014	234	234
34015	244	244
34016	237	237
34017	358	358
34018	214	214
34019	325	325
34020	335	335
34021	394	394
34022	276	276
34023	225	225
34024	292	292
34025	323	323
34026	329	329
34027	233	233
34028	224	224
34029	230	230
34030	280	280
34031	252	252
34032	300	300
34033	236	236
34034	338	338
34035	327	327
34036	261	261
34037	194	194
34038	167	167
34039	229	229
34040	317	317
34041	212	212
34042	274	274
34043	272	272
34044	323	323
34045	327	327
34046	200	200
34047	276	276
34048	322	322
34049	372	372
34050	245	245
34051	314	314
34052	250	250
34053	226	226
