Precinct	total_votes	votes|Michael Cabonargi
01001	282	282
01002	294	294
01003	276	276
01004	237	237
01005	241	241
01006	246	246
01007	198	198
01008	199	199
01009	225	225
01010	229	229
01011	245	245
01012	269	269
01013	117	117
01014	240	240
01015	239	239
01016	245	245
01017	275	275
01018	278	278
01019	348	348
01020	214	214
01021	237	237
01022	188	188
01023	402	402
01024	250	250
01025	260	260
01026	226	226
01027	258	258
01028	81	81
01029	237	237
01030	283	283
01031	277	277
01032	243	243
01033	247	247
01034	228	228
01035	265	265
01036	212	212
01037	245	245
01038	237	237
01039	218	218
01040	241	241
01041	172	172
01042	83	83
01043	186	186
01044	237	237
02001	236	236
02002	132	132
02003	244	244
02004	219	219
02005	269	269
02006	274	274
02007	207	207
02008	242	242
02009	135	135
02010	110	110
02011	149	149
02012	232	232
02013	184	184
02014	265	265
02015	222	222
02016	212	212
02017	284	284
02018	185	185
02019	105	105
02020	185	185
02021	247	247
02022	196	196
02023	110	110
02024	174	174
02025	226	226
02026	185	185
02027	162	162
02028	203	203
02029	188	188
02030	165	165
02031	230	230
02032	147	147
02033	280	280
02034	150	150
02035	177	177
02036	148	148
02037	196	196
02038	153	153
02039	123	123
02040	172	172
02041	135	135
02042	201	201
02043	209	209
02044	114	114
02045	228	228
02046	106	106
11001	241	241
11002	34	34
11003	226	226
11004	232	232
11005	327	327
11006	283	283
11007	204	204
11008	259	259
11009	225	225
11010	208	208
11011	244	244
11012	315	315
11013	269	269
11014	103	103
11015	92	92
11016	153	153
11017	312	312
11018	214	214
11019	337	337
11020	174	174
11021	339	339
11022	305	305
11023	147	147
11024	318	318
11025	292	292
11026	286	286
11027	93	93
11029	258	258
11030	119	119
11031	220	220
11032	120	120
11033	232	232
11034	68	68
11035	47	47
11036	101	101
11037	68	68
11038	127	127
12001	269	269
12002	224	224
12003	325	325
12004	297	297
12005	240	240
12006	248	248
12007	253	253
12008	299	299
12009	223	223
12010	321	321
12011	296	296
12012	262	262
12013	275	275
12014	275	275
12015	210	210
12016	250	250
12017	299	299
12018	243	243
12019	264	264
12020	334	334
12021	269	269
12022	294	294
12023	263	263
13001	206	206
13003	191	191
13007	209	209
13008	185	185
13012	231	231
13014	237	237
13015	444	444
13016	197	197
13017	224	224
13023	203	203
13024	238	238
13025	267	267
13026	118	118
13040	215	215
14003	326	326
14005	400	400
14006	156	156
14007	294	294
14008	286	286
14009	278	278
14010	196	196
14011	212	212
14012	241	241
14013	239	239
14014	292	292
14015	357	357
14016	216	216
14017	232	232
14018	95	95
14019	328	328
14020	189	189
14021	251	251
14022	289	289
14023	185	185
14024	137	137
14025	184	184
14026	203	203
14027	251	251
14028	190	190
14029	237	237
14030	165	165
14031	180	180
15001	235	235
15004	253	253
15005	285	285
15006	256	256
15008	248	248
15009	333	333
15010	346	346
15011	343	343
15012	319	319
15013	18	18
15019	0	0
16001	280	280
16013	241	241
16017	194	194
16018	213	213
16019	165	165
16022	104	104
16023	16	16
16032	247	247
16035	251	251
17006	126	126
17007	274	274
17012	115	115
17014	272	272
17016	66	66
22001	123	123
22002	264	264
22007	181	181
22008	292	292
22009	220	220
22010	195	195
22011	191	191
22012	208	208
22013	0	0
22014	123	123
22015	233	233
22018	226	226
22019	2	2
22022	235	235
22023	85	85
22025	248	248
23004	256	256
23005	274	274
23006	274	274
23007	248	248
23008	290	290
23009	238	238
23010	317	317
23013	230	230
23015	237	237
23017	183	183
23019	237	237
23020	189	189
23022	90	90
23024	228	228
23025	226	226
23026	238	238
23029	184	184
23030	308	308
23031	148	148
23032	251	251
23033	281	281
23034	252	252
23038	191	191
23039	246	246
24007	133	133
24016	273	273
25001	264	264
25002	287	287
25004	18	18
25005	284	284
25006	66	66
25007	281	281
25008	331	331
25009	319	319
25011	318	318
25012	259	259
25013	292	292
25014	145	145
25015	274	274
25017	272	272
25018	120	120
25019	269	269
25021	0	0
25022	298	298
25023	340	340
25024	299	299
25026	312	312
25027	216	216
25028	320	320
25029	108	108
25030	298	298
25032	248	248
26001	192	192
26002	177	177
26003	204	204
26005	203	203
26006	211	211
26007	191	191
26008	117	117
26009	184	184
26010	212	212
26011	215	215
26012	203	203
26013	147	147
26014	176	176
26015	118	118
26016	135	135
26017	139	139
26018	197	197
26020	185	185
26021	252	252
26022	130	130
26023	149	149
26024	172	172
26025	147	147
26026	128	128
26027	213	213
26028	200	200
26029	123	123
26030	169	169
26031	98	98
26032	214	214
26033	194	194
26034	214	214
26035	143	143
26036	194	194
26037	230	230
26038	108	108
26039	194	194
26040	135	135
26041	213	213
26042	156	156
26043	117	117
26044	133	133
26045	46	46
26046	116	116
26047	142	142
26048	197	197
26049	138	138
27001	173	173
27005	10	10
27006	168	168
27007	283	283
27009	69	69
27011	154	154
27012	120	120
27013	341	341
27016	6	6
27020	231	231
27021	148	148
27027	24	24
27028	111	111
27033	40	40
27035	167	167
27037	196	196
27038	306	306
27040	241	241
27042	125	125
27043	28	28
27045	244	244
27046	103	103
27047	160	160
27048	236	236
28019	181	181
28046	337	337
29001	304	304
29007	247	247
29009	265	265
29010	320	320
29023	248	248
29029	199	199
29030	290	290
29031	169	169
29032	189	189
29038	206	206
29039	217	217
29043	300	300
30001	278	278
30002	226	226
30003	186	186
30004	236	236
30005	172	172
30007	255	255
30008	275	275
30009	208	208
30010	243	243
30012	199	199
30013	205	205
30014	193	193
30015	207	207
30016	124	124
30017	241	241
30018	273	273
30019	272	272
30020	232	232
30021	152	152
30022	325	325
30023	295	295
30024	237	237
30025	279	279
30026	123	123
30027	151	151
30028	262	262
30029	147	147
30030	101	101
30031	149	149
30032	178	178
31001	146	146
31002	141	141
31003	164	164
31004	240	240
31005	176	176
31006	132	132
31007	274	274
31008	117	117
31009	206	206
31010	152	152
31011	135	135
31012	150	150
31013	194	194
31014	149	149
31015	123	123
31016	202	202
31017	147	147
31018	155	155
31019	144	144
31020	157	157
31021	178	178
31022	143	143
31023	148	148
31024	194	194
31025	145	145
31026	176	176
31027	145	145
31028	167	167
31029	179	179
31030	140	140
31031	161	161
31032	152	152
31033	139	139
31034	146	146
31035	184	184
31036	165	165
31037	147	147
31038	175	175
31039	182	182
31040	184	184
31041	160	160
32001	274	274
32002	199	199
32003	341	341
32004	227	227
32005	208	208
32006	216	216
32007	202	202
32008	228	228
32009	254	254
32010	185	185
32011	292	292
32012	228	228
32013	217	217
32014	304	304
32015	202	202
32016	237	237
32017	289	289
32018	167	167
32019	235	235
32020	315	315
32021	242	242
32022	371	371
32023	205	205
32024	128	128
32025	218	218
32026	314	314
32027	174	174
32028	293	293
32029	289	289
32030	138	138
32031	235	235
32032	223	223
32033	191	191
32034	231	231
32035	194	194
32036	223	223
32037	209	209
32038	200	200
32039	163	163
32040	243	243
32041	226	226
32042	217	217
32043	281	281
33001	312	312
33002	338	338
33003	371	371
33004	384	384
33005	243	243
33006	299	299
33007	309	309
33008	367	367
33009	302	302
33010	263	263
33011	338	338
33012	331	331
33013	348	348
33014	153	153
33015	373	373
33016	458	458
33017	341	341
33018	365	365
33019	315	315
33020	365	365
33021	348	348
33022	337	337
33023	307	307
33024	371	371
33025	353	353
33026	263	263
33027	271	271
