Precinct	total_votes	votes|Donald J. Trump & Michael R. Pence	votes|Hillary R. Clinton & Timothy M. Kaine	votes|Gary Johnson & Bill Weld	votes|Jill Stein & Ajamu Baraka
06029	501	7	482	3	9
06030	490	10	469	4	7
06031	480	7	465	2	6
06032	478	7	462	0	9
06033	503	15	479	2	7
06034	528	8	517	1	2
06035	452	5	445	0	2
06036	516	9	503	3	1
06037	472	19	442	2	9
06038	498	9	482	1	6
06039	489	6	474	4	5
06040	440	8	427	3	2
06041	496	7	484	3	2
06042	552	9	538	0	5
06043	452	6	438	4	4
06044	559	9	538	4	8
06045	558	11	538	1	8
06046	355	5	346	2	2
06047	421	11	408	1	1
06048	511	9	496	3	3
07001	492	10	474	4	4
07002	532	11	512	5	4
07003	453	9	437	4	3
07004	446	11	428	2	5
07005	431	8	411	2	10
07006	620	17	578	7	18
07007	534	11	518	2	3
07008	402	18	373	3	8
07009	781	22	749	4	6
07010	503	8	492	0	3
07011	592	6	574	3	9
07012	512	7	496	1	8
07013	323	9	309	1	4
07014	547	14	521	4	8
07015	472	8	453	3	8
07016	448	10	430	2	6
07017	433	9	421	1	2
07018	475	11	461	1	2
07019	463	9	448	3	3
07020	386	9	369	4	4
07021	424	17	403	1	3
07022	443	16	419	5	3
07023	452	7	440	1	4
07024	429	6	420	0	3
07025	475	19	442	5	9
07026	377	7	366	2	2
07027	404	7	391	3	3
07028	379	12	356	6	5
07029	404	9	386	1	8
07030	421	14	400	5	2
07031	327	9	308	6	4
07032	594	20	569	2	3
07033	540	9	525	1	5
07034	522	9	497	4	12
07035	485	13	464	2	6
07036	551	17	524	3	7
07037	495	12	474	1	8
07038	442	7	433	0	2
07039	417	7	406	2	2
07040	425	8	409	5	3
07041	462	7	443	5	7
07042	439	5	426	3	5
07043	461	8	450	1	2
07044	440	7	427	0	6
07045	531	5	523	1	2
07046	195	6	188	0	1
08001	419	7	403	5	4
08002	507	10	484	6	7
08003	485	6	474	1	4
08004	502	6	486	2	8
08005	489	10	469	3	7
08006	484	5	474	4	1
08007	554	7	539	2	6
08008	438	5	422	1	10
08009	330	5	315	3	7
08010	554	12	535	1	6
08011	442	10	423	1	8
08012	443	11	426	2	4
08013	576	12	553	3	8
08014	479	7	460	4	8
08015	499	6	485	3	5
08016	186	5	177	1	3
08017	386	10	371	2	3
08018	559	6	548	3	2
08019	497	11	479	2	5
08020	508	8	490	3	7
08021	647	6	633	5	3
08022	447	10	431	3	3
08023	444	8	428	3	5
08024	295	3	288	1	3
08025	508	2	500	2	4
08026	514	7	502	2	3
08027	503	15	479	5	4
08028	502	10	488	3	1
08029	568	7	552	2	7
08030	541	12	518	6	5
08031	382	12	365	2	3
08032	403	5	397	0	1
08033	487	8	473	2	4
08034	435	4	424	4	3
