Precinct	total_votes	votes|Donald J. Trump & Michael R. Pence	votes|Hillary R. Clinton & Timothy M. Kaine	votes|Gary Johnson & Bill Weld	votes|Jill Stein & Ajamu Baraka
26001	470	25	416	10	19
26002	409	31	360	7	11
26003	510	54	423	20	13
26004	363	15	343	3	2
26005	400	20	360	8	12
26006	360	26	319	8	7
26007	414	16	377	15	6
26008	237	25	198	4	10
26009	392	27	342	7	16
26010	404	31	360	7	6
26011	405	35	356	8	6
26012	469	34	406	5	24
26013	290	16	261	6	7
26014	338	20	304	4	10
26015	283	31	244	7	1
26016	264	29	231	1	3
26017	366	84	265	12	5
26018	348	28	300	9	11
26019	327	14	307	1	5
26020	396	31	348	6	11
26021	546	34	493	5	14
26022	293	14	268	6	5
26023	286	21	252	6	7
26024	417	32	366	7	12
26025	401	22	360	8	11
26026	327	22	291	4	10
26027	468	38	409	10	11
26028	560	74	456	15	15
26029	257	27	219	4	7
26030	329	14	299	8	8
26031	223	23	190	3	7
26032	527	54	440	26	7
26033	425	20	384	10	11
26034	487	25	427	15	20
26035	400	30	348	7	15
26036	434	39	365	15	15
26037	480	20	437	9	14
26038	253	18	226	2	7
26039	466	41	395	16	14
26040	293	10	271	4	8
26041	513	31	456	7	19
26042	337	28	293	5	11
26043	276	16	254	5	1
26044	268	22	238	3	5
26045	234	17	210	3	4
26046	316	64	239	7	6
26047	315	27	277	5	6
26048	422	37	353	15	17
26049	289	21	262	2	4
27001	765	120	588	45	12
27002	607	63	517	21	6
27003	331	11	317	1	2
27004	297	10	270	5	12
27005	389	14	371	0	4
27006	552	56	472	16	8
27007	736	51	639	27	19
27008	460	8	444	2	6
27009	286	55	217	12	2
27010	541	23	507	3	8
27011	637	118	479	32	8
27012	395	59	314	17	5
27013	670	30	623	9	8
27014	322	7	310	2	3
27015	378	8	367	2	1
27016	665	98	524	32	11
27017	537	19	505	6	7
27018	408	12	380	9	7
27019	341	17	317	2	5
27020	498	2	488	2	6
27021	560	91	436	31	2
27022	310	11	293	2	4
27023	399	7	386	2	4
27024	419	9	399	1	10
27025	486	32	435	12	7
27026	398	15	375	2	6
27027	661	36	613	9	3
27028	268	37	218	8	5
27029	426	15	404	4	3
27030	274	6	264	3	1
27031	430	9	410	6	5
27032	448	21	417	4	6
27033	546	66	452	21	7
27034	471	5	461	3	2
27035	584	105	453	17	9
27036	381	7	356	7	11
27037	614	72	507	26	9
27038	795	115	657	10	13
27039	345	9	332	1	3
27040	727	85	600	30	12
27041	475	7	460	4	4
27042	372	65	287	15	5
27043	435	11	406	7	11
27044	424	8	413	1	2
27045	1033	136	823	59	15
27046	389	70	293	22	4
27047	399	24	361	9	5
27048	889	74	791	13	11
27049	386	8	372	2	4
27050	502	7	486	4	5
28001	432	9	419	1	3
28002	435	11	415	1	8
28003	422	6	413	2	1
28004	417	66	335	10	6
28005	234	12	219	1	2
28006	231	18	203	9	1
28007	524	5	515	1	3
28008	496	61	399	32	4
28009	464	3	459	2	0
28010	593	60	511	15	7
28011	891	56	796	21	18
28012	506	4	495	3	4
28013	462	10	445	3	4
28014	447	1	441	2	3
28015	163	1	161	1	0
28016	329	5	322	1	1
28017	431	6	422	2	1
28018	351	9	340	2	0
28019	406	41	354	6	5
28020	469	15	440	6	8
28021	396	7	383	1	5
28022	425	13	405	3	4
28023	592	10	579	2	1
28024	441	13	418	4	6
28025	571	13	551	3	4
28026	560	5	547	4	4
28027	481	86	365	17	13
28028	536	101	406	17	12
28029	264	6	255	2	1
28030	72	0	70	1	1
28031	597	9	581	4	3
28032	471	7	458	3	3
28033	554	2	548	1	3
28034	914	15	885	5	9
28035	568	9	549	5	5
28036	277	4	268	1	4
28037	636	5	621	5	5
28038	219	3	214	2	0
28039	373	8	364	1	0
28040	604	3	589	10	2
28041	364	3	356	1	4
28042	531	7	521	1	2
28043	616	3	608	4	1
28044	349	4	345	0	0
28045	511	68	403	29	11
28046	832	107	685	18	22
29001	625	100	502	17	6
29002	769	12	744	7	6
29003	637	13	616	3	5
29004	593	9	576	5	3
29005	508	8	496	2	2
29006	474	10	458	3	3
29007	495	42	444	7	2
29008	527	8	515	2	2
29009	560	113	415	18	14
29010	611	81	511	14	5
29011	334	3	325	2	4
29012	625	20	598	4	3
29013	601	13	582	3	3
29014	505	9	490	3	3
29015	607	16	586	2	3
29016	588	9	574	1	4
29017	518	6	507	0	5
29018	542	12	521	2	7
29019	581	11	565	1	4
29020	733	15	707	0	11
29021	737	12	718	4	3
29022	433	29	400	2	2
29023	557	146	396	7	8
29024	508	11	491	3	3
29025	599	8	586	2	3
29026	520	14	494	7	5
29027	477	8	463	3	3
29028	675	6	657	4	8
29029	552	179	347	17	9
29030	611	76	522	7	6
29031	545	202	322	16	5
29032	514	210	278	16	10
29033	376	3	370	1	2
29034	334	35	294	3	2
29035	410	7	400	1	2
29036	449	10	435	3	1
29037	500	15	477	3	5
29038	529	112	395	11	11
29039	495	120	354	12	9
29040	598	8	581	2	7
29041	464	5	456	1	2
29042	593	8	579	4	2
29043	599	41	539	9	10
29044	664	23	626	7	8
30001	587	86	470	20	11
30002	532	112	394	11	15
30003	389	44	324	14	7
30004	510	135	351	11	13
30005	457	59	384	6	8
30006	409	48	353	7	1
30007	556	92	440	12	12
30008	573	79	458	14	22
30009	455	117	330	5	3
30010	617	104	499	12	2
30011	493	46	434	7	6
30012	530	91	425	7	7
30013	477	84	373	11	9
30014	378	47	319	7	5
30015	422	67	314	20	21
30016	274	44	220	4	6
30017	519	106	387	16	10
30018	602	59	508	15	20
30019	523	47	462	6	8
30020	543	79	442	11	11
30021	400	101	283	9	7
30022	680	75	575	18	12
30023	594	63	500	13	18
30024	642	83	516	29	14
30025	700	106	562	18	14
30026	356	59	288	4	5
30027	340	61	264	8	7
30028	544	60	456	11	17
30029	368	37	313	9	9
30030	251	17	225	3	6
30031	346	64	264	9	9
30032	404	41	343	14	6
31001	358	38	313	6	1
31002	299	23	269	5	2
31003	354	54	293	3	4
31004	465	30	405	11	19
31005	370	51	305	5	9
31006	313	30	276	3	4
31007	544	35	479	14	16
31008	283	34	244	0	5
31009	411	43	355	5	8
31010	356	39	309	3	5
31011	326	57	261	5	3
31012	330	70	244	9	7
31013	391	28	346	5	12
31014	342	51	274	4	13
31015	330	67	250	6	7
31016	439	27	398	6	8
31017	345	69	264	7	5
31018	330	41	279	7	3
31019	304	53	244	5	2
31020	349	51	289	4	5
31021	368	47	316	2	3
31022	346	30	307	3	6
31023	340	45	285	8	2
31024	366	53	301	7	5
31025	351	61	272	13	5
31026	382	61	310	2	9
31027	393	50	323	11	9
31028	334	42	275	9	8
31029	369	44	308	9	8
31030	299	26	257	10	6
31031	351	66	273	6	6
31032	324	49	263	9	3
31033	358	60	279	12	7
31034	376	60	300	6	10
31035	380	53	313	6	8
31036	363	59	281	10	13
31037	330	24	293	8	5
31038	385	36	337	6	6
31039	398	22	359	7	10
31040	398	41	338	4	15
31041	343	35	291	4	13
32001	750	116	597	24	13
32002	740	87	599	47	7
32003	686	42	599	21	24
32004	623	62	520	32	9
32005	685	66	585	29	5
32006	738	70	618	37	13
32007	700	86	569	36	9
32008	780	113	608	50	9
32009	661	85	539	22	15
32010	694	119	535	30	10
32011	591	26	539	7	19
32012	479	31	425	10	13
32013	707	114	547	36	10
32014	663	36	590	25	12
32015	635	94	506	29	6
32016	634	73	539	19	3
32017	631	42	554	21	14
32018	618	105	474	34	5
32019	624	62	519	26	17
32020	631	22	567	17	25
32021	661	63	545	42	11
32022	836	53	734	26	23
32023	652	86	514	41	11
32024	559	111	413	32	3
32025	623	70	508	31	14
32026	660	47	584	15	14
32027	641	119	474	37	11
32028	624	41	548	14	21
32029	694	66	588	24	16
32030	673	114	506	46	7
32031	702	110	545	37	10
32032	649	60	547	31	11
32033	676	106	528	37	5
32034	705	64	600	32	9
32035	664	92	528	37	7
32036	703	78	588	28	9
32037	645	60	535	32	18
32038	650	101	512	33	4
32039	719	134	543	37	5
32040	707	77	576	45	9
32041	660	88	520	43	9
32042	597	86	476	25	10
32043	570	38	499	18	15
33001	673	53	582	17	21
33002	842	91	723	13	15
33003	757	60	635	31	31
33004	843	90	689	32	32
33005	595	66	488	25	16
33006	595	50	523	13	9
33007	725	73	614	16	22
33008	794	66	695	14	19
33009	724	107	565	32	20
33010	600	89	482	22	7
33011	714	74	596	25	19
33012	672	92	545	21	14
33013	634	52	545	18	19
33014	347	39	291	12	5
33015	720	70	618	15	17
33016	881	116	716	20	29
33017	733	110	585	17	21
33018	846	84	696	29	37
33019	707	89	584	21	13
33020	754	68	641	22	23
33021	689	56	600	18	15
33022	608	87	495	9	17
33023	690	71	580	19	20
33024	784	76	670	24	14
33025	793	88	665	24	16
33026	524	53	435	12	24
33027	723	82	611	15	15
33028	612	39	546	12	15
34001	501	4	489	2	6
34002	374	4	366	1	3
34003	542	12	523	2	5
34004	415	8	400	3	4
34005	442	5	429	4	4
34006	531	17	508	2	4
34007	520	9	501	1	9
34008	417	1	410	2	4
34009	443	6	431	2	4
34010	462	10	443	3	6
34011	435	4	425	2	4
34012	517	4	509	1	3
34013	513	5	501	3	4
34014	419	10	404	3	2
34015	486	11	474	0	1
34016	441	8	429	0	4
34017	617	10	601	2	4
34018	393	5	382	5	1
34019	624	4	607	4	9
34020	522	10	508	0	4
34021	530	6	520	2	2
34022	446	10	430	1	5
34023	399	3	392	3	1
34024	459	8	444	4	3
34025	511	7	495	0	9
34026	521	4	515	1	1
34027	451	9	435	3	4
34028	371	5	364	0	2
34029	391	8	375	4	4
34030	413	5	404	1	3
34031	439	11	424	2	2
34032	479	5	467	4	3
34033	458	9	442	1	6
34034	513	2	508	2	1
34035	549	8	528	4	9
34036	436	6	422	3	5
34037	355	4	345	1	5
34038	297	4	290	1	2
34039	383	5	373	0	5
34040	555	7	533	8	7
34041	355	3	348	2	2
34042	443	4	429	5	5
34043	422	4	412	1	5
34044	472	5	460	1	6
34045	492	12	476	1	3
34046	311	5	302	0	4
34047	506	10	492	2	2
34048	492	5	471	5	11
34049	574	9	558	4	3
34050	440	8	423	5	4
34051	496	6	482	5	3
34052	344	1	339	2	2
34053	375	5	366	0	4
35001	575	54	493	17	11
35002	549	60	463	15	11
35003	531	33	469	14	15
35004	541	71	441	13	16
35005	511	41	443	9	18
35006	536	50	459	12	15
35007	564	28	507	16	13
35008	590	40	511	16	23
35009	575	68	477	13	17
35010	720	31	647	19	23
35011	604	46	526	16	16
35012	413	23	364	8	18
35013	415	28	366	11	10
35014	466	31	415	5	15
35015	634	52	538	19	25
35016	388	27	348	6	7
35017	653	31	586	18	18
35018	450	35	409	3	3
35019	370	19	338	2	11
35020	535	61	450	9	15
35021	513	38	453	7	15
35022	651	67	544	21	19
35023	567	67	468	20	12
35024	512	47	443	11	11
35025	697	41	626	19	11
35026	480	55	394	16	15
35027	528	63	438	16	11
35028	528	45	461	10	12
35029	555	54	480	10	11
35030	568	62	484	11	11
35031	614	77	500	19	18
36001	538	91	430	9	8
36002	513	56	443	7	7
36003	450	67	371	8	4
36004	526	45	469	7	5
36005	522	63	447	3	9
36006	450	62	370	9	9
36007	567	209	326	17	15
36008	423	41	373	4	5
36009	473	30	429	8	6
36010	580	107	461	7	5
36011	416	43	359	8	6
36012	338	25	303	2	8
36013	361	28	328	3	2
36014	525	110	390	14	11
36015	535	135	368	14	18
36016	510	119	361	18	12
36017	534	128	385	10	11
36018	482	129	328	15	10
36019	618	114	473	13	18
36020	498	120	357	7	14
36021	492	44	437	4	7
36022	469	38	419	5	7
36023	479	40	419	10	10
36024	537	149	367	8	13
36025	510	42	459	8	1
36026	479	163	297	11	8
36027	493	102	367	14	10
36028	485	160	305	14	6
36029	561	161	382	9	9
36030	506	104	377	16	9
37001	416	21	391	1	3
37002	390	10	372	4	4
37003	419	7	408	1	3
37004	435	19	410	4	2
37005	508	14	487	5	2
37006	502	13	483	3	3
37007	367	13	348	3	3
37008	404	12	386	2	4
37009	556	7	540	3	6
37010	567	30	527	5	5
37011	428	8	412	3	5
37012	404	16	378	5	5
37013	392	14	374	2	2
37014	538	10	524	1	3
37015	527	9	511	3	4
37016	539	17	510	5	7
37017	458	6	446	2	4
37018	472	11	457	2	2
37019	437	9	424	2	2
37020	435	9	425	0	1
37021	463	19	437	3	4
37022	451	19	423	1	8
37023	479	11	461	2	5
37024	531	13	510	4	4
37025	475	9	459	4	3
37026	571	27	537	5	2
37027	521	12	498	5	6
37028	446	20	420	1	5
37029	507	17	479	2	9
37030	487	4	479	3	1
37031	536	17	511	4	4
37032	460	10	444	3	3
37033	574	8	561	3	2
37034	503	7	493	3	0
37035	506	5	496	3	2
37036	507	4	498	2	3
37037	585	11	568	4	2
37038	529	15	507	4	3
37039	490	14	469	3	4
37040	510	7	497	0	6
37041	479	22	449	3	5
38001	463	95	337	16	15
38002	544	322	207	13	2
38003	557	207	333	10	7
38004	504	208	280	11	5
38005	552	208	311	17	16
38006	552	212	315	18	7
38007	509	229	265	7	8
38008	504	193	293	14	4
38009	575	242	298	22	13
38010	490	169	301	16	4
38011	469	128	323	10	8
38012	543	291	230	19	3
38013	553	233	299	13	8
38014	559	179	359	14	7
38015	489	160	307	12	10
38016	539	185	335	14	5
38017	605	297	271	20	17
38018	542	181	327	17	17
38019	585	206	360	11	8
38020	562	251	283	21	7
38021	456	147	290	14	5
38022	491	134	334	12	11
38023	547	148	376	15	8
38024	585	247	313	16	9
38025	455	147	279	20	9
38026	534	178	335	14	7
38027	559	222	310	16	11
38028	623	290	310	13	10
38029	497	154	310	22	11
38030	522	242	260	13	7
38031	521	142	357	15	7
38032	500	139	337	15	9
38033	537	157	350	17	13
38034	517	117	377	14	9
38035	519	118	371	19	11
38036	466	109	335	13	9
38037	525	137	364	11	13
38038	474	159	280	22	13
38039	554	153	385	10	6
38040	511	169	312	18	12
38041	482	90	370	14	8
39001	510	157	324	20	9
39002	535	132	390	9	4
39003	575	99	451	20	5
39004	492	179	290	18	5
39005	550	130	391	17	12
39006	538	110	406	13	9
39007	461	75	367	11	8
39008	615	100	482	19	14
39009	556	107	409	17	23
39010	261	24	226	6	5
39011	496	96	377	15	8
39012	712	86	584	22	20
39013	505	133	347	11	14
39014	519	113	370	22	14
39015	602	231	339	23	9
39016	530	95	420	8	7
39017	539	132	380	13	14
39018	517	103	386	17	11
39019	532	111	380	28	13
39020	640	238	378	19	5
39021	503	208	270	14	11
39022	522	99	403	9	11
39023	532	204	298	24	6
39024	670	286	362	16	6
39025	483	70	387	9	17
39026	530	170	324	27	9
39027	96	28	67	1	0
39028	615	70	515	11	19
39029	309	26	272	6	5
39030	675	76	568	18	13
39031	501	86	398	11	6
39032	494	154	307	22	11
39033	649	135	469	26	19
39034	616	122	458	19	17
39035	539	94	424	12	9
39036	185	48	128	6	3
39037	513	140	343	25	5
39038	293	81	202	10	0
39039	334	97	227	6	4
39040	479	151	309	9	10
39041	577	174	368	21	14
39042	566	215	319	19	13
39043	557	192	337	19	9
39044	428	159	250	16	3
39045	494	165	303	20	6
40001	563	107	424	16	16
40002	569	81	468	6	14
40003	740	68	631	20	21
40004	344	51	278	7	8
40005	604	82	487	15	20
40006	700	52	619	11	18
40007	585	53	498	18	16
40008	709	40	627	28	14
40009	533	74	445	2	12
40010	665	107	531	15	12
40011	592	57	496	21	18
40012	481	49	407	22	3
40013	885	43	800	23	19
40014	542	114	404	16	8
40015	541	91	425	13	12
40016	737	46	640	28	23
40017	513	97	403	8	5
40018	566	50	502	6	8
40019	749	133	584	17	15
40020	598	80	488	15	15
40021	675	70	579	15	11
40022	580	56	503	12	9
40023	664	55	582	14	13
40024	575	105	433	18	19
40025	705	45	640	10	10
40026	589	51	511	13	14
40027	782	76	668	21	17
40028	635	44	558	8	25
40029	561	123	418	12	8
40030	505	122	370	6	7
40031	654	50	573	19	12
40032	649	62	563	13	11
40033	587	37	528	13	9
40034	541	114	409	12	6
40035	481	81	391	4	5
40036	557	61	476	10	10
40037	645	67	542	14	22
40038	727	78	622	12	15
40039	221	19	196	0	6
41001	520	250	244	20	6
41002	590	306	258	17	9
41003	505	187	297	17	4
41004	548	212	299	29	8
41005	643	268	339	22	14
41006	616	241	338	30	7
41007	629	282	305	29	13
41008	559	250	270	35	4
41009	566	219	322	13	12
41010	583	224	329	25	5
41011	632	303	294	27	8
41012	586	261	308	10	7
41013	676	339	296	34	7
41014	624	208	381	18	17
41015	691	276	371	33	11
41016	547	231	278	22	16
41017	564	210	326	22	6
41018	512	211	279	14	8
41019	616	206	358	40	12
41020	442	186	235	16	5
41021	527	199	297	20	11
41022	579	243	298	25	13
41023	618	343	250	16	9
41024	517	271	227	13	6
41025	589	218	341	14	16
41026	527	205	289	23	10
41027	547	255	271	12	9
41028	697	219	444	20	14
41029	523	206	304	8	5
41030	555	227	303	14	11
41031	594	225	335	19	15
41032	453	191	248	9	5
41033	545	244	282	12	7
41034	491	223	245	18	5
41035	644	295	323	20	6
41036	541	239	281	14	7
41037	617	247	338	20	12
41038	519	228	267	21	3
41039	591	263	303	19	6
41040	606	307	271	18	10
41041	570	278	271	14	7
41042	583	265	292	15	11
41043	605	279	304	16	6
41044	591	283	268	36	4
41045	544	222	296	15	11
41046	563	251	281	23	8
41047	548	184	325	27	12
42001	626	162	443	13	8
42002	809	143	619	32	15
42003	750	122	581	38	9
42004	1249	253	930	48	18
42005	574	99	436	35	4
42006	653	156	462	25	10
42007	807	166	604	31	6
42008	622	114	477	17	14
42009	776	115	614	37	10
42010	897	162	690	33	12
42011	476	145	298	27	6
42012	559	113	412	31	3
42013	564	155	380	23	6
42014	877	186	648	40	3
42015	633	145	454	31	3
42016	727	124	554	38	11
42017	993	207	721	59	6
42018	891	172	646	68	5
42019	898	198	663	36	1
42020	791	170	583	33	5
42021	723	95	590	31	7
42022	392	93	275	18	6
42023	756	187	531	30	8
42024	699	142	529	21	7
42025	779	205	528	38	8
42026	830	169	615	33	13
42027	498	117	350	25	6
42028	797	195	565	27	10
42029	745	163	538	38	6
42030	558	127	398	25	8
42031	877	211	625	33	8
42032	777	169	552	47	9
42033	772	102	628	29	13
42034	616	159	418	28	11
42035	965	161	747	44	13
42036	1148	209	881	49	9
42037	528	109	388	25	6
42038	672	128	514	28	2
42039	835	157	623	46	9
42040	961	170	749	34	8
42041	722	102	575	37	8
42042	1126	147	913	51	15
43001	360	50	282	24	4
43002	697	115	530	40	12
43003	681	109	519	46	7
43004	922	178	689	49	6
43005	603	98	461	38	6
43006	508	68	398	39	3
43007	450	64	354	24	8
43008	545	92	425	24	4
43009	688	110	543	32	3
43010	773	132	590	42	9
43011	656	109	495	42	10
43012	497	74	393	25	5
43013	667	110	518	26	13
43014	639	90	501	37	11
43015	771	144	580	31	16
43016	801	117	603	70	11
43017	564	115	413	32	4
43018	743	124	565	43	11
43019	729	119	571	36	3
43020	745	113	591	32	9
43021	721	100	563	48	10
43022	488	69	390	21	8
43023	491	63	391	28	9
43024	571	120	428	15	8
43025	532	94	417	15	6
43026	426	51	352	18	5
43027	653	115	502	29	7
43028	874	149	669	41	15
43029	684	97	540	42	5
43030	865	110	693	52	10
43031	672	102	538	23	9
43032	761	100	608	38	15
43033	670	168	467	29	6
43034	490	83	377	25	5
43035	775	171	566	30	8
43036	405	77	304	21	3
43037	805	97	667	32	9
43038	565	118	408	33	6
43039	759	134	568	43	14
43040	547	70	441	29	7
43041	879	102	720	44	13
43042	646	82	515	44	5
43043	710	171	498	36	5
43044	650	109	508	24	9
43045	398	59	327	12	0
43046	404	55	313	30	6
44001	1104	120	933	36	15
44002	691	67	593	25	6
44003	436	77	345	10	4
44004	682	80	570	23	9
44005	789	79	671	32	7
44006	925	65	795	45	20
44007	517	118	376	16	7
44008	926	108	753	47	18
44009	674	87	533	45	9
44010	716	90	590	29	7
44011	775	98	624	38	15
44012	773	101	635	29	8
44013	621	66	505	44	6
44014	686	76	567	32	11
44015	655	101	523	20	11
44016	773	107	624	30	12
44017	929	79	814	23	13
44018	728	100	585	33	10
44019	849	98	712	25	14
44020	760	60	654	30	16
44021	851	71	741	32	7
44022	753	101	614	28	10
44023	728	67	610	33	18
44024	531	72	433	20	6
44025	724	79	587	45	13
44026	816	71	699	30	16
44027	805	74	669	54	8
44028	744	80	628	24	12
44029	815	110	659	41	5
44030	821	100	660	51	10
44031	641	77	517	38	9
44032	832	106	666	45	15
44033	738	46	664	16	12
44034	742	69	634	31	8
44035	843	114	676	40	13
44036	754	78	635	33	8
44037	780	62	680	30	8
44038	732	116	557	49	10
44039	714	91	566	50	7
44040	721	117	547	45	12
44041	935	114	774	33	14
45001	461	52	382	17	10
45002	459	42	388	14	15
45003	497	92	377	19	9
45004	640	104	502	15	19
45005	536	89	411	21	15
45006	646	103	499	32	12
45007	752	147	567	25	13
45008	554	106	419	14	15
45009	564	118	413	16	17
45010	585	137	415	23	10
45011	431	77	328	14	12
45012	517	116	366	18	17
45013	463	90	342	15	16
45014	699	154	511	17	17
45015	640	128	469	25	18
45016	453	119	310	13	11
45017	609	168	400	22	19
45018	563	171	366	14	12
45019	313	76	216	8	13
45020	420	113	289	15	3
45021	487	150	321	10	6
45022	525	150	345	15	15
45023	528	180	314	29	5
45024	425	153	252	17	3
45025	346	139	194	7	6
45026	304	131	159	7	7
45027	518	198	302	15	3
45028	456	147	283	17	9
45029	371	119	235	14	3
45030	509	83	401	13	12
45031	434	120	294	12	8
45032	462	116	325	13	8
45033	365	82	260	13	10
45034	561	127	405	16	13
45035	544	157	361	18	8
45036	536	174	341	14	7
45037	513	159	336	9	9
45038	464	140	302	16	6
45039	529	174	329	11	15
45040	526	176	334	11	5
45041	509	180	296	24	9
45042	523	193	303	18	9
45043	547	244	275	20	8
45044	514	189	296	24	5
45045	365	157	187	15	6
45046	437	177	230	21	9
45047	407	160	226	12	9
45048	431	210	206	11	4
46001	490	58	407	19	6
46002	578	43	499	18	18
46003	775	91	650	20	14
46004	590	33	528	15	14
46005	810	76	675	42	17
46006	644	40	575	8	21
46007	711	113	582	7	9
46008	504	58	434	3	9
46009	693	50	600	22	21
46010	1078	108	904	47	19
46011	668	140	505	16	7
46012	686	40	613	21	12
46013	656	65	551	25	15
46014	761	73	677	3	8
46015	704	85	589	19	11
46016	698	45	629	15	9
46017	746	108	602	17	19
46018	743	95	607	31	10
46019	455	67	369	12	7
46020	554	40	496	6	12
46021	507	79	411	6	11
46022	518	52	417	20	29
46023	490	37	434	10	9
46024	715	88	598	24	5
46025	626	33	559	17	17
46026	655	39	589	19	8
46027	821	67	710	29	15
46028	626	74	529	14	9
46029	579	63	494	15	7
46030	689	47	617	15	10
46031	715	45	628	30	12
46032	672	51	604	8	9
46033	757	89	637	21	10
46034	774	54	685	22	13
46035	800	63	709	20	8
46036	629	83	518	24	4
46037	501	39	448	3	11
46038	721	56	643	16	6
46039	657	93	533	21	10
46040	558	48	483	12	15
47001	418	47	351	14	6
47002	658	91	532	31	4
47003	638	99	504	27	8
47004	666	82	547	24	13
47005	693	57	600	23	13
47006	764	89	631	35	9
47007	598	74	496	16	12
47008	655	62	557	29	7
47009	618	72	501	29	16
47010	822	60	716	26	20
47011	682	65	573	33	11
47012	697	59	600	20	18
47013	603	55	524	12	12
47014	589	65	496	21	7
47015	785	43	698	20	24
47016	609	89	490	16	14
47017	624	97	480	32	15
47018	683	60	580	28	15
47019	822	37	746	20	19
47020	614	69	501	24	20
47021	599	70	497	20	12
47022	719	72	610	22	15
47023	697	41	626	12	18
47024	685	58	585	31	11
47025	772	71	657	34	10
47026	903	63	803	26	11
47027	592	58	490	31	13
47028	608	69	513	18	8
47029	683	87	555	27	14
47030	814	55	710	23	26
47031	642	53	548	19	22
47032	760	43	674	27	16
47033	661	82	539	32	8
47034	684	56	587	26	15
47035	670	81	550	24	15
47036	751	49	643	34	25
47037	704	74	597	16	17
47038	665	53	570	30	12
47039	654	58	559	21	16
47040	620	52	526	26	16
47041	758	62	656	27	13
47042	644	38	557	19	30
47043	648	98	509	30	11
47044	676	103	549	20	4
47045	625	57	533	20	15
47046	579	98	452	21	8
47047	798	98	653	33	14
47048	72	13	58	1	0
48001	579	37	509	8	25
48002	294	27	250	12	5
48003	774	65	688	10	11
48004	625	43	560	8	14
48005	335	30	288	5	12
48006	781	76	680	16	9
48007	627	32	577	10	8
48008	356	73	268	6	9
48009	454	82	353	8	11
48010	829	53	732	18	26
48011	490	24	446	11	9
48012	736	50	655	19	12
48013	778	116	637	11	14
48014	349	60	281	5	3
48015	442	47	367	13	15
48016	667	46	591	12	18
48017	592	42	525	10	15
48018	452	50	389	7	6
48019	418	22	369	13	14
48020	677	49	592	13	23
48021	808	79	699	17	13
48022	515	87	412	11	5
48023	708	97	594	12	5
48024	750	155	565	10	20
48025	535	28	485	10	12
48026	358	53	290	6	9
48027	1263	132	1058	40	33
48028	798	185	581	9	23
48029	304	41	255	7	1
48030	541	41	483	8	9
48031	928	74	800	26	28
48032	700	38	623	18	21
48033	345	54	281	2	8
48034	546	45	486	8	7
48035	444	70	356	6	12
48036	364	45	304	7	8
48037	648	36	579	16	17
48038	605	58	529	13	5
48039	514	87	411	7	9
48040	543	40	475	10	18
48041	811	50	720	16	25
48042	751	36	691	10	14
48043	644	60	550	9	25
48044	745	30	678	21	16
48045	474	38	422	8	6
48046	425	59	345	11	10
49001	470	23	421	5	21
49002	416	26	362	9	19
49003	696	45	617	15	19
49004	781	38	693	20	30
49005	627	40	570	6	11
49006	599	34	524	14	27
49007	708	78	588	23	19
49008	541	50	472	9	10
49009	673	62	582	16	13
49010	612	52	525	15	20
49011	762	48	677	11	26
49012	910	60	774	26	50
49013	771	66	666	24	15
49014	540	51	460	11	18
49015	517	39	452	9	17
49016	619	63	529	15	12
49017	501	77	393	15	16
49018	804	37	707	23	37
49019	614	21	569	9	15
49020	913	51	820	8	34
49021	406	39	355	5	7
49022	659	56	577	10	16
49023	757	37	670	14	36
49024	588	40	528	7	13
49025	860	65	749	18	28
49026	758	127	581	21	29
49027	794	61	688	20	25
49028	844	55	743	27	19
49029	745	46	645	17	37
49030	752	76	647	14	15
49031	526	45	466	1	14
49032	669	38	603	9	19
49033	558	30	503	11	14
50001	518	196	285	27	10
50002	342	128	199	8	7
50003	430	161	252	17	0
50004	571	111	436	15	9
50005	391	186	190	9	6
50006	584	115	437	18	14
50007	578	69	482	17	10
50008	556	58	478	7	13
50009	433	93	328	6	6
50010	594	202	361	18	13
50011	369	220	131	14	4
50012	246	80	150	12	4
50013	666	71	563	9	23
50014	178	70	100	6	2
50015	562	83	456	9	14
50016	180	72	105	3	0
50017	533	144	380	3	6
50018	117	54	57	5	1
50019	413	61	331	4	17
50020	563	79	450	14	20
50021	464	101	349	10	4
50022	504	196	287	10	11
50023	371	103	256	9	3
50024	467	267	185	12	3
50025	473	239	220	9	5
50026	621	126	480	9	6
50027	172	62	107	1	2
50028	645	104	525	4	12
50029	568	62	488	7	11
50030	406	42	350	6	8
50031	675	69	592	7	7
50032	684	60	594	15	15
50033	432	211	201	14	6
50034	671	161	476	22	12
50035	638	87	527	12	12
50036	476	96	363	13	4
50037	523	72	428	9	14
50038	220	60	154	4	2
50039	417	144	257	10	6
50040	537	299	217	12	9
Barrington 1	690	333	302	39	16
Barrington 2	685	255	385	34	11
Barrington 3	833	442	332	47	12
Barrington 4	1063	589	427	44	3
Barrington 5	772	473	250	43	6
Barrington 6	890	343	486	52	9
Barrington 7	266	154	93	16	3
Barrington 8	1133	600	479	48	6
Barrington 9	533	249	240	35	9
Barrington 10	1030	407	560	40	23
Barrington 11	595	314	251	30	0
Berwyn Ward 1 Precinct 1	447	110	319	5	13
Berwyn Ward 1 Precinct 2	544	110	410	13	11
Berwyn Ward 1 Precinct 3	790	195	562	19	14
Berwyn Ward 1 Precinct 4	463	94	345	13	11
