Precinct	total_votes	votes|Sonya Marie Harper
03001	131	131
03003	414	414
03005	383	383
03010	294	294
03013	590	590
03018	450	450
03026	569	569
03029	74	74
03036	146	146
03041	297	297
04013	621	621
04016	152	152
04017	676	676
04020	424	424
04021	476	476
04037	824	824
06015	148	148
06018	40	40
06028	86	86
11012	497	497
11013	476	476
11021	515	515
11024	470	470
11028	190	190
11029	439	439
11031	406	406
11032	184	184
11034	118	118
11035	81	81
15001	350	350
15002	303	303
15003	250	250
15005	70	70
15007	153	153
15013	89	89
15014	56	56
15017	303	303
15018	317	317
15020	261	261
15021	280	280
15022	33	33
15023	335	335
15024	330	330
16002	288	288
16003	313	313
16004	349	349
16005	315	315
16006	147	147
16008	266	266
16009	385	385
16010	326	326
16012	321	321
16014	330	330
16015	380	380
16017	130	130
16018	333	333
16019	329	329
16020	316	316
16021	304	304
16022	337	337
16025	380	380
16026	297	297
16027	317	317
16028	313	313
16030	57	57
16031	363	363
16033	18	18
16034	320	320
16036	274	274
17001	0	0
17006	382	382
17008	214	214
17016	46	46
17017	22	22
17025	320	320
18050	142	142
20002	185	185
20004	213	213
20006	224	224
20013	479	479
20015	430	430
20017	268	268
20020	365	365
20021	355	355
20025	344	344
20027	241	241
20029	496	496
20032	418	418
20036	169	169
20038	172	172
20039	36	36
25014	0	0
25021	792	792
25027	265	265
42005	433	433
42009	594	594
42010	257	257
42012	167	167
42014	205	205
42015	323	323
42017	720	720
42018	658	658
42021	409	409
42033	0	0
42036	510	510
42037	398	398
42038	480	480
42041	363	363
