Precinct	total_votes	votes|Susana Mendoza
01001	305	305
01002	314	314
01003	329	329
01004	281	281
01005	286	286
01006	280	280
01007	219	219
01008	233	233
01009	239	239
01010	285	285
01011	287	287
01012	309	309
01013	145	145
01014	297	297
01015	288	288
01016	283	283
01017	290	290
01018	305	305
01019	385	385
01020	252	252
01021	277	277
01022	209	209
01023	466	466
01024	281	281
01025	287	287
01026	248	248
01027	280	280
01028	103	103
01029	273	273
01030	335	335
01031	312	312
01032	281	281
01033	294	294
01034	264	264
01035	318	318
01036	261	261
01037	273	273
01038	277	277
01039	266	266
01040	288	288
01041	192	192
01042	96	96
01043	218	218
01044	268	268
02001	279	279
02002	161	161
02003	288	288
02004	242	242
02005	310	310
02006	310	310
02007	248	248
02008	296	296
02009	170	170
02010	178	178
02011	191	191
02012	256	256
02013	222	222
02014	313	313
02015	256	256
02016	243	243
02017	335	335
02018	222	222
02019	144	144
02020	226	226
02021	293	293
02022	223	223
02023	137	137
02024	213	213
02025	283	283
02026	208	208
02027	191	191
02028	235	235
02029	211	211
02030	201	201
02031	290	290
02032	175	175
02033	336	336
02034	182	182
02035	222	222
02036	185	185
02037	222	222
02038	200	200
02039	139	139
02040	199	199
02041	156	156
02042	228	228
02043	252	252
02044	135	135
02045	254	254
02046	121	121
03001	414	414
03002	439	439
03003	264	264
03004	369	369
03005	237	237
03006	292	292
03007	243	243
03008	315	315
03009	356	356
03010	182	182
03011	350	350
03012	360	360
03013	329	329
03014	301	301
03015	337	337
03016	341	341
03017	330	330
03018	473	473
03019	282	282
03020	347	347
03021	293	293
03022	354	354
03023	306	306
03024	300	300
03025	370	370
03026	367	367
03027	292	292
03028	227	227
03029	328	328
03030	317	317
03031	429	429
03032	320	320
03033	317	317
03034	355	355
03035	154	154
03036	199	199
03037	279	279
03038	298	298
03039	321	321
03040	337	337
03041	274	274
04001	409	409
04002	321	321
04003	318	318
04004	477	477
04005	357	357
04006	419	419
04007	424	424
04008	410	410
04009	434	434
04010	415	415
04011	355	355
04012	410	410
04013	281	281
04014	355	355
04015	445	445
04016	386	386
04017	374	374
04018	315	315
04019	329	329
04020	267	267
04021	379	379
04022	354	354
04023	472	472
04024	320	320
04025	338	338
04026	349	349
04027	389	389
04028	341	341
04029	328	328
04030	449	449
04031	377	377
04032	371	371
04033	377	377
04034	331	331
04035	445	445
04036	386	386
04037	339	339
04038	421	421
05001	288	288
05002	301	301
05003	335	335
05004	399	399
05005	304	304
05006	273	273
05007	337	337
05008	340	340
05009	400	400
05010	263	263
05011	361	361
05012	244	244
05013	289	289
05014	303	303
05015	319	319
05016	313	313
05017	308	308
05018	297	297
05019	303	303
05020	366	366
05021	342	342
05022	367	367
05023	518	518
05024	373	373
05025	305	305
05026	331	331
05027	293	293
05028	349	349
05029	375	375
05030	251	251
05031	252	252
05032	380	380
05033	350	350
05034	377	377
05035	342	342
05036	235	235
05037	306	306
05038	336	336
05039	250	250
05040	242	242
05041	191	191
06001	318	318
06002	312	312
06003	330	330
06004	216	216
06005	208	208
06006	292	292
06007	322	322
06008	323	323
06009	288	288
06010	233	233
06011	292	292
06012	230	230
06013	229	229
06014	260	260
06015	225	225
06016	311	311
06017	209	209
06018	188	188
06019	273	273
06020	169	169
06021	167	167
06022	191	191
06023	171	171
06024	179	179
06025	182	182
06026	211	211
06027	182	182
06028	140	140
06029	323	323
06030	266	266
06031	322	322
06032	263	263
06033	321	321
06034	312	312
06035	277	277
06036	328	328
06037	330	330
06038	332	332
06039	270	270
06040	256	256
06041	311	311
06042	295	295
06043	242	242
06044	283	283
06045	336	336
06046	214	214
06047	228	228
06048	306	306
07001	251	251
07002	270	270
07003	285	285
07004	305	305
07005	218	218
07006	349	349
07007	254	254
07008	218	218
07009	420	420
07010	310	310
07011	332	332
07012	257	257
07013	155	155
07014	314	314
07015	303	303
07016	255	255
07017	228	228
07018	215	215
07019	276	276
07020	228	228
07021	220	220
07022	208	208
07023	298	298
07024	247	247
07025	301	301
07026	264	264
07027	235	235
07028	185	185
07029	222	222
07030	217	217
07031	178	178
07032	395	395
07033	383	383
07034	329	329
07035	284	284
07036	363	363
07037	332	332
07038	240	240
07039	255	255
07040	253	253
07041	271	271
07042	269	269
07043	272	272
07044	251	251
07045	284	284
07046	135	135
08001	220	220
08002	301	301
08003	351	351
08004	345	345
08005	338	338
08006	343	343
08007	361	361
08008	304	304
08009	220	220
08010	380	380
08011	277	277
08012	284	284
08013	335	335
08014	264	264
08015	278	278
08016	143	143
08017	263	263
08018	278	278
08019	359	359
08020	326	326
08021	414	414
08022	255	255
08023	243	243
08024	191	191
08025	296	296
08026	300	300
08027	335	335
08028	322	322
08029	373	373
08030	318	318
08031	248	248
08032	235	235
08033	283	283
08034	270	270
08035	316	316
08036	338	338
08037	270	270
08038	191	191
08039	313	313
08040	240	240
08041	291	291
08042	416	416
08043	151	151
08044	219	219
08045	314	314
08046	231	231
08047	242	242
08048	295	295
08049	292	292
08050	326	326
08051	338	338
08052	398	398
08053	176	176
08054	288	288
08055	237	237
08056	303	303
09001	307	307
09002	260	260
09003	213	213
09004	227	227
09005	259	259
09006	265	265
09007	214	214
09008	286	286
09009	306	306
09010	284	284
09011	220	220
09012	297	297
09013	303	303
09014	374	374
09015	253	253
09016	267	267
09017	218	218
09018	195	195
09019	280	280
09020	310	310
09021	243	243
09022	304	304
09023	315	315
09024	302	302
09025	271	271
09026	307	307
09027	270	270
09028	196	196
09029	222	222
09030	240	240
09031	214	214
09032	239	239
09033	202	202
09034	229	229
09035	275	275
09036	269	269
09037	332	332
09038	284	284
09039	311	311
09040	325	325
09041	247	247
09042	309	309
09043	238	238
09044	254	254
09045	221	221
09046	298	298
09047	318	318
09048	313	313
09049	310	310
09050	375	375
09051	297	297
10001	252	252
10002	221	221
10003	219	219
10004	228	228
10005	186	186
10006	236	236
10007	185	185
10008	202	202
10009	200	200
10010	279	279
10011	330	330
10012	188	188
10013	320	320
10014	357	357
10015	535	535
10016	192	192
10017	288	288
10018	185	185
10019	260	260
10020	285	285
10021	293	293
10022	182	182
10023	281	281
10024	226	226
10025	92	92
10026	235	235
10027	257	257
10028	314	314
10029	251	251
10030	277	277
10031	217	217
10032	275	275
10033	195	195
10034	195	195
10035	266	266
10036	70	70
11001	267	267
11002	36	36
11003	261	261
11004	261	261
11005	358	358
11006	314	314
11007	485	485
11008	284	284
11009	255	255
11010	235	235
11011	258	258
11012	361	361
11013	317	317
11014	120	120
11015	116	116
11016	186	186
11017	348	348
11018	246	246
11019	378	378
11020	182	182
11021	386	386
11022	348	348
11023	177	177
11024	351	351
11025	323	323
11026	327	327
11027	103	103
11028	134	134
11029	291	291
11030	139	139
11031	250	250
11032	128	128
11033	255	255
11034	79	79
11035	57	57
11036	117	117
11037	76	76
11038	150	150
12001	299	299
12002	268	268
12003	358	358
12004	343	343
12005	274	274
12006	291	291
12007	286	286
12008	334	334
12009	251	251
12010	353	353
12011	325	325
12012	313	313
12013	304	304
12014	282	282
12015	246	246
12016	285	285
12017	333	333
12018	255	255
12019	313	313
12020	371	371
12021	287	287
12022	326	326
12023	314	314
13001	233	233
13002	243	243
13003	236	236
13004	258	258
13005	357	357
13006	273	273
13007	245	245
13008	202	202
13009	269	269
13010	203	203
13011	290	290
13012	268	268
13013	327	327
13014	286	286
13015	502	502
13016	229	229
13017	252	252
13018	197	197
13019	394	394
13020	147	147
13021	274	274
13022	278	278
13023	251	251
13024	272	272
13025	312	312
13026	342	342
13027	283	283
13028	251	251
13029	233	233
13030	235	235
13031	286	286
13032	228	228
13033	240	240
13034	380	380
13035	266	266
13036	178	178
13037	326	326
13038	203	203
13039	296	296
13040	247	247
13041	321	321
13042	227	227
13043	309	309
13044	398	398
13045	353	353
13046	387	387
13047	337	337
13048	237	237
14001	279	279
14002	386	386
14003	357	357
14004	219	219
14005	441	441
14006	169	169
14007	329	329
14008	326	326
14009	310	310
14010	219	219
14011	210	210
14012	278	278
14013	254	254
14014	312	312
14015	379	379
14016	227	227
14017	243	243
14018	116	116
14019	344	344
14020	206	206
14021	286	286
14022	336	336
14023	211	211
14024	280	280
14025	196	196
14026	227	227
14027	266	266
14028	198	198
14029	276	276
14030	181	181
14031	194	194
15001	277	277
15002	179	179
15003	182	182
15004	293	293
15005	293	293
15006	316	316
15007	190	190
15008	277	277
15009	374	374
15010	391	391
15011	356	356
15012	362	362
15013	278	278
15014	265	265
15015	278	278
15016	302	302
15017	163	163
15018	184	184
15019	235	235
