Precinct	Register Voters	Ballots Cast	Turnout %
Wheeling 52	772	203	26.3
Wheeling 53	986	208	21.1
Wheeling 54	1097	216	19.69
Wheeling 55	847	257	30.34
Wheeling 56	825	207	25.09
Wheeling 57	961	255	26.53
Wheeling 58	783	190	24.27
Wheeling 59	1068	240	22.47
Wheeling 60	655	211	32.21
Wheeling 61	1121	238	21.23
Wheeling 62	1129	291	25.78
Wheeling 63	859	207	24.1
Wheeling 64	1313	338	25.74
Wheeling 65	1212	272	22.44
Wheeling 66	1125	305	27.11
Wheeling 67	467	150	32.12
Wheeling 68	536	110	20.52
Wheeling 69	805	217	26.96
Wheeling 70	1216	377	31
Wheeling 71	1390	322	23.17
Wheeling 72	911	243	26.67
Wheeling 73	909	232	25.52
Wheeling 74	778	186	23.91
Wheeling 75	978	248	25.36
Wheeling 76	1369	354	25.86
Wheeling 77	480	116	24.17
Wheeling 78	1291	375	29.05
Wheeling 79	860	237	27.56
Wheeling 80	979	268	27.37
Wheeling 81	694	191	27.52
Wheeling 82	1151	301	26.15
Wheeling 83	1256	299	23.81
Wheeling 84	1310	363	27.71
Wheeling 85	747	199	26.64
Wheeling 86	985	230	23.35
Wheeling 87	874	214	24.49
Wheeling 88	992	246	24.8
Wheeling 89	597	189	31.66
Wheeling 90	863	237	27.46
Wheeling 91	1073	308	28.7
Wheeling 92	1357	344	25.35
Worth 1	581	164	28.23
Worth 2	1133	305	26.92
Worth 3	880	298	33.86
Worth 4	1522	427	28.06
Worth 5	979	319	32.58
Worth 6	1236	237	19.17
Worth 7	923	182	19.72
Worth 8	1058	378	35.73
Worth 9	1139	354	31.08
Worth 10	1005	384	38.21
Worth 11	928	294	31.68
Worth 12	623	191	30.66
Worth 13	971	340	35.02
Worth 14	906	353	38.96
Worth 15	1299	424	32.64
Worth 16	1310	361	27.56
Worth 17	1123	391	34.82
Worth 18	677	140	20.68
Worth 19	955	359	37.59
Worth 20	745	241	32.35
Worth 21	1467	404	27.54
Worth 22	741	235	31.71
Worth 23	1092	248	22.71
Worth 24	736	215	29.21
Worth 25	1077	329	30.55
Worth 26	848	196	23.11
Worth 27	768	215	27.99
Worth 28	645	213	33.02
Worth 29	737	301	40.84
Worth 30	1069	296	27.69
Worth 31	1111	446	40.14
Worth 32	622	198	31.83
Worth 33	974	258	26.49
Worth 34	924	329	35.61
Worth 35	1058	302	28.54
Worth 36	972	352	36.21
Worth 37	664	302	45.48
Worth 38	864	385	44.56
Worth 39	854	321	37.59
Worth 40	1040	333	32.02
Worth 41	482	169	35.06
Worth 42	867	240	27.68
Worth 43	757	320	42.27
Worth 44	709	169	23.84
Worth 45	693	254	36.65
Worth 46	1060	338	31.89
Worth 47	576	142	24.65
Worth 48	653	200	30.63
Worth 49	586	177	30.2
Worth 50	1021	247	24.19
Worth 51	774	183	23.64
Worth 52	583	168	28.82
Worth 53	1022	323	31.6
Worth 54	902	351	38.91
Worth 55	545	198	36.33
Worth 56	921	250	27.14
Worth 57	921	348	37.79
Worth 58	1001	315	31.47
Worth 59	1043	543	52.06
Worth 60	551	154	27.95
Worth 61	851	224	26.32
Worth 62	517	160	30.95
Worth 63	938	321	34.22
Worth 64	1237	286	23.12
Worth 65	1317	329	24.98
Worth 66	769	198	25.75
Worth 67	663	127	19.16
Worth 68	662	291	43.96
Worth 69	1059	418	39.47
Worth 70	1169	357	30.54
Worth 71	827	207	25.03
Worth 72	967	351	36.3
Worth 73	662	185	27.95
Worth 74	534	132	24.72
Worth 75	1141	360	31.55
Worth 76	485	167	34.43
Worth 77	896	299	33.37
Worth 78	1254	353	28.15
Worth 79	611	138	22.59
Worth 80	1043	434	41.61
Worth 81	736	163	22.15
Worth 82	950	261	27.47
Worth 83	505	162	32.08
Worth 84	940	305	32.45
Worth 85	872	259	29.7
Worth 86	1019	268	26.3
Worth 87	806	248	30.77
Worth 88	620	180	29.03
Worth 89	1041	266	25.55
Worth 90	1173	343	29.24
Worth 91	494	158	31.98
Worth 92	976	296	30.33
Worth 93	534	179	33.52
Worth 94	1097	304	27.71
Worth 95	935	200	21.39
Worth 96	1075	420	39.07
Worth 97	722	303	41.97
Worth 98	1087	340	31.28
Worth 99	658	125	19
Worth 100	963	320	33.23
