Precinct	total_votes	votes|Vince Kolber	votes|Mike Quigley	votes|Rob Sherman
01003	699	112	547	40
01004	672	116	506	50
01005	663	123	514	26
01006	601	109	443	49
01008	540	72	437	31
01010	748	147	567	34
01011	688	136	512	40
01014	451	52	376	23
01021	723	125	565	33
01028	176	10	158	8
01032	412	58	325	29
01033	674	123	502	49
01035	753	142	556	55
01036	655	123	499	33
01037	613	136	426	51
01038	141	19	115	7
01039	511	93	387	31
01040	583	100	444	39
02001	685	118	538	29
02003	741	134	561	46
02004	567	78	446	43
02005	749	130	570	49
02006	626	89	502	35
02007	600	114	460	26
02008	749	136	565	48
02012	250	74	169	7
02014	107	15	86	6
02015	609	103	467	39
02016	576	93	454	29
02017	2	0	2	0
02020	383	110	258	15
02021	608	93	486	29
02022	672	228	423	21
02024	595	145	428	22
02025	722	130	553	39
02026	560	135	414	11
02028	420	116	288	16
02030	545	190	341	14
02031	798	257	519	22
02033	927	292	610	25
02037	556	159	380	17
02038	132	60	70	2
02044	422	139	275	8
26028	266	50	200	16
26032	509	86	380	43
27007	715	90	568	57
27012	382	116	248	18
27013	135	15	112	8
27027	24	4	19	1
27035	37	2	32	3
27037	14	1	12	1
27040	89	17	68	4
27042	223	81	135	7
27043	20	1	16	3
27046	376	122	244	10
29023	310	78	224	8
29029	506	145	332	29
29031	504	161	315	28
29032	487	156	304	27
29038	4	1	2	1
29039	222	50	166	6
30015	309	65	224	20
30017	255	48	192	15
30021	378	75	286	17
32001	724	152	537	35
32002	711	181	500	30
32004	607	120	463	24
32005	652	103	505	44
32006	712	141	535	36
32007	673	157	499	17
32008	770	219	520	31
32009	644	125	486	33
32010	672	177	473	22
32013	675	181	465	29
32015	608	131	449	28
32016	592	91	469	32
32018	602	184	405	13
32019	602	113	456	33
32021	662	118	519	25
32023	644	166	456	22
32024	528	172	343	13
32025	615	133	444	38
32027	628	209	392	27
32029	674	111	537	26
32030	650	193	437	20
32031	675	180	462	33
32032	628	127	471	30
32033	648	166	454	28
32034	675	131	501	43
32035	654	152	467	35
32036	664	146	486	32
32037	617	119	474	24
32038	620	150	447	23
32039	715	231	464	20
32040	675	141	498	36
32041	667	184	459	24
32042	582	132	420	30
33002	790	80	666	44
33003	56	7	44	5
33005	562	74	444	44
33007	436	52	346	38
33008	482	60	398	24
33010	84	17	63	4
33018	809	83	664	62
33019	289	42	226	21
33023	45	6	35	4
33024	775	92	644	39
33027	25	5	18	2
36007	532	164	337	31
36014	500	97	374	29
36015	503	106	370	27
36016	336	60	266	10
36017	494	101	369	24
36018	459	111	327	21
36020	225	56	157	12
36024	336	83	231	22
36026	432	122	281	29
36028	451	121	306	24
36029	255	58	180	17
36030	474	88	354	32
38002	516	255	248	13
38003	513	150	335	28
38004	474	147	302	25
38005	511	170	310	31
38006	509	156	327	26
38007	463	157	287	19
38008	463	136	305	22
38009	535	184	319	32
38010	458	123	301	34
38011	456	107	327	22
38012	481	199	268	14
38013	520	181	315	24
38014	528	144	351	33
38015	451	116	304	31
38016	505	148	324	33
38017	557	232	299	26
38018	505	155	330	20
38019	551	159	370	22
38020	513	171	307	35
38021	431	125	282	24
38022	461	110	324	27
38023	526	136	363	27
38024	540	179	333	28
38025	430	108	294	28
38026	501	139	328	34
38027	520	165	329	26
38028	589	219	350	20
38029	466	109	321	36
38030	482	175	279	28
38031	508	121	357	30
38032	480	108	337	35
38033	500	128	346	26
38034	482	95	355	32
38035	223	45	163	15
38036	446	99	328	19
38037	504	109	357	38
38038	444	135	265	44
38039	539	119	385	35
38040	486	144	314	28
39001	498	168	307	23
39002	429	101	314	14
39003	545	102	416	27
39004	485	163	301	21
39005	529	117	382	30
39006	504	95	378	31
39007	446	66	356	24
39008	569	76	466	27
39009	517	108	380	29
39010	248	22	215	11
39011	466	91	350	25
39012	493	70	382	41
39013	472	103	333	36
