Precinct	total_votes	votes|Michael J. Zalewski
13026	0	0
13045	14	14
Berwyn Ward 3 Precinct 1	43	43
Berwyn Ward 3 Precinct 3	176	176
Berwyn Ward 5 Precinct 2	255	255
Berwyn Ward 6 Precinct 3	241	241
Berwyn Ward 7 Precinct 3	283	283
Berwyn Ward 8 Precinct 2	279	279
Cicero 1	354	354
Cicero 2	176	176
Cicero 3	267	267
Cicero 4	266	266
Cicero 8	170	170
Cicero 9	327	327
Cicero 15	302	302
Cicero 16	219	219
Cicero 17	340	340
Cicero 18	215	215
Cicero 23	379	379
Cicero 24	327	327
Cicero 27	193	193
Cicero 28	303	303
Cicero 30	286	286
Cicero 31	178	178
Lyons 4	392	392
Lyons 6	146	146
Lyons 7	249	249
Lyons 8	129	129
Lyons 10	213	213
Lyons 25	77	77
Lyons 29	186	186
Lyons 33	100	100
Lyons 34	106	106
Lyons 35	161	161
Lyons 48	266	266
Lyons 51	177	177
Lyons 58	175	175
Lyons 65	316	316
Lyons 67	261	261
Lyons 68	145	145
Lyons 71	135	135
Lyons 75	147	147
Lyons 76	24	24
Proviso 29	306	306
Proviso 75	209	209
Proviso 89	188	188
Proviso 90	378	378
Riverside 1	120	120
Riverside 8	270	270
Riverside 9	182	182
Riverside 10	259	259
Riverside 11	86	86
Stickney 4	294	294
Stickney 6	389	389
Stickney 7	162	162
Stickney 8	249	249
Stickney 9	69	69
Stickney 12	142	142
Stickney 13	252	252
Stickney 18	116	116
