Precinct	total_votes	votes|Toni Reed Preckwinkle
04001	400	400
04002	286	286
04003	333	333
04004	486	486
04005	348	348
04006	433	433
04007	425	425
04008	421	421
04009	455	455
04010	423	423
04011	384	384
04012	425	425
04013	242	242
04014	352	352
04015	459	459
04016	332	332
04017	324	324
04018	317	317
04019	330	330
04020	252	252
04021	326	326
04022	353	353
04023	454	454
04024	344	344
04025	279	279
04026	363	363
04027	401	401
04028	340	340
04029	340	340
04030	485	485
04031	386	386
04032	388	388
04033	403	403
04034	314	314
04035	462	462
04036	385	385
04037	306	306
04038	414	414
