Precinct	total_votes	votes|John C. D'Amico	votes|Jac Charlier
33002	233	147	86
33007	68	56	12
35030	10	5	5
39001	287	151	136
39002	257	206	51
39004	259	145	114
39005	320	172	148
39006	309	220	89
39007	276	140	136
39008	400	297	103
39009	311	222	89
39010	166	100	66
39011	309	211	98
39012	163	105	58
39013	204	113	91
39014	249	162	87
39015	319	204	115
39016	225	165	60
39017	347	179	168
39018	305	137	168
39019	297	166	131
39024	11	7	4
39025	60	39	21
39026	252	141	111
39027	64	20	44
39029	153	94	59
39030	266	113	153
39031	29	19	10
39032	231	146	85
39033	319	198	121
39035	295	119	176
39036	94	65	29
39037	309	141	168
39038	173	104	69
39039	195	104	91
39040	236	141	95
39041	281	147	134
39042	335	184	151
39043	289	138	151
39044	245	62	183
39045	301	130	171
41006	388	174	214
41009	301	120	181
41014	359	149	210
41019	349	77	272
41032	221	148	73
41039	299	166	133
41047	291	142	149
45032	90	54	36
50024	138	78	60
50025	25	9	16
Maine 1	173	135	38
Maine 2	183	134	49
Maine 5	137	92	45
Maine 15	136	105	31
Maine 31	205	136	69
Maine 32	143	107	36
Maine 33	173	116	57
Maine 40	211	160	51
Maine 44	129	78	51
Maine 46	188	135	53
Maine 51	217	166	51
Maine 52	199	83	116
Maine 58	239	175	64
Maine 60	33	20	13
Maine 62	128	90	38
Maine 63	179	94	85
Maine 69	183	122	61
Maine 71	129	90	39
Maine 72	179	125	54
Maine 73	76	46	30
Maine 74	174	106	68
Maine 75	209	150	59
Maine 76	103	58	45
Maine 78	201	149	52
Maine 81	149	95	54
Maine 83	102	70	32
Maine 84	126	87	39
Maine 89	131	82	49
Maine 90	106	82	24
Niles 1	277	188	89
Niles 2	281	203	78
Niles 3	1	1	0
Niles 6	116	61	55
Niles 11	119	84	35
Niles 13	153	104	49
Niles 26	134	86	48
Niles 38	452	306	146
Niles 43	286	192	94
Niles 50	287	212	75
Niles 53	349	256	93
Niles 54	177	116	61
Niles 58	14	8	6
