Precinct	total_votes	votes|Michael J. Zalewski
13026	1	1
13045	1	1
Berwyn Ward 3 Precinct 1	143	143
Berwyn Ward 3 Precinct 3	357	357
Berwyn Ward 5 Precinct 2	441	441
Berwyn Ward 6 Precinct 3	473	473
Berwyn Ward 7 Precinct 3	556	556
Berwyn Ward 8 Precinct 2	483	483
Cicero 1	650	650
Cicero 2	294	294
Cicero 3	407	407
Cicero 4	485	485
Cicero 8	281	281
Cicero 9	548	548
Cicero 15	500	500
Cicero 16	367	367
Cicero 17	607	607
Cicero 18	359	359
Cicero 23	640	640
Cicero 24	567	567
Cicero 27	329	329
Cicero 28	543	543
Cicero 30	447	447
Cicero 31	385	385
Lyons 4	745	745
Lyons 6	338	338
Lyons 7	485	485
Lyons 8	301	301
Lyons 10	451	451
Lyons 25	185	185
Lyons 29	456	456
Lyons 33	198	198
Lyons 34	253	253
Lyons 35	485	485
Lyons 48	487	487
Lyons 51	414	414
Lyons 58	392	392
Lyons 65	645	645
Lyons 67	548	548
Lyons 68	383	383
Lyons 71	271	271
Lyons 75	388	388
Lyons 76	60	60
Proviso 29	665	665
Proviso 75	400	400
Proviso 89	395	395
Proviso 90	823	823
Riverside 1	253	253
Riverside 8	592	592
Riverside 9	422	422
Riverside 10	563	563
Riverside 11	162	162
Stickney 4	595	595
Stickney 6	794	794
Stickney 7	337	337
Stickney 8	520	520
Stickney 9	226	226
Stickney 12	261	261
Stickney 13	442	442
Stickney 18	298	298
