Precinct	total_votes	votes|Daniel William Lipinski
Palos 25	356	356
Palos 26	339	339
Palos 27	594	594
Palos 28	511	511
Palos 29	464	464
Palos 30	556	556
Palos 31	592	592
Palos 32	266	266
Palos 34	378	378
Palos 35	711	711
Palos 36	610	610
Palos 37	576	576
Palos 38	510	510
Palos 39	580	580
Riverside 2	1	1
Stickney 1	260	260
Stickney 2	442	442
Stickney 3	805	805
Stickney 4	647	647
Stickney 5	693	693
Stickney 6	828	828
Stickney 7	355	355
Stickney 8	556	556
Stickney 9	509	509
Stickney 10	717	717
Stickney 11	616	616
Stickney 12	607	607
Stickney 13	468	468
Stickney 14	684	684
Stickney 15	662	662
Stickney 16	610	610
Stickney 17	424	424
Stickney 18	329	329
Stickney 19	490	490
Stickney 20	467	467
Worth 1	312	312
Worth 2	640	640
Worth 3	554	554
Worth 4	828	828
Worth 5	611	611
Worth 6	622	622
Worth 9	347	347
Worth 11	582	582
Worth 15	341	341
Worth 21	825	825
Worth 22	410	410
Worth 25	659	659
Worth 26	429	429
Worth 27	441	441
Worth 28	377	377
Worth 30	599	599
Worth 33	550	550
Worth 35	629	629
Worth 36	586	586
Worth 40	633	633
Worth 41	298	298
Worth 44	393	393
Worth 46	690	690
Worth 47	315	315
Worth 48	400	400
Worth 49	350	350
Worth 51	392	392
Worth 53	565	565
Worth 56	572	572
Worth 58	631	631
Worth 60	360	360
Worth 61	485	485
Worth 62	313	313
Worth 63	585	585
Worth 66	378	378
Worth 67	353	353
Worth 70	670	670
Worth 71	428	428
Worth 74	291	291
Worth 75	662	662
Worth 76	296	296
Worth 77	571	571
Worth 78	677	677
Worth 81	149	149
Worth 82	538	538
Worth 83	284	284
Worth 84	562	562
Worth 85	549	549
Worth 86	551	551
Worth 90	607	607
Worth 91	330	330
Worth 92	589	589
Worth 93	344	344
Worth 94	641	641
Worth 98	626	626
Worth 99	351	351
Worth 100	593	593
