Precinct	total_votes	votes|Elizabeth ''Lisa'' Hernandez
12016	0	0
22003	381	381
22004	127	127
22005	254	254
22006	259	259
22007	158	158
22009	231	231
22010	10	10
22011	204	204
22013	77	77
22015	8	8
22016	18	18
22017	246	246
22018	107	107
22020	296	296
22024	342	342
22025	279	279
Berwyn Ward 1 Precinct 1	196	196
Berwyn Ward 1 Precinct 2	241	241
Berwyn Ward 1 Precinct 3	388	388
Berwyn Ward 1 Precinct 4	204	204
Berwyn Ward 1 Precinct 5	189	189
Berwyn Ward 2 Precinct 1	161	161
Berwyn Ward 2 Precinct 2	256	256
Berwyn Ward 2 Precinct 3	323	323
Berwyn Ward 2 Precinct 4	412	412
Berwyn Ward 3 Precinct 1	204	204
Berwyn Ward 3 Precinct 2	182	182
Berwyn Ward 3 Precinct 4	281	281
Berwyn Ward 3 Precinct 5	313	313
Berwyn Ward 4 Precinct 1	210	210
Berwyn Ward 4 Precinct 2	288	288
Berwyn Ward 4 Precinct 3	380	380
Berwyn Ward 4 Precinct 4	193	193
Berwyn Ward 5 Precinct 1	484	484
Berwyn Ward 5 Precinct 3	236	236
Berwyn Ward 6 Precinct 1	162	162
Berwyn Ward 6 Precinct 2	187	187
Berwyn Ward 6 Precinct 4	316	316
Cicero 5	375	375
Cicero 7	217	217
Cicero 10	376	376
Cicero 11	285	285
Cicero 12	268	268
Cicero 13	76	76
Cicero 14	293	293
Cicero 19	424	424
Cicero 21	336	336
Cicero 22	275	275
Cicero 25	305	305
Cicero 26	236	236
Cicero 27	120	120
Cicero 29	318	318
Cicero 32	239	239
Lyons 2	203	203
Lyons 45	321	321
Proviso 27	263	263
Riverside 1	130	130
Riverside 5	171	171
Riverside 11	212	212
Stickney 17	118	118
