Precinct	total_votes	votes|Howard B. Brookins, Jr.
21001	282	282
21002	204	204
21003	305	305
21004	283	283
21005	284	284
21006	238	238
21007	288	288
21008	274	274
21009	305	305
21010	239	239
21011	247	247
21012	260	260
21013	269	269
21014	326	326
21015	250	250
21016	239	239
21017	237	237
21018	324	324
21019	294	294
21020	223	223
21021	233	233
21022	243	243
21023	233	233
21024	263	263
21025	233	233
21026	262	262
21027	246	246
21028	304	304
21029	295	295
21030	225	225
21031	198	198
21032	252	252
21033	271	271
21034	267	267
21035	248	248
21036	281	281
21037	212	212
21038	283	283
21039	200	200
21040	232	232
21041	259	259
21042	280	280
21043	289	289
21044	240	240
21045	231	231
21046	272	272
21047	239	239
21048	226	226
21049	255	255
21050	227	227
21051	243	243
21052	290	290
21053	201	201
21054	248	248
