Precinct	total_votes	votes|Leslie A. Hairston
05001	265	265
05002	279	279
05003	296	296
05004	378	378
05005	291	291
05006	286	286
05007	333	333
05008	304	304
05009	373	373
05010	265	265
05011	327	327
05012	250	250
05013	273	273
05014	278	278
05015	301	301
05016	303	303
05017	285	285
05018	290	290
05019	290	290
05020	354	354
05021	305	305
05022	342	342
05023	456	456
05024	343	343
05025	305	305
05026	296	296
05027	239	239
05028	347	347
05029	355	355
05030	243	243
05031	273	273
05032	367	367
05033	342	342
05034	322	322
05035	327	327
05036	232	232
05037	310	310
05038	332	332
05039	227	227
05040	224	224
05041	177	177
